0.97083,1.6663,48.796,21.859,76.015,10.462,0.83052,0.60701,26.092,4.8577,16.121,1.369,7.1666,76.003,1.1985,5.9005,16.133,19.437,7.9072,70.426,0.96934,20.53,27.201,5.4026,27.359,41.054,1.043,13.864,0.59762,75.754,0.86386,7.0912,0.82746,1.0609,23.828,1.0997,25.889,7.1625,25.803,3.969,23.567,3.2356,3.866,3.6096,12.334,0.69586,0.69982,14.725,1.1903,3.3393,2.1956
1.663,1.9363,48.957,23.423,76.582,11.097,1.2049,0.87326,26.729,14.027,26.152,5.6258,76.027,76.66,2.7073,8.9551,23.527,25.867,8.0736,76.004,1.4252,21.099,27.424,14.663,89.818,41.425,1.4933,14.991,9.6259,76.018,6.2899,7.2279,0.97667,1.6342,33.768,14.837,40.029,20.537,25.888,4.5937,26.26,13.505,3.9997,10.436,13.163,1.0297,1.3735,14.869,2.3223,3.459,2.3938
1.8595,2.6629,49.361,25.86,76.763,11.661,1.4934,1.0976,27.402,14.401,26.769,6.1641,76.098,76.82,2.9691,9.9047,25.704,76.628,25.902,77.787,2.069,27.138,27.623,14.794,90.092,41.596,5.3278,33.991,9.8896,76.599,6.5046,13.702,1.2663,2.3709,34.807,16.861,40.4,23.534,67.587,5.0353,27.328,13.873,7.2708,23.192,15.96,1.1614,1.4995,24.186,2.4665,13.059,2.5954
2.068,3.2004,49.827,51.092,76.87,11.775,1.5995,1.17,27.861,14.767,27.291,33.928,76.992,82.647,3.2329,18.055,25.89,77.651,32.893,77.897,2.5612,27.555,29.57,23.992,90.324,42.497,5.6636,53.895,10.093,77.53,7.4587,35.668,1.3961,2.591,36.168,17.063,40.607,26.106,75.987,7.1443,27.437,20.189,11.335,26.734,16.328,1.3734,1.6562,24.341,2.9311,17.001,3.3939
2.634,3.3348,49.965,55.338,77.036,12.007,1.7092,1.7043,28.133,24.095,27.39,34.056,77.419,83.45,8.7674,18.365,26.164,77.785,33.025,78.72,6.8301,27.857,29.791,24.138,91.063,43.065,6.5662,54.19,10.47,82.654,23.397,54.597,1.6382,15.036,38.872,17.303,76.534,27.152,76.691,7.9553,30.127,21.467,13.139,27.854,16.535,1.491,1.9069,29.798,3.071,17.123,4.3318
3.1639,3.6986,50.13,55.459,78.418,12.121,1.8648,2.2276,28.532,25.702,34.287,34.274,77.663,83.927,10.373,20.326,26.365,78.351,33.825,79.682,7.028,42.198,30.231,26.109,91.193,44.029,6.8717,54.524,10.601,83.155,23.573,55.449,1.8958,19.992,39.102,18.6,NaN,27.539,82.651,8.3719,30.725,23.731,13.568,29.023,17.567,1.5958,2.0963,30.439,6.1433,18.488,4.7025
4.6304,3.9602,50.265,56.62,78.667,12.629,2.1539,2.3958,28.891,26.704,34.595,34.406,78.655,84.453,14.563,20.462,28.001,78.722,40.285,79.952,7.1717,42.339,30.522,38.797,91.357,44.666,7.9393,64.517,11.191,83.926,23.708,66.496,2.0712,20.128,40.287,25.733,NaN,29.59,82.865,20.557,30.857,24.13,16.468,29.29,34.271,1.9325,2.338,31.293,6.3262,18.889,6.1772
5.4261,4.1661,50.459,56.723,82.637,12.727,2.3961,2.935,29.669,57.898,36.166,34.653,79.423,NaN,15.756,25.734,28.326,79.731,40.466,80.121,8.5623,55.297,30.895,59.828,NaN,44.823,10.935,64.886,11.667,91.062,25.763,73.736,2.5004,26.196,41.136,25.969,NaN,29.669,83.051,25.589,31.422,25.561,16.663,34.023,60.232,2.0689,3.195,31.454,6.9635,19.398,9.5758
5.5667,4.4982,54.92,56.953,83.529,13.327,11.796,3.0368,29.787,79.66,36.963,60.658,79.592,NaN,15.865,25.893,28.625,80.764,40.773,80.354,8.8247,57.083,31.098,65.084,NaN,46.031,11.303,65.45,12.234,91.356,34.293,NaN,3.1648,26.726,41.6,30.542,NaN,31.304,83.134,25.737,32.371,26.123,16.996,34.126,60.432,2.3766,4.9386,31.568,10.093,21.727,9.9763
5.7255,4.668,55.06,57.12,84.152,13.595,12.005,3.6309,30.222,82.655,39.831,77.853,91.061,NaN,16.094,34.368,28.8,81.101,42.059,82.651,9.0243,58.193,31.526,65.633,NaN,46.331,11.766,65.571,12.46,NaN,34.396,NaN,4.6432,27.393,42.027,31.307,NaN,31.47,83.53,25.999,32.591,27.068,18.16,40.029,60.658,3.4773,6.3598,31.72,11.829,21.835,10.658
5.8263,4.9571,55.5,58.457,91.069,13.692,12.129,3.8723,32.325,83.165,40.761,91.297,91.228,NaN,16.299,76.015,30.802,81.7,42.188,83.461,10.09,58.285,31.883,76.231,NaN,85.689,11.867,65.825,12.729,NaN,67.995,NaN,5.2357,27.531,43.406,31.538,NaN,31.889,83.889,31.471,32.897,28.994,20.556,42.556,66.627,3.8357,6.5246,32.165,11.901,23.425,11.661
5.9688,5.6296,55.624,58.687,NaN,14.06,12.268,4.0024,32.797,83.822,41.058,91.431,91.384,NaN,19.888,77.228,33.926,81.828,82.653,83.592,10.223,58.421,32.296,77.069,NaN,NaN,13.1,65.926,13.069,NaN,85.098,NaN,6.2003,29.597,46.171,33.097,NaN,32.328,91.068,32.626,33.034,29.154,21.065,42.786,75.257,4.2716,6.6545,34.093,12.06,24.358,12.321
6.073,5.9561,56.855,59.536,NaN,14.261,12.697,4.6612,33.59,83.884,41.623,NaN,NaN,NaN,21.628,77.594,34.326,82.649,83.126,84.335,10.735,58.735,33.857,77.351,NaN,NaN,13.739,66.09,13.833,NaN,85.248,NaN,7.3704,29.938,54.293,33.398,NaN,34.29,91.361,39.027,38.922,30.299,21.304,43.92,75.491,4.7264,6.8599,35.291,12.322,25.531,13.564
6.3083,6.6698,57.069,60.823,NaN,14.698,12.972,4.8955,34.525,91.066,42.595,NaN,NaN,NaN,22.205,78.554,35.47,83.724,83.264,84.481,10.865,62.97,34.52,77.588,NaN,NaN,14.766,66.317,16.531,NaN,86.835,NaN,7.6683,30.825,54.43,33.731,NaN,36.001,NaN,42.193,56.931,30.464,22.488,45.131,76.194,4.9308,7.4573,35.438,17.137,25.868,13.826
6.5627,6.8333,57.331,61.636,NaN,16.136,13.203,5.8921,35.968,91.36,43.423,NaN,NaN,NaN,22.791,78.725,35.63,83.957,85.389,84.626,11.757,64.592,35.994,79.151,NaN,NaN,15.031,66.491,26.407,NaN,88.13,NaN,7.994,31.102,54.654,37.353,NaN,48.5,NaN,48.535,57.022,31.332,22.824,45.323,76.296,5.1981,8.6976,35.622,17.392,26.09,14.098
6.9395,7.1035,57.725,61.933,NaN,46.167,13.694,6.4671,37.087,NaN,43.738,NaN,NaN,NaN,23.396,82.621,36.065,85.123,85.551,85.793,12.339,64.898,36.454,79.591,NaN,NaN,21.797,67.801,27.14,NaN,89.752,NaN,8.3331,33.228,56.929,37.465,NaN,49.138,NaN,63.021,58.331,31.463,23.159,45.527,76.85,5.3707,8.9637,35.774,17.871,27.227,14.426
7.0554,8.5377,57.834,62.148,NaN,46.59,13.905,6.9724,39.191,NaN,45.159,NaN,NaN,NaN,23.764,82.73,37.34,85.257,88.167,NaN,13.861,71.492,37.43,88.524,NaN,NaN,24.404,68.421,30.294,NaN,91.154,NaN,8.562,33.57,59.937,53.26,NaN,49.437,NaN,64.886,58.997,31.601,23.732,48.7,76.982,6.1021,9.1684,35.923,18.2,30.266,15.424
7.2926,8.7004,57.984,62.3,NaN,46.801,14.068,7.939,40.661,NaN,48.765,NaN,NaN,NaN,23.966,83.461,39.268,85.452,88.527,NaN,14.539,72.73,39.333,88.68,NaN,NaN,28.432,68.659,30.393,NaN,NaN,NaN,9.0266,33.73,60.33,53.394,NaN,53.887,NaN,65.532,59.257,31.967,24.058,49.36,84.891,6.8696,9.8369,39.163,18.835,34.136,17.997
7.409,9.4025,58.16,70.097,NaN,46.998,15.196,8.0936,40.906,NaN,49.105,NaN,NaN,NaN,24.124,83.8,39.691,86.258,88.986,NaN,14.839,75.724,39.529,NaN,NaN,NaN,28.661,68.955,46.603,NaN,NaN,NaN,11.931,33.863,61.397,53.854,NaN,53.999,NaN,70.029,60.847,32.805,24.206,49.486,85.002,8.3277,11.403,39.421,20.304,34.499,19.193
7.5287,11.032,58.488,70.663,NaN,47.755,15.408,9.241,43.324,NaN,49.896,NaN,NaN,NaN,24.455,84.283,39.856,86.823,89.491,NaN,15.068,75.892,40.297,NaN,NaN,NaN,29.232,74.718,46.821,NaN,NaN,NaN,12.841,36.134,62.091,53.968,NaN,55.298,NaN,70.387,61.02,33.733,24.834,49.655,NaN,8.662,11.534,46.159,20.634,35.172,20.033
7.6652,11.271,58.889,70.9,NaN,78.551,15.558,9.4339,43.46,NaN,51.001,NaN,NaN,NaN,24.636,84.697,40.259,87.623,91.067,NaN,15.539,78.629,40.725,NaN,NaN,NaN,29.333,80.165,47.061,NaN,NaN,NaN,13.077,36.365,64.097,55.149,NaN,55.824,NaN,70.633,66.803,34.803,24.995,49.859,NaN,11.896,11.694,47.625,22.762,35.63,21.006
7.9697,11.563,59.155,71.052,NaN,79.213,15.905,9.5705,43.791,NaN,54.5,NaN,NaN,NaN,25.295,84.898,40.361,87.827,91.361,NaN,16.005,79.361,40.926,NaN,NaN,NaN,33.341,80.93,47.386,NaN,NaN,NaN,13.59,37.194,66.318,55.331,NaN,56.731,NaN,70.764,67.165,35.063,25.387,50.096,NaN,17.901,12.096,47.76,22.898,36.795,21.234
8.8302,12.262,59.503,71.456,NaN,79.367,16.138,9.8018,44.199,NaN,54.997,NaN,NaN,NaN,25.77,85.09,40.495,88.161,NaN,NaN,16.367,86.082,41.07,NaN,NaN,NaN,33.563,82.652,54.469,NaN,NaN,NaN,13.833,37.302,66.459,55.83,NaN,56.855,NaN,71.051,67.52,35.605,25.556,55.701,NaN,18.329,12.895,47.865,25.827,39.937,23.727
9.0286,12.702,59.72,71.929,NaN,79.563,16.623,10.163,44.429,NaN,57.919,NaN,NaN,NaN,34.004,85.351,40.769,88.548,NaN,NaN,16.564,88.261,41.191,NaN,NaN,NaN,36.059,83.467,63.66,NaN,NaN,NaN,17.791,39.028,67.492,56.627,NaN,58.162,NaN,71.328,69.548,37.09,25.966,58.7,NaN,18.436,15.373,48.497,30.822,40.06,23.867
9.8721,13.205,60.067,72.56,NaN,79.766,16.832,10.34,44.8,NaN,58.529,NaN,NaN,NaN,34.356,85.855,56.556,88.791,NaN,NaN,16.729,89.018,41.6,NaN,NaN,NaN,49.5,NaN,76.598,NaN,NaN,NaN,18.594,40.857,67.733,56.769,NaN,58.296,NaN,74.393,78.592,37.33,26.191,61.329,NaN,18.605,15.499,52.464,30.931,40.928,24.128
10.233,13.436,60.194,73.501,NaN,81.03,17.436,10.635,45.118,NaN,58.633,NaN,NaN,NaN,49.451,87.094,56.831,91.087,NaN,NaN,17.007,89.333,41.704,NaN,NaN,NaN,49.727,NaN,76.699,NaN,NaN,NaN,19.087,43.457,68.094,57.691,NaN,59.316,NaN,74.522,79.191,37.595,27.908,61.586,NaN,18.793,15.899,53.536,33.031,41.964,24.427
10.359,14.896,60.498,74.058,NaN,81.816,17.695,10.758,45.257,NaN,58.762,NaN,NaN,NaN,53.221,87.495,57.067,91.249,NaN,NaN,17.454,89.617,42.251,NaN,NaN,NaN,50.16,NaN,82.352,NaN,NaN,NaN,19.73,43.595,69.583,58.883,NaN,59.631,NaN,NaN,82.869,37.865,28.135,62.525,NaN,19.333,16.097,57.024,33.9,42.089,24.725
10.496,15.124,60.895,74.298,NaN,82.659,17.904,10.896,45.992,NaN,61.33,NaN,NaN,NaN,53.467,87.661,58.868,91.367,NaN,NaN,17.653,90.217,42.794,NaN,NaN,NaN,51.267,NaN,82.623,NaN,NaN,NaN,19.889,43.934,70.19,60.201,NaN,59.724,NaN,NaN,83.196,54.33,28.767,62.658,NaN,34.653,16.805,58.065,35.573,44.767,25.093
10.732,15.228,62.062,74.553,NaN,82.788,18.324,11.198,46.294,NaN,62.399,NaN,NaN,NaN,54.097,87.861,59.169,NaN,NaN,NaN,17.797,90.3,43.43,NaN,NaN,NaN,57.962,NaN,82.923,NaN,NaN,NaN,21.027,44.529,70.953,NaN,NaN,59.969,NaN,NaN,83.455,54.8,34.897,64.89,NaN,35.992,17.759,59.07,39.369,45.058,25.274
11.029,15.365,67.836,74.797,NaN,82.918,18.601,11.561,46.76,NaN,62.889,NaN,NaN,NaN,56.427,88.017,61.395,NaN,NaN,NaN,17.995,91.063,50.06,NaN,NaN,NaN,58.099,NaN,83.227,NaN,NaN,NaN,21.597,44.653,71.364,NaN,NaN,60.396,NaN,NaN,83.893,55.296,35.8,67.218,NaN,36.19,17.901,60.4,39.493,45.256,25.703
