8.8939,4.3427,9.8434,9.3342,86.414,36.86,11.634,67.301,26.656,14.67,87.751,100.15,44.625,9.0888,38.186,102.38,29.423,9.1281,12.694,39.375,5.2104,27.294,115.61,70.523,86.922,15.655,9.8242,10.321,25.129,17.262,46.704,10.069,48.149,65.158,21.565,1.0749,11.623,24.8,10.261,5.9898,55.732,41.062,9.0975,36.955,15.685,22.996,2.1262,12.1,9.6325,14.289,2.2615,29.437,13.945,10.4,10.096,10.341,41.303,9.6413,25.305,34.807,2.7597,10.094,104.43,8.273,5.0251,5.9673,45.929,12.731,27.265,12.273,25.907,4.304,2.6209,4.4689,24.706,10.232,2.7115,86.104,10.864,9.2083,23.303,52.223,21.899,41.809,9.0612,23.553,8.2444,10.541,9.6026,4.136,55.599,10.102,47.894,67.897,11.026,1.8001,4.8268,3.2729,25.103,25.833,4.495,30.335,1.3231,5.2102,9.6063,24.602,2.622,38.131,46.459,10.594,1.4387,8.8537,60.165,4.8885,39.04,4.1347,18.496,1.4081,46.396,14.698,8.6789,20.096,33.39,38.187,3.9327,86.37,86.167,41.831,9.2196,25.154,21.289,8.8532,10.734,8.6909,11.666,23.536,7.4737,4.8586,24.872,26.695,25.998,2.2748,24.83,11.667,11.468,11.64,17.279,5.7295,12.725,3.2546,67.868,9.2032,25.956,10.232,8.7583,2.9235,11.673,4.669,4.8541,1.4699,0.63233,9.6018,24.252,46.397,2.138,9.5294,8.0079,24.225,7.0517,0.80742,29.472,2.1105,7.0246,2.1679,26.696,24.871,67.065,11.61,0.44074,8.0079,10.143,11.976,19.044,9.2299,1.3701,2.2759,5.7412,4.4897,18.9,25.031,5.7356,9.6294
9.5379,4.4721,10.334,9.572,86.95,37.173,12.096,67.902,26.758,20.094,88.057,128.3,45.265,9.8733,39.375,102.68,60.063,12.033,12.839,44.586,5.7441,28.856,115.82,80.996,115.12,23.136,9.962,25.66,40.498,21.55,88.357,10.397,77.619,65.524,23.552,5.9636,11.96,24.961,10.354,6.0971,69.415,43.156,9.8967,41.13,22.826,23.203,18.729,12.207,9.7314,14.705,2.9788,59.968,14.069,67.047,20.156,25.676,41.638,10.225,25.631,35.062,5.5365,10.805,104.55,10.305,6.9892,6.0651,100.13,12.865,71.623,17.699,27.241,5.7339,3.2105,6.2063,25.005,68.669,3.2226,114.95,11.343,9.7302,23.536,52.573,22.91,41.933,9.5223,38.122,8.376,11.686,9.7363,4.3292,55.729,10.403,48.131,68.028,11.522,2.2569,5.7443,8.5445,25.661,26.203,6.1634,30.472,3.2105,5.7438,9.7233,26.633,3.7855,38.255,46.588,27.076,2.0716,11.271,60.293,4.9985,39.419,8.1448,20.123,1.5377,47.353,20.132,36.954,23.144,33.531,38.271,12.457,87.859,106.01,42.303,9.6566,96.352,26.718,10.73,11.671,8.8042,12.106,86.125,7.9574,5.1361,38.186,26.835,84.362,2.625,24.926,12.129,23.596,11.777,17.403,6.1982,15.556,5.7523,68.061,9.7302,26.796,10.595,11.961,3.0682,13.76,8.1349,4.9755,2.6204,6.9048,9.738,25.3,47.369,13.692,9.8209,19.742,24.304,8.528,1.1348,40.386,3.2136,7.4579,2.2562,70.999,25.04,68.032,11.742,11.67,8.6676,10.276,25.939,19.164,10.39,1.4629,6.2387,8.2397,23.228,22.798,25.1,8.0367,9.8955
9.8337,4.8647,12.196,23.502,115.22,37.858,29.126,68.56,26.89,21.832,88.595,129.8,45.627,24.141,39.562,105.77,60.585,16.17,31.485,44.853,8.2001,29.338,118.05,81.129,115.22,23.286,23.632,29.256,40.604,21.678,107.42,10.53,80.085,NaN,23.805,8.7893,12.073,25.158,10.774,13.96,69.562,43.29,23.658,63.066,23.03,45.195,24.856,12.475,10.167,32.836,3.277,61.132,21.291,67.9,23.038,29.285,41.872,11.122,65.994,35.535,6.1726,25.091,104.99,10.562,9.604,6.9913,100.26,35.756,72.592,20.076,107.3,6.0767,5.9755,6.3378,25.328,71.236,3.3367,119.68,27.829,10.389,24.897,67.292,24.205,58.837,9.9659,41.806,9.4739,12.823,10.224,15.743,69.558,10.523,67.923,85.85,11.633,4.1712,5.8615,8.6663,27.241,26.332,6.3347,47.604,3.3276,8.2019,10.532,37.502,3.9118,114.26,46.829,37.596,2.8281,11.403,111.49,58.296,48.16,8.2721,31.424,2.2549,47.532,21.856,37.071,41.086,49.089,39.901,14.665,88.164,106.43,99.861,9.7328,105.77,26.837,11.099,18.811,9.0936,12.237,86.365,8.2112,18.403,38.301,72.231,84.498,6.2761,41.249,15.875,24.175,12.675,20.574,6.3062,15.666,6.9887,70.898,10.238,27.472,12.693,12.236,10.265,13.927,8.5268,7.6944,3.8893,8.004,20.104,25.587,75.823,13.8,21.233,21.534,24.925,10.765,1.2613,42.093,10.609,9.6649,2.5376,71.257,60.89,68.167,12.602,20.609,9.6074,18.803,26.067,46.363,24.302,6.8947,8.9061,9.7003,24.736,22.902,45.791,9.5995,12.166
24.072,6.9867,14.859,23.885,116.17,38.133,29.394,NaN,44.656,32.83,116.98,130.15,46.138,25.294,39.904,NaN,60.836,16.308,32.802,45.055,10.921,55.795,118.58,84.048,115.79,24.467,23.856,29.435,42.535,99.663,107.73,10.656,130.52,NaN,25.037,18.442,29.093,27.489,66.028,21.263,69.695,89.465,27.323,120.88,23.306,45.467,68.381,85.987,24.173,40.853,4.8745,61.355,21.408,68.055,23.295,29.441,45.768,11.411,66.99,36.339,7.6996,25.301,121.58,23.874,10.622,12.898,NaN,35.866,72.75,24.075,107.38,6.4426,7.9432,8.2364,25.6,85.925,21.543,119.95,29.129,10.532,25.034,67.434,24.33,60.758,10.189,41.93,9.9959,13.006,11.913,26.325,69.695,10.694,95.101,86.058,13.044,4.306,11.056,11.255,27.442,26.506,6.4739,48.133,4.9981,10.923,10.773,72.182,5.9381,114.46,46.965,37.937,5.9659,12.64,130.71,63.336,72.202,24.822,31.634,2.7231,87.135,32.859,39.766,41.255,49.336,40.026,14.97,100.12,114.82,99.926,9.8997,105.9,35.57,18.357,23.552,9.2014,19.224,86.536,9.0401,25.022,38.526,72.453,NaN,12.656,47.025,29.077,26.69,13.058,21.554,10.888,37.599,7.1654,71.822,10.362,37.601,12.812,12.674,10.674,20.111,20.535,23.555,3.9669,8.1074,20.556,25.823,81.289,16.073,25.069,22.122,25.061,10.933,2.2797,42.457,10.741,10.224,2.665,71.653,64.736,68.662,12.8,32.274,11.009,18.934,37.607,47.4,24.942,6.9963,9.6452,9.8724,37.605,23.465,45.891,9.8965,13.296
26.422,7.1079,15.761,24.403,NaN,38.258,40.202,NaN,47.962,38.934,129.13,130.82,46.26,25.458,40.031,NaN,61.123,20.068,33.874,45.67,11.061,55.886,119.05,87.201,116.2,38.054,24.23,29.686,43.759,99.761,109.4,10.837,NaN,NaN,26.697,18.572,40.173,46.637,118.58,21.401,70.854,89.831,27.456,121.69,23.402,45.596,72.826,86.084,25.337,40.937,5.0967,87.714,26.734,68.655,23.719,29.536,46.824,12.342,96.285,36.569,12.671,25.822,121.75,24.337,10.94,13.77,NaN,37.676,72.952,40.503,112.66,7.6738,11.469,8.8368,27.621,86.071,21.657,120.49,29.29,12.711,38.221,67.716,37.866,72.002,23.125,55.495,23.903,21.555,26.71,29.126,104.56,10.84,95.867,87.013,70.958,5.5929,11.473,13.439,28.353,38.154,8.8073,48.272,11.801,11.065,10.908,72.298,6.8613,114.8,48.582,38.405,8.025,12.763,NaN,65.903,72.295,24.934,39.598,7.6888,88.33,38.965,41.294,41.327,50.522,45.14,15.366,NaN,130.56,NaN,10.201,NaN,35.799,26.59,30.223,25.62,23.527,106.28,11.329,25.124,39.403,99.921,NaN,20.589,51.118,29.19,39.065,15.238,21.677,13.959,86.067,9.0602,72.204,23.961,107.32,15.502,12.837,22.456,20.234,20.974,23.668,5.1091,13.039,28.802,26.328,86.125,19.36,25.204,35.568,51.736,11.731,2.4078,42.561,10.903,11.265,3.665,86.066,64.861,71.326,12.972,37.985,12.642,25.162,39.636,47.552,25.059,9.2033,10.227,10.222,38.128,24.1,48.926,10.226,21.525
85.421,7.9392,22.232,24.675,NaN,38.468,40.526,NaN,48.59,39.404,129.26,NaN,46.43,25.566,40.152,NaN,61.354,20.191,51.117,46.727,11.466,57.292,119.26,87.33,NaN,38.23,24.992,99.566,43.869,105.78,NaN,24.107,NaN,NaN,34.805,18.73,40.491,52.281,118.7,31.457,87.653,110.13,48.052,121.88,23.525,45.792,72.968,105.78,26.424,41.062,7.2437,112.32,37.309,70.884,26.337,29.69,46.972,NaN,96.348,37.324,13.023,26.008,NaN,25.002,12.029,13.957,NaN,40.919,73.222,40.601,115.27,8.011,11.963,9.6586,27.857,105.76,23.55,122.11,30.204,12.835,38.774,99.292,37.993,100.09,23.273,59.768,25.2,23.023,87.523,29.699,105.02,11.163,96.319,89.952,71.116,9.0687,13.912,13.757,28.964,66.322,9.5106,70.697,19.507,11.462,23.562,79.788,7.9992,116.21,49.32,38.538,8.1399,24.187,NaN,66.431,77.652,31.492,52.217,7.8038,89.311,40.863,63.468,41.903,67.039,51.694,17.737,NaN,130.69,NaN,11.605,NaN,36.93,33.263,32.298,60.867,23.604,107.52,12.063,29.288,39.497,100.09,NaN,24.491,51.222,53.486,39.186,15.364,41.319,14.101,99.464,9.1991,85.994,24.106,107.38,25.873,23.774,22.588,21.284,24.933,26.741,7.0291,13.164,28.934,96.29,86.355,19.487,25.454,35.926,51.857,11.903,3.326,86.19,12.996,12.755,3.7895,100.1,70.528,71.458,85.98,38.097,12.773,37.639,39.936,75.857,25.394,9.3054,10.363,10.531,40.233,24.492,52.234,10.84,21.602
85.991,8.5659,22.368,25.285,NaN,39.888,40.598,NaN,64.861,40.831,129.95,NaN,46.855,26.424,41.259,NaN,87.691,24.191,52.206,72.569,13.031,57.782,NaN,92.17,NaN,38.373,25.457,99.801,108.47,NaN,NaN,24.427,NaN,NaN,35.555,18.906,40.618,52.972,NaN,34.807,87.798,NaN,48.163,NaN,23.818,66.385,80.023,106.42,35.572,47.893,10.692,112.43,38.289,71.129,26.903,99.81,47.54,NaN,NaN,38.131,13.125,26.423,NaN,25.434,24.875,14.041,NaN,41.106,NaN,41.962,116.46,12.198,13.959,10.206,35.904,105.96,38.135,NaN,33.268,13.062,86.385,101.6,48.839,100.19,55.723,63.372,25.693,23.757,102.65,31.656,105.25,17.901,100.08,125.03,72.193,10.476,14.032,14.537,74.425,66.434,10.843,70.799,19.745,13.031,26.701,79.926,21.133,130.45,50.89,41.896,8.9964,24.337,NaN,66.536,80.271,47.023,67.299,8.1326,NaN,40.961,63.597,43.167,85.9,55.461,17.898,NaN,130.83,NaN,11.744,NaN,37.384,41.808,33.294,64.75,24.051,113.46,12.324,32.304,39.901,100.19,NaN,24.597,67.035,53.817,39.662,18.509,66.414,25.607,99.757,11.672,NaN,24.831,112.83,26.008,23.893,24.441,21.394,25.025,27.842,12.661,14.726,29.729,96.348,87.161,25.101,36.934,36.06,57.05,12.023,3.9562,86.335,13.104,20.552,3.9075,100.19,70.628,72.226,86.085,53.482,14.666,39.96,48.126,86.217,26.602,10.838,11.099,21.327,43.801,24.64,100.16,12.132,21.699
86.093,11.488,24.104,25.429,NaN,89.253,42.464,NaN,66.267,41.656,130.89,NaN,47.399,38.453,41.408,NaN,112.42,24.331,69.394,72.854,13.92,69.765,NaN,94.726,NaN,90.436,25.787,112.82,123.22,NaN,NaN,24.893,NaN,NaN,38.237,21.207,41.8,55.209,NaN,35.575,104.57,NaN,52.168,NaN,24.911,66.52,81.082,107.38,38.196,48.135,11.677,112.96,45.772,71.303,33.723,112.83,48.491,NaN,NaN,57.09,14.223,26.537,NaN,25.808,25.354,18.621,NaN,41.763,NaN,42.099,NaN,12.307,14.073,18.776,64.973,106.42,38.256,NaN,41.296,13.79,107.08,103.45,49.337,114.96,59,68.365,25.788,24.161,120.48,32.191,105.53,24.192,NaN,125.16,72.989,10.605,19.206,15.519,74.524,66.648,11.471,84.885,21.528,13.137,28.591,84.337,23.556,130.85,81.114,42.024,10.341,25.01,NaN,68,81.353,66.42,67.431,11.672,NaN,41.065,66.32,89.536,86.08,66.367,18.895,NaN,NaN,NaN,12.668,NaN,37.694,41.94,33.405,65.268,24.721,113.81,12.568,34.153,40.025,NaN,NaN,25.173,87.714,54.427,39.803,19.504,86.649,26.659,114.92,11.859,NaN,25.128,112.96,34.097,26.933,24.719,23.167,25.133,27.969,12.798,15.001,30.726,NaN,87.316,25.261,37.041,38.43,64.88,12.93,4.1678,99.633,15.492,20.638,4.3319,NaN,91.466,72.298,86.689,54.889,14.856,41.628,48.517,87.317,38.421,10.958,13.059,21.436,45.085,25.691,115.83,13.259,21.864
86.348,12.622,25.232,41.325,NaN,89.648,43.303,NaN,70.832,42.605,131.76,NaN,47.566,45.831,41.806,NaN,113.23,37.001,69.551,73.219,14.038,69.901,NaN,98.029,NaN,91.013,26.04,113.03,NaN,NaN,NaN,25.087,NaN,NaN,38.656,21.369,41.892,56.54,NaN,37.119,105.25,NaN,52.29,NaN,25.033,73.237,99.325,NaN,38.298,55.6,11.805,113.21,45.906,72.521,37.522,113.04,49.135,NaN,NaN,57.337,15.107,26.805,NaN,26.04,26.72,27.841,NaN,42.017,NaN,42.562,NaN,13.111,20.09,21.067,69.054,107.36,41.305,NaN,41.896,20.087,107.36,NaN,50.862,120.49,66.763,68.465,26.024,24.594,120.62,34.467,121.58,24.307,NaN,NaN,73.168,14.196,20.059,15.64,89.818,66.991,11.862,84.996,22.767,13.92,29.44,87.702,23.666,130.99,88.425,42.219,10.472,26.721,NaN,68.426,89.787,66.533,67.701,12.038,NaN,41.205,67.026,89.86,86.856,73.237,21.902,NaN,NaN,NaN,12.833,NaN,41.063,44.822,34.159,65.4,25.038,113.92,12.693,41.805,51.093,NaN,NaN,54.925,87.898,54.805,41.786,19.637,86.766,29.339,115.05,12.164,NaN,25.332,115.46,45.802,27.835,25.035,23.292,29.141,40.062,13.698,16.266,38.19,NaN,87.462,38.164,38.161,38.597,74.416,13.755,4.5391,99.849,22.941,22.787,6.09,NaN,116.19,72.491,105.81,60.128,15.739,47.994,50.368,88.382,42.364,13.92,18.996,23.504,45.199,25.763,117.09,18.466,24.495
106.12,13.027,25.302,42.23,NaN,90.495,43.66,NaN,83.282,58.824,132.06,NaN,48.13,46.367,46.739,NaN,113.42,37.858,69.749,100.09,14.599,71.295,NaN,98.151,NaN,91.463,39.657,114.28,NaN,NaN,NaN,25.307,NaN,NaN,38.791,21.46,42.541,60.834,NaN,48.371,105.53,NaN,60.659,NaN,37.265,100.22,99.514,NaN,38.557,55.733,12.174,113.95,60.563,72.828,38.405,114.27,49.358,NaN,NaN,74.787,15.242,34.5,NaN,39.727,27.825,27.962,NaN,43.325,NaN,42.7,NaN,16.405,20.202,21.541,69.203,116.92,41.434,NaN,42.026,24.285,123.28,NaN,60.759,120.62,66.905,70.952,39.716,26.709,126.09,34.664,121.75,24.471,NaN,NaN,77.456,17.269,21.868,16.26,99.423,96.363,13.961,118.49,32.502,14.041,41.688,98.966,29.085,NaN,88.592,42.342,12.023,35.576,NaN,68.525,90.29,69.403,69.651,13.44,NaN,42.632,67.898,101.69,100.16,78.747,22.044,NaN,NaN,NaN,12.96,NaN,41.325,66.154,40.063,70.631,25.157,114.81,19.362,55.497,51.195,NaN,NaN,55.031,88.423,55.367,45.773,37.585,95.879,29.929,119.95,13.965,NaN,25.431,116.43,45.904,28.263,25.132,24.862,29.706,40.261,19.176,17.057,38.494,NaN,88.363,62.204,49.163,41.689,74.518,18.81,5.0345,99.949,27.551,22.891,6.206,NaN,129.53,72.832,106.56,61.115,21.068,50.383,50.505,88.816,45.887,14.077,19.133,23.873,50.471,26.592,NaN,24.458,24.768
