30.374,30.385,25.11,30.146,25.115,25.186,30.395,42.616,34.849,30.388,34.547,28.966,27.145,28.536,32.227,25.932,27.153,28.12,39.551,31.173,23.37,30.115,33.933,40.113,22.998,17.878
31.152,30.921,25.929,30.4,25.932,27.112,31.134,44.028,35.692,31.144,34.844,30.075,28.081,28.957,33.928,27.134,28.957,30.155,42.493,32.225,23.574,30.65,34.785,42.772,25.117,18.267
32.112,31.147,27.129,31.132,27.147,29.093,32.109,44.156,38.615,32.095,35.711,30.917,28.974,29.827,34.547,28.095,30.086,30.425,42.71,33.909,25.251,30.922,36.749,43.568,25.474,18.53
33.885,32.224,27.441,32.224,27.371,30.111,33.869,45.774,40.121,33.889,38.604,32.214,30.188,30.409,34.796,29.105,30.165,30.919,43.248,34.546,25.391,31.25,37.934,45.772,26.484,19.305
34.548,34.534,28.995,34.546,28.106,30.405,33.966,46.755,40.211,34.531,40.118,33.912,30.95,30.681,35.734,30.12,30.411,31.152,45.789,35.708,25.523,34.548,38.109,47.51,29.118,21.323
34.787,34.786,29.4,34.786,28.994,30.949,34.525,47.185,40.364,34.775,40.211,34.801,31.172,34.548,38.265,30.405,30.926,34.773,46.751,38.254,25.669,34.795,39.685,48.63,30.085,21.551
35.71,35.245,30.039,35.235,29.125,31.131,34.787,48.919,42.49,35.714,40.335,35.493,34.045,34.79,38.627,31.151,31.153,34.973,50.456,38.615,27.126,35.721,40.122,49.972,30.198,21.73
36.753,35.506,30.127,35.492,30.131,32.149,35.712,50.148,42.709,36.744,42.706,36.73,34.756,35.212,40.107,34.555,32.233,35.225,52.95,40.109,27.376,38.248,40.474,50.614,31.171,22.23
37.984,35.693,30.404,35.709,30.405,34.026,36.749,52.834,42.887,37.985,42.886,38.228,35.752,35.494,40.267,34.797,34.809,35.747,54.041,40.265,27.546,40.272,41.706,54.043,32.891,22.874
38.616,38.598,30.929,38.602,31.167,34.547,38.626,54.495,43.209,38.608,43.227,39.647,36.764,35.729,40.397,35.719,35.374,36.752,54.464,42.17,28.356,40.466,42.615,54.266,34.053,23.205
39.928,40.125,31.128,40.116,34.571,35.235,39.922,55.508,45.676,39.936,45.667,40.35,38.629,36.747,42.174,36.754,36.85,38.249,57.386,42.704,28.959,42.511,42.768,57.359,34.677,24.751
40.095,40.323,32.212,40.351,34.805,35.494,40.094,55.71,45.787,40.094,45.771,41.505,39.727,38.588,42.724,37.987,37.988,38.589,58.863,42.889,29.676,42.667,43.998,58.243,34.796,25.095
41.669,41.933,33.92,41.928,35.009,35.711,41.652,56.768,46.731,41.651,46.747,42.632,40.273,40.11,42.915,40.165,39.995,39.69,59.551,43.518,30.074,43.132,44.481,59.309,35.247,26.869
42.189,42.508,34.556,42.494,35.767,36.744,42.194,57.374,47.192,42.173,47.201,42.77,40.39,41.505,43.53,40.312,40.129,39.969,59.68,43.991,31.15,43.353,45.91,59.545,35.49,27.031
42.787,42.707,34.795,42.706,36.531,38.601,42.775,59.315,48.949,42.77,48.93,44.814,41.69,42.13,44.014,41.534,40.319,40.093,62.522,45.591,31.272,43.991,46.752,59.65,35.764,27.128
44.026,43.172,35.49,43.186,36.64,40.333,44.014,59.555,49.202,44.015,49.212,45.772,42.754,42.512,45.613,42.187,41.694,42.509,63.348,45.686,31.437,45.554,47.19,62.564,36.633,27.665
45.07,45.533,35.762,45.554,36.798,42.495,45.05,59.641,50.522,45.052,50.532,47.195,45.145,44.025,45.801,42.674,42.636,42.725,65.507,46.756,33.507,45.789,47.833,66.529,36.79,28.127
45.572,45.685,36.77,45.728,38.265,42.672,45.572,60.386,50.883,45.591,50.876,48.912,45.565,45.57,46.766,43.147,44.015,42.897,67.466,47.244,33.929,47.174,50.006,69.007,38.025,28.356
45.768,45.791,38.606,46.758,40.351,43.2,45.766,62.584,52.934,45.788,52.93,49.947,46.316,45.794,47.252,43.545,44.516,43.235,68.534,49.334,34.791,48.934,50.596,71.632,38.47,28.477
46.315,46.746,39.931,47.173,40.603,45.589,46.29,66.027,54.482,46.291,54.479,50.469,46.755,46.534,49.368,44.025,45.802,43.509,71.853,50.613,36.748,50.629,51.83,71.829,38.649,29.637
46.745,47.166,40.13,50.562,41.987,45.773,46.734,67.439,55.558,46.744,55.563,51.844,48.749,48.972,50.627,45.624,45.932,44.496,72.051,51.57,37.052,50.752,52.467,75.624,40.364,30.117
47.269,50.547,40.427,50.865,42.208,46.75,47.246,67.525,55.682,47.253,56.64,54.014,48.997,49.946,51.574,45.796,46.307,44.812,72.471,51.846,37.481,52.512,55.233,NaN,41.708,31.16
48.906,50.87,42.128,51.833,42.747,47.174,48.905,71.745,57.133,48.907,57.159,55.056,51.576,50.798,51.855,46.307,48.231,45.627,73.236,53.162,38.118,52.908,56.631,NaN,42.677,31.364
