64.795,NaN,63.354,10.187,26.892,67.664,53.692,62.757,33.168,40.937,57.466,62.453,50.893,61.556,77.916,21.089,59.604,NaN,4.2678,77.825,79.864,79.816,NaN,14.561,58.886,44.625,76.518,61.796,72.717,NaN,59.786,75.922,59.386,47.285,71.063,NaN,NaN,53.02,NaN,52.472,NaN,44.3,60.952,49.384,84.124,66.465,63.918,67.964,12.834,57.37,11.09,7.8433,66.528,NaN,64.494,21.202,74.464,82.723,75.582,29.918,NaN,61.495,69.102,37.268,61.693,57.487,61.694,NaN,14.335,27.087,54.894,54.422,NaN,69.328,NaN,74.457,NaN,62.517,29.728,84.349,NaN,18.994,NaN,23.735,NaN,65.352,20.1,15.903,20.698
65.386,NaN,63.853,10.767,33.367,69.396,55.428,64.599,33.299,42.303,58.091,62.738,51.27,62.689,82.897,22.43,59.795,NaN,4.4061,NaN,80.06,80.493,NaN,14.761,59.202,45.761,76.734,62.458,72.827,NaN,59.982,76.387,60.788,47.526,71.42,NaN,NaN,53.364,NaN,52.597,NaN,44.52,61.297,50.821,84.29,66.725,65.26,68.429,12.969,57.559,11.424,8.5303,69.261,NaN,64.921,21.306,NaN,NaN,75.864,30.073,NaN,61.755,69.564,39.672,65.555,59.192,61.923,NaN,14.667,27.792,66.991,56.154,NaN,70.267,NaN,74.919,NaN,62.864,65.498,86.723,NaN,19.619,NaN,26.497,NaN,65.667,20.258,16.29,21.536
65.468,NaN,64.15,10.864,34.436,69.716,55.823,64.859,39.941,62.76,58.796,63.663,51.934,66.253,83.352,22.604,62.438,NaN,4.5776,NaN,81.555,84.75,NaN,14.966,59.557,56.295,77.329,65.496,NaN,NaN,61.565,77.231,62.464,48.064,79.686,NaN,NaN,55.088,NaN,57.031,NaN,45.56,69.19,50.923,84.452,67.317,65.398,69.084,13.734,68.663,11.53,8.7875,75.726,NaN,65.294,23.336,NaN,NaN,76.33,31.864,NaN,62.491,70.922,41.136,65.665,59.453,66.724,NaN,32.766,28.06,67.152,56.394,NaN,84.987,NaN,77.687,NaN,68.026,65.658,NaN,NaN,20.496,NaN,26.701,NaN,66.186,20.406,19.304,37.637
65.758,NaN,64.32,11.172,34.751,70.017,56.628,66.063,40.229,64.086,59.073,66.656,57.758,66.423,87.265,22.935,62.528,NaN,4.7336,NaN,84.825,89.088,NaN,15.33,59.786,56.957,78.197,66.02,NaN,NaN,68.331,77.534,62.684,48.554,81.091,NaN,NaN,59.404,NaN,58.692,NaN,46.234,69.264,51.268,84.965,67.454,66.091,70.065,21.532,79.995,11.803,9.0728,76.283,NaN,65.935,23.603,NaN,NaN,76.55,34.328,NaN,63.562,71.502,48.699,73.418,59.95,67.166,NaN,56.033,29.362,82.355,59.082,NaN,85.796,NaN,77.822,NaN,69.519,66.171,NaN,NaN,20.561,NaN,26.962,NaN,66.296,21.059,21.032,37.767
66.286,NaN,64.867,11.342,35.057,70.329,NaN,66.659,45.019,64.528,79.292,66.767,58.295,66.783,87.523,23.239,77.626,NaN,4.9088,NaN,NaN,NaN,NaN,18.2,59.9,70.864,78.457,80.632,NaN,NaN,70.323,NaN,63.632,56.93,NaN,NaN,NaN,59.818,NaN,59.071,NaN,70.191,69.49,51.92,85.254,67.76,66.351,70.723,22.224,80.824,12.261,9.9722,76.434,NaN,66.259,23.696,NaN,NaN,80.029,34.459,NaN,65.663,72.195,48.867,84.423,60.724,67.723,NaN,56.195,36.306,86.727,60.785,NaN,NaN,NaN,82.716,NaN,69.799,66.525,NaN,NaN,20.96,NaN,27.496,NaN,80.166,21.271,25.768,38.099
66.459,NaN,64.99,11.669,35.225,71.052,NaN,67.157,62.454,64.866,83.427,67.387,58.717,68.162,NaN,23.49,77.724,NaN,5.1957,NaN,NaN,NaN,NaN,18.564,60.325,70.998,84.654,NaN,NaN,NaN,70.464,NaN,66.023,57.466,NaN,NaN,NaN,60.753,NaN,59.423,NaN,70.658,70.856,52.026,86.932,69.358,66.525,78.19,23.071,NaN,12.643,10.659,77.783,NaN,66.619,24.201,NaN,NaN,NaN,43.234,NaN,65.755,84.584,56.928,85.093,68.862,68.056,NaN,61.655,36.661,NaN,60.929,NaN,NaN,NaN,83.021,NaN,76.535,66.668,NaN,NaN,21.27,NaN,37.107,NaN,83.355,21.771,25.929,39.364
66.896,NaN,65.185,12.806,35.356,71.227,NaN,67.365,63.594,65.018,84.661,67.62,59.089,68.256,NaN,24.695,78.252,NaN,5.8002,NaN,NaN,NaN,NaN,19.334,62.196,76.39,84.999,NaN,NaN,NaN,77.129,NaN,66.487,58.554,NaN,NaN,NaN,62.458,NaN,62.385,NaN,71.217,79.153,52.168,NaN,69.884,67.727,78.436,38.873,NaN,12.939,12.86,81.59,NaN,66.728,36.185,NaN,NaN,NaN,57.159,NaN,67.751,84.957,57.467,85.933,69.003,68.665,NaN,63.459,37.53,NaN,70.362,NaN,NaN,NaN,83.954,NaN,79.598,66.789,NaN,NaN,21.928,NaN,50.968,NaN,83.722,26.129,26.034,41.206
67.296,NaN,65.725,13.402,35.833,71.83,NaN,68,63.799,65.156,84.761,68.256,60.561,76.386,NaN,25.072,79.57,NaN,5.9599,NaN,NaN,NaN,NaN,19.629,62.659,76.583,85.817,NaN,NaN,NaN,NaN,NaN,68,58.771,NaN,NaN,NaN,65.493,NaN,64.582,NaN,83.662,79.458,52.464,NaN,80.157,69.562,79.659,39.024,NaN,14.308,13.059,81.823,NaN,68.428,60.695,NaN,NaN,NaN,58.624,NaN,68.528,85.435,57.606,86.9,69.924,71.457,NaN,67.723,38.566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.827,66.958,NaN,NaN,22.2,NaN,55.271,NaN,84.498,30.527,29.837,41.325
67.661,NaN,66.43,13.557,36.596,79.161,NaN,68.298,63.987,65.528,86.054,68.719,60.86,76.699,NaN,25.887,79.823,NaN,6.074,NaN,NaN,NaN,NaN,24.523,62.826,80.053,92.684,NaN,NaN,NaN,NaN,NaN,68.917,59.069,NaN,NaN,NaN,66.002,NaN,66.065,NaN,NaN,80.26,59.091,NaN,80.857,70.431,79.798,51.954,NaN,22.895,29.375,83.716,NaN,68.815,76.891,NaN,NaN,NaN,58.766,NaN,68.693,86.452,60.783,92.963,75.321,71.686,NaN,75.585,38.671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.023,67.099,NaN,NaN,25.562,NaN,55.964,NaN,85.919,32.961,37.865,49.464
67.795,NaN,66.557,13.771,37.068,79.856,NaN,68.457,87.55,65.898,86.824,68.795,60.989,76.988,NaN,26.098,81.359,NaN,6.2972,NaN,NaN,NaN,NaN,25.198,65.234,81.251,93.198,NaN,NaN,NaN,NaN,NaN,69.101,59.715,NaN,NaN,NaN,67.69,NaN,66.218,NaN,NaN,80.617,61.191,NaN,81.666,70.655,79.935,53.23,NaN,38.195,41.967,83.934,NaN,68.995,78.088,NaN,NaN,NaN,61.822,NaN,68.863,87.023,60.917,NaN,75.796,72.32,NaN,75.824,44.202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87.213,67.552,NaN,NaN,26.021,NaN,60.537,NaN,86.923,34.793,51.027,52.385
68.225,NaN,66.854,14.004,37.264,80.459,NaN,69.459,88.599,66.131,87.032,69.358,62.221,79.727,NaN,26.229,83.665,NaN,6.8621,NaN,NaN,NaN,NaN,26.034,68.69,81.357,93.449,NaN,NaN,NaN,NaN,NaN,70.195,60.235,NaN,NaN,NaN,69.063,NaN,66.452,NaN,NaN,81.191,61.625,NaN,83.662,71.299,80.129,53.334,NaN,54.366,50.991,84.216,NaN,69.294,79.928,NaN,NaN,NaN,62.105,NaN,69.031,87.754,61.157,NaN,76.687,73.355,NaN,76.191,44.853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90.88,68.331,NaN,NaN,27.433,NaN,60.76,NaN,87.388,35.072,51.163,53.555
