0.93205,19.202,5.9592,53.106,57.163,376.96,246.85,2.4577,263.25,33.325,64.386,109.39,283.58,209.75,353.4,31.069,19.3,75.659,17.163,53.199,335.37,175.19,221.84,106.61,1.2324,80.481,62.839,31.458,19.497,76.765,203.18,210.02,174.07,75.434,283.55,53.857,45.783,61.121,337.33,175.28,65.502,62.726,283.14,33.326,331.91,100.27,62.594,201.38,197.95,413.7,21.163,64.035,221.98,97.817,53.454,141.79,413.69,64.385,106.94,119.32,190.64,9.903,62.924,46.685,93.9,62.752,286.37,63.02,19.625,284.78,11.027,209.87,19.225,18.837,98.326,422.49,315.06,9.8754,107.58,230.61,209.91,19.929,156.94,66.139,19.203,1.6307,241.2,64.036,5.7549,93.361,62.617,263.15,35.316,31.168,209.91,19.463,337.35,0.72505,52.966,19.234,106.53,10.093,216.05,26.795,31.164,4.1582,59.493,65.092,5.9943,156.75,63.858,31.203,64.965,18.677,61.634,174.05,53.134,18.225,13.709,315.31,174.51,47.919,1.0345,84.149,2.5423,18.635,5.27,89.997,94.019,58.199,244.45,317.93,31.185,156.81,81.984,215.89,24.756,64.029,106.92,106.89,31.129,1.6968,9.7598,11.006,19.804,0.74216,2.4254,34.798,18.811,109.52,13.734,32.259,19.488,1.463,19.859
1.5366,19.568,8.228,53.233,58.855,378.37,247.17,8.9999,339.36,34.704,175.46,248.04,284.08,209.89,373.1,31.171,19.496,76.065,62.905,53.505,335.53,315.16,271.74,106.75,11.035,129.89,62.969,33.537,22.134,76.903,371.19,288.08,175.43,75.587,332.04,53.991,45.935,61.456,372.23,175.42,119.48,151.82,284.08,64.724,334.36,294.13,230.52,206.72,198.09,423.68,127.58,93.933,222.15,98.252,53.665,141.89,423.68,98.234,107.15,119.45,192.05,10.864,63.029,109.46,106.75,62.997,306.89,63.158,20.829,285.11,33.505,210.02,66.469,19.195,210.01,422.63,315.31,62.867,174.31,259.75,209.98,22.394,157.23,66.525,63.032,1.767,280.92,141.81,6.2289,107.3,78.817,263.25,35.4,63.027,210.01,106.91,337.47,0.99157,53.196,19.955,106.67,10.91,216.17,27.093,34.702,4.2615,61.018,106.15,8.4402,192.78,64.032,31.31,65.085,19.599,63.32,195.88,53.271,18.765,19.499,315.43,174.66,208.11,1.2687,129.88,12.125,31.119,6.3647,90.164,107.26,137.22,365.7,342.76,31.373,198.07,82.093,224.1,53.885,75.567,111.06,156.79,32.639,1.869,9.8977,58.19,19.923,1.2284,2.7288,62.696,18.937,109.69,17.3,63.296,53.564,1.8707,24.807
1.768,53.162,8.4251,53.55,59.27,378.93,247.44,11.698,355.11,63.997,209.79,264.72,337.31,292.36,373.23,31.423,20.841,76.559,63.031,53.863,365.8,315.27,272.31,151.46,57.728,141.45,139.22,62.72,31.052,113.31,371.34,306.88,195.85,75.926,332.54,183.71,46.39,77.955,372.33,209.88,139.22,175.18,332.1,65.063,334.5,294.75,230.65,208.1,301.57,423.79,350.04,99.884,224.41,98.866,95.247,236.98,423.93,156.92,118.61,119.66,192.19,11.093,63.19,140.28,180.18,63.131,309.77,64.151,31.168,285.35,33.6,210.22,93.946,19.471,317.21,422.79,315.43,63.124,174.45,259.89,306.87,33.271,174.07,98.234,115.38,1.8966,328.1,142.43,9.0003,119.42,78.982,319.4,46.699,63.138,282.98,107.22,372.22,2.462,53.499,20.829,220.54,14.365,314.71,32.321,51.573,17.397,62.634,106.32,8.5599,233.99,64.126,42.775,65.216,19.863,106.38,268.05,53.365,19.424,19.899,372.23,203.51,208.24,3.2651,141.46,13.693,31.301,10.1,107.73,174.11,137.46,377,343.56,33.563,210.05,236.99,263.1,57.16,77.592,224.35,293.59,33.53,2.534,17.625,59.232,53.203,2.6326,9.8395,62.793,19.194,293.74,17.491,64.387,79.43,32.752,31.227
2.2053,62.954,11.254,64.323,59.49,379.86,366.23,14.49,356,64.698,210.39,264.95,338.03,292.46,416.47,31.568,53.126,76.86,77.428,54.097,376.22,327.58,272.77,174.07,57.822,190.32,175.26,170.82,31.239,206.2,373.95,307.01,215.5,78.161,337.31,323.06,46.507,78.082,373.16,211.14,139.34,175.31,332.54,96.519,335.56,374.53,237.11,215.51,316.24,423.93,361,100.25,259.74,99.518,98.221,306.78,424.25,175.41,120.29,141.69,197.32,14.289,63.306,140.43,180.31,64.368,335.57,64.353,52.893,286.37,58.217,283.6,95.236,19.605,317.54,423.05,375.56,93.332,241.2,306.94,307.01,53.182,175.29,99.512,127.26,2.3407,365.59,142.56,9.173,119.68,83.399,319.76,50.853,109.53,306.77,109.59,372.33,2.6287,53.861,63.127,224.18,16.093,315.03,32.437,53.361,19.896,63.123,107.26,11.276,321.66,101.19,42.909,340.36,19.993,106.67,293.83,62.436,26.057,28.221,372.32,246.44,251.65,4.0564,141.82,18.853,33.525,18.8,141.12,174.22,163.14,377.66,343.8,62.695,229.11,306.83,263.27,57.302,78.29,224.47,293.71,99.533,2.6745,18.664,78.718,53.454,5.7335,10.126,64.957,19.404,335.63,63.092,69.888,79.948,37.757,32.303
2.6318,63.302,13.162,65.088,59.799,424.78,366.93,15.805,370.3,65.047,211.09,293.81,338.51,315.21,421.53,33.452,53.537,77.502,100.08,80.162,376.57,327.7,291.17,174.22,58.23,201.4,183.68,185.52,31.562,206.31,374.27,318.06,215.68,78.29,337.61,347.58,63.927,105.08,373.4,215.7,198.11,176.88,337.33,109.9,336.22,376.83,240.7,317.84,316.38,424.25,365.39,100.6,259.89,99.69,98.56,306.94,424.6,175.99,127.23,214.71,198.6,16.031,100.08,141.32,180.44,98.231,336.41,64.75,53.151,304.23,58.36,288.08,98.395,19.869,322.64,425.86,375.83,94.226,282.87,307.27,318.27,62.586,175.41,293.52,175.04,2.5641,366.4,173.5,46.73,141.68,93.263,371.17,64.019,118.52,306.86,129.86,373.19,2.8409,53.998,63.453,256.07,16.241,315.33,63.021,55.991,60.873,99.826,107.35,13.197,323.08,101.36,53.2,350.52,64.322,119.66,316.26,62.968,53.286,31.298,374.31,246.61,267.9,4.4417,175.36,19.487,53.194,19.859,141.22,180.32,164.64,414.99,405.87,62.926,232.81,306.97,293.94,64.02,101.42,249.32,306.74,100.12,3.6326,18.798,99.18,63.068,7.6335,18.662,98.02,19.664,340.01,64.771,70.031,80.949,37.869,33.466
3.1314,98.125,57.459,156.92,59.936,426.27,376.44,17.166,370.44,109.9,211.17,293.95,355.36,316.25,423.31,41.288,62.731,106.31,100.22,82.023,377.69,338.6,296.44,180.3,59.036,233.8,183.79,185.74,52.824,214.22,374.4,318.27,282.95,101.23,337.91,350.66,64.333,105.55,373.54,280.93,198.62,315.14,337.6,139.19,336.63,376.97,240.88,320.26,326.3,424.6,366.33,101.19,306.57,99.832,129.85,332.18,425.73,209.97,175.16,215.11,199.74,16.101,100.19,192.68,199.88,156.81,336.81,90.866,53.55,304.52,61.27,306.78,99.421,31.19,322.77,426.3,378.07,109.08,283.2,327.66,322.76,63.303,195.87,293.8,175.22,2.9974,377.04,215.75,48.424,214.71,93.687,371.3,106.3,118.65,316.43,139.19,373.4,3.4729,195.85,63.888,256.2,17.506,315.43,63.121,57.03,66.162,101.73,196.02,13.34,323.63,131.05,63.002,353.69,64.391,127.41,345.63,64.686,53.684,31.36,375.82,246.74,317.56,10.307,207.61,31.09,63.096,25.663,141.81,180.42,186.38,415.29,413.79,98.253,232.92,328.13,300.7,64.135,120.74,249.45,307.53,101.18,4.161,18.896,99.334,63.193,9.8434,19.158,98.227,33.304,373.08,94.484,83.385,83.152,42.127,33.699
4.2764,118.55,57.963,171.19,76.203,426.52,421.99,18.388,404.78,139.21,315.19,318.41,365.5,316.49,423.69,41.407,62.894,106.56,110.06,101.74,414.85,338.94,313.46,180.44,59.262,233.94,195.92,198.34,53.101,268.18,375.07,318.94,293.81,177.48,338.51,357.8,64.625,106.32,374.17,281.07,209.74,325.07,337.67,139.38,337.4,377.16,325.08,321.81,347.45,NaN,381.84,101.37,306.88,100.13,139.26,335.1,428.28,210.38,175.27,242.15,200.81,17.452,100.49,195.98,221.82,175.04,337.41,93.665,63.325,306.89,76.13,307.02,99.668,31.269,323.18,426.54,378.56,109.5,283.49,327.78,322.87,63.896,215.68,340.55,207.61,3.098,377.17,216.47,48.631,214.87,95.03,429.6,109.58,130.15,316.55,141.48,374.19,4.2393,196.05,64.086,259.68,46.164,337.34,111.5,57.355,78.287,102.8,216.04,57.97,330.8,131.29,63.121,389.23,79.52,127.61,373.29,64.799,57.422,31.571,377.14,246.98,318.21,107.36,233.79,31.322,79.531,26.025,157.95,207.62,206.64,NaN,NaN,107.26,233.35,369.8,300.97,109.45,141.81,259.74,315.27,173.46,4.2933,19.032,100.62,63.327,10.003,19.906,109.75,33.532,377.19,94.592,83.667,83.464,52.929,52.772
5.7292,174.99,58.882,209.8,76.626,426.79,422.62,18.702,424.88,176.88,316.2,320.74,365.64,332.62,423.95,42.67,79.55,106.85,110.2,176.07,415.32,339.52,313.67,199.95,76.561,236.98,198.15,199.09,53.54,286.37,375.24,319.04,316.25,180.72,355.35,363,85.453,106.95,374.47,282.37,209.89,325.21,338.04,139.48,362.21,377.93,325.21,326.21,347.76,NaN,404.15,141.81,363.73,100.7,139.49,335.24,428.63,211.08,263.08,264.87,202.51,18.74,106.89,210.71,246.48,175.22,370.97,93.795,63.764,309.77,76.984,316.42,175.22,31.427,323.88,427.12,379.86,110.52,320.41,327.94,323.06,64.123,215.81,343.06,330.77,3.3909,399.3,241.91,49.718,215.12,95.23,431.83,109.74,139.2,323.05,141.78,374.84,5.6614,322.91,66.126,259.94,46.387,337.46,113.8,57.906,78.533,103.32,263.28,58.885,331.67,132.61,64.319,405.86,79.662,141.71,373.43,79.556,58.355,33.496,377.46,263.14,318.56,107.54,236.99,79.426,93.767,26.688,208.15,207.76,206.77,NaN,NaN,109.45,233.5,369.99,314.46,109.56,141.93,280.84,316.99,173.76,4.5048,31.225,100.77,65.886,10.636,20.391,109.86,42.232,390.04,95.826,83.855,89.785,85.4,52.895
6.0643,215.57,59.488,211.12,102.65,426.88,423.22,19.094,425.49,192.4,316.7,320.96,366.79,338.56,424.23,48.059,82.205,107.29,115.17,192.78,NaN,342.87,315.06,204.15,100.12,306.8,198.61,209.76,61.599,306.84,375.33,319.47,376.93,181.23,365.52,373.01,85.967,109.89,374.82,282.81,210.24,327.59,338.53,172.39,362.34,423.01,326.19,327.3,352.93,NaN,410.69,157.94,366.59,101.2,175.24,338.79,NaN,211.17,263.27,350.4,211.45,45.464,107.03,213.24,246.7,176.01,371.1,130.13,64.09,374.53,77.58,316.54,210.17,31.57,324.34,427.59,424.06,111.23,320.54,328.27,323.64,64.398,268.2,365.6,331.97,3.5914,399.42,242.34,51.87,241.25,96.924,NaN,113.32,141.79,334.37,175.25,375.6,6.627,323.17,66.494,317.78,46.52,372.22,136.36,58.036,78.852,103.46,315.3,59.506,331.9,141.62,64.789,407.15,89.214,141.81,376.66,93.149,60.883,34.659,377.6,263.25,319.73,174.51,248.35,80.728,106.89,26.92,208.25,240.11,210.28,NaN,NaN,118.56,263.35,371.93,315.28,109.72,157.95,365.58,317.1,175.32,4.9599,31.29,100.95,66.029,10.991,26.404,139.22,45.228,402.59,98.059,85.76,93.399,90.72,62.563
6.2358,216.01,60.171,215.64,103.32,427.49,424.32,19.326,NaN,215.35,316.8,322.43,366.93,338.68,NaN,52.926,83.456,107.42,118.33,194.16,NaN,343.04,316.28,205.11,100.56,367.46,201.47,210.41,62.517,308.97,375.62,322.76,379.3,197.94,366.17,373.3,86.095,110.4,423.19,282.95,210.88,327.7,355.36,173.73,368.54,423.39,326.31,327.59,353.4,NaN,NaN,173.29,366.73,101.76,210.19,338.93,NaN,307.39,282.5,377.85,211.58,46.133,109.52,213.51,246.83,210.21,373.57,156.95,66.517,376.9,77.985,322.74,211.48,43.852,332.19,427.92,424.7,111.57,324.19,331.57,323.85,64.726,293.83,365.74,332.51,3.9663,405.72,260.05,52.304,241.34,97.323,NaN,113.45,141.88,335.59,215.42,421.85,6.8626,335.77,94.489,317.91,63.995,372.33,141.41,59.056,79.534,104.45,316.44,60.184,332.17,141.79,79.484,407.49,99.551,157.12,376.92,94.396,61.458,34.769,377.7,287.44,320.11,203.54,248.48,80.865,118.42,29.041,215.75,240.24,211.17,NaN,NaN,120.32,314.37,373.34,315.69,109.93,158.06,365.7,338.57,176.18,5.7052,32.36,101.18,66.127,13.058,26.567,139.36,50.828,403.52,98.253,118.33,99.553,90.892,62.92
