48.702,55.735,0.66703,14.935,29.366,17.234,6.2922,8.2607,9.7682,4.1629,8.2284,4.6072,7.8916,1.2392,1.4102,48.73,34.02,14.362,20.563,29.02,69.897,51.956,56.17,1.7305,38.735,7.8988,13.841,7.4677,8.3953,9.7636,4.0579,0.50426,4.2345,1.231,0.56622,14.424,42.731,5.0733,17.632,0.6718,3.3693,8.6405,4.1338,35.32,1.7331,5.3351,7.9298,0.73834,2.8321,23.406,2.5639,47.252,6.7674,20.188,35.737,3.6329,35.724,4.0001,9.9569,3.3644,2.5667,8.4378,20.927,81.556,2.623,11.271,2.607,22.703,2.6964,0.76513,8.1676,81.366,13.501,7.6684,1.2013,35.132,8.9204,2.606,3.3708,6.5651,1.8996,3.26,21.256,3.9335,2.8059,1.1705,11.364,54.699,0.92489,5.9335,23.462,9.4387,4.8016,9.2056,2.4366,0.70235,2.0338,0.75453,26.996,9.5236,4.6665,8.6612,7.2581,17.338,4.6793,8.8725,2.591,3.8306,1.9606,12.934,3.5581,1.1995,3.4072,14.305,4.7673,16.987,4.8005,13.03,17.523,18.424,1.1719,5.6588,13.933,1.9263,22.692,3.9537,1.9282,1.5667,4.2678,8.7704,0.74043,2.9421,13.035,2.0762,3.0276,5.3389,4.0318,2.0646,0.59572
80.316,56.162,1.0248,15.266,30.886,17.397,6.4276,8.8666,10.093,4.3987,13.028,13.044,8.1015,1.826,1.7043,67.354,46.267,36.357,39.031,29.196,NaN,52.332,59.855,1.863,55.593,8.164,43.204,11.938,8.4941,9.9056,4.4028,1.8995,5.0021,1.6082,0.92648,24.766,42.852,5.1945,17.962,9.1929,9.6307,10.17,30.092,35.838,2.0318,9.9983,9.8089,0.94014,4.2356,42.79,6.2741,47.529,7.5628,20.308,35.865,3.86,35.831,4.5378,17.605,6.9261,2.7032,9.462,24.437,82.12,2.8366,11.429,3.2667,22.903,20.727,1.0953,8.4961,86.233,13.87,8.03,2.2934,39.935,9.1117,3.274,4.9964,7.7685,3.1688,3.4565,21.689,7.8051,3.0392,1.8997,11.598,55.838,1.1283,6.0573,23.623,22.529,5.0278,29.596,3.671,4.5613,8.3435,0.9413,33.598,9.7338,4.9281,24.033,10.931,43.128,4.9275,9.5441,2.7725,3.9709,2.1632,14.938,3.6937,2.739,4.7396,17.625,7.4642,24.023,21.637,15.928,28.202,18.658,1.4349,30.997,22.31,4.1763,22.823,7.0261,12.371,1.7052,9.1697,9.0293,3.6999,3.6062,13.328,3.9617,6.5666,5.529,4.1649,2.1656,1.9209
NaN,56.659,49.364,15.807,30.998,18.704,32.905,10.762,10.339,6.1397,30.927,24.363,20.095,2.8999,7.9299,67.789,46.495,55.021,39.366,54.588,NaN,52.72,59.989,27.094,56.13,8.3544,43.362,15.061,35.958,10.094,4.5403,8.1895,5.1317,13.67,1.2596,45.153,43.203,26.736,18.27,9.3401,10.439,10.359,32.33,36.065,3.1744,12.1,9.9294,20.29,4.6033,48.962,6.8746,54.304,10.587,28.127,35.964,4.8025,47.262,14.165,21.505,7.1377,22.358,12.938,36.037,82.258,8.4985,35.732,4.2047,23.872,20.872,1.2398,8.8956,91.221,14.205,8.2035,2.4428,40.356,9.6558,42.97,5.3306,7.965,3.3087,9.4289,21.795,8.1876,6.3543,2.0087,11.858,55.991,2.5993,6.4549,23.76,39.924,5.3005,36.59,4.096,4.9059,8.7291,7.6659,33.929,26.895,5.9363,29.659,11.57,43.87,8.7362,9.688,12.096,7.0585,2.4289,16.539,3.9049,2.8342,5.7073,17.77,20.669,27.69,27.571,30.885,31.466,18.862,3.1953,32.1,34.122,4.3053,27.43,7.5319,12.871,2.125,9.8056,10.594,3.8032,37.958,26.999,7.6626,6.9562,5.9274,4.8915,9.9013,2.0299
NaN,56.93,50.398,16.058,33.867,18.932,33.501,11.733,11.277,6.2747,31.429,24.539,20.54,8.8971,8.8272,67.984,48.266,55.262,39.559,56.197,NaN,56.49,60.831,30.899,56.388,9.4622,66.452,18.837,44.398,55.06,8.5371,16.303,5.5633,30.12,2.8931,45.525,48.557,38.029,20.769,38.852,10.938,10.961,32.458,37.551,3.4011,18.208,11.365,20.874,6.9306,49.363,26.64,54.999,11.291,28.23,55.364,5.3963,47.624,30.593,30.198,11.143,36.022,20.432,38.887,83.797,8.6264,41.26,5.7276,24.337,22.674,1.9098,29.861,NaN,39.054,15.837,3.2631,41.099,30.073,46.903,5.4688,12.062,4.302,9.8645,22.073,8.8969,6.5007,2.6619,12.173,58.459,3.3035,6.9316,26.863,42.157,5.8281,36.888,14.822,5.4994,12.106,7.792,34.035,27.13,16.662,34.588,22.363,47.249,8.8587,9.8259,13.461,7.2639,2.5655,17.121,4.0399,3.9007,6.2549,21.643,22.542,32.628,27.662,31.024,31.867,18.997,3.7001,37.593,34.256,4.5315,45.232,7.8052,15.024,2.2037,9.9417,12.737,8.6326,56.755,31.167,8.7618,7.0758,6.4949,5.7574,14.303,3.8969
NaN,57.294,51.593,16.274,44.103,19.601,34.329,30.1,11.773,6.9972,33.494,33.23,39.332,9.2946,9.0934,68.331,64.66,55.662,41.557,56.631,NaN,56.669,76.686,31.257,NaN,10.225,66.653,27.506,47.629,NaN,8.5965,30.872,5.9275,48.64,3.3311,52.293,48.731,38.202,29.594,39.326,11.038,11.327,32.695,43.89,3.5578,24.623,11.559,20.989,10.133,77.76,33.864,55.268,12.129,38.698,55.468,10.501,47.894,32.657,30.931,16.859,52.199,28.339,39.369,84.068,22.664,41.371,5.9754,38.961,38.257,2.0304,34.695,NaN,47.556,16.009,3.3695,41.99,30.489,70.366,6.0277,12.438,9.1893,35.502,23.433,12.674,7.3041,2.8104,12.307,58.598,3.5336,7.0895,26.971,42.387,7.1428,37.575,15.261,5.5994,12.673,8.5868,43.054,28.228,16.774,34.903,22.657,48.27,12.864,44.328,14.038,7.8253,3.0251,20.535,4.4098,4.03,7.2752,36,25.862,32.725,29.059,31.319,33.657,32.071,4.669,53.597,37.359,7.3696,45.529,10.892,15.163,2.5389,10.16,23.855,9.0692,58.571,31.299,8.8892,8.9237,6.7049,9.8302,14.635,4.0343
NaN,58.063,51.858,16.889,44.697,20.135,35.634,30.475,12.826,7.1408,33.602,50.32,67.3,15.298,23.991,68.892,64.789,69.903,43.204,69.928,NaN,57.157,77.193,32.506,NaN,10.602,79.194,35.098,56.327,NaN,21.558,31,7.1993,51.731,3.6995,52.956,54.158,38.394,30.097,44.238,11.992,23.837,33.397,56.163,12.905,25.199,13.492,31.428,13.169,85.814,34.221,55.991,13.036,44.129,55.959,11.497,48.696,43,31.227,17.12,52.297,28.597,39.46,84.625,23.63,42.79,7.1337,43.67,38.387,8.238,35.397,NaN,48.194,16.262,3.6374,42.856,46.432,70.517,6.8259,12.857,11.095,46.936,24.698,16.438,7.4925,3.8574,13.77,NaN,4.8309,7.8966,42.736,42.602,10.198,40.667,15.506,6.6625,16.244,8.9668,44.666,28.432,17.096,35.37,22.831,51.199,13.195,46.22,14.46,12.704,8.202,38.971,4.8961,4.9881,12.736,36.204,26.132,35.257,29.864,51.86,34.161,54.267,5.2655,54.29,37.558,7.7749,51.317,12.665,19.306,2.9291,36.265,26.886,9.5653,59.595,32.568,12.72,9.355,7.8595,18.291,14.809,4.9711
NaN,58.595,52.222,17.032,46.335,20.423,35.754,32.201,13.607,8.7585,44.687,72.765,78.922,15.731,24.17,69.62,65.321,70.152,48.255,76.184,NaN,57.333,77.895,42.956,NaN,10.732,86.09,60.662,56.627,NaN,28.995,33.932,7.4676,51.968,3.8311,56.1,81.155,40.156,30.369,50.617,12.105,24.002,33.525,76.688,13.167,25.431,13.796,35.764,13.301,86.516,44.363,59.869,42.337,45.703,77.723,12.033,52.457,43.899,35.819,17.257,84.666,28.938,55.219,89.262,40.063,44.163,7.2574,43.894,51.159,13.06,35.821,NaN,48.824,17.527,7.3654,43.365,47.027,74.001,8.7371,16.633,14.1,47.029,24.969,16.526,7.8636,4.0045,16.76,NaN,5.6274,8.7331,43.129,43.858,10.593,47.298,17.026,7.1053,17.09,12.702,46.164,30.96,17.337,35.8,24.198,51.957,13.732,52.299,18.19,19.763,12.321,54.658,5.023,5.0887,13.323,47.175,28.407,35.405,34.691,51.968,44.194,59.854,7.5382,54.593,40.096,7.9248,51.531,12.798,19.593,3.06,43.062,27.727,9.8371,59.721,33.602,16.005,9.7917,7.9613,18.492,14.944,5.1002
NaN,59.089,52.429,17.238,46.56,39.293,67.29,35.498,13.793,9.8399,46.334,97.684,79.398,15.872,33.035,69.761,67.024,NaN,78.685,78.718,NaN,57.724,78.017,43.789,NaN,46.984,86.459,60.769,67.726,NaN,29.169,35.292,7.9234,53.117,3.966,56.229,91.996,40.723,30.499,51.218,12.4,24.228,56.828,77.189,13.441,25.559,14.057,54.956,14.892,86.931,46.183,71.753,42.756,46.985,90.726,12.166,54.469,44.1,36.731,17.66,84.946,30.975,55.633,NaN,42.107,44.691,8.7032,44.059,51.425,13.167,41.732,NaN,80.237,26.988,8.5946,48.095,47.399,NaN,9.4947,22.299,14.526,49.669,25.17,27.09,7.9283,5.0783,25.794,NaN,5.7727,9.8761,48.228,50.619,14.066,47.55,17.261,7.2423,17.202,12.898,46.318,31.223,18.231,51.467,24.963,52.229,17.354,55.202,19.237,19.91,12.435,54.826,8.3659,14.158,13.462,54.465,28.535,51.456,41.63,54.502,44.324,63.965,8.2322,54.926,40.59,9.6687,51.796,17.786,19.739,3.4007,47.163,29.034,9.9735,61.364,33.933,16.537,10.062,8.0688,18.864,15.068,6.4033
NaN,59.591,52.725,17.398,46.688,39.436,69.919,35.701,14.058,10.505,46.495,97.759,81.13,26.302,33.457,70.786,76.997,NaN,79.119,82.498,NaN,77.13,78.63,44.222,NaN,47.204,96.085,65.287,67.852,NaN,41.462,44.227,8.0406,67.089,18.34,66.172,92.324,41.4,30.724,51.448,12.493,24.506,58.691,78.657,21.643,30.458,14.728,55.069,15.369,NaN,46.42,76.688,53.704,47.266,NaN,12.569,59.401,45.228,40.884,18.37,85.915,31.197,55.829,NaN,42.238,45.138,22.338,51.927,54.319,18.866,46.918,NaN,99.257,27.9,34.631,48.231,51.956,NaN,9.7938,22.454,14.676,51.059,46.689,27.43,8.2539,6.3925,25.995,NaN,5.9911,12.345,48.431,60.498,14.207,47.688,22.555,8.1022,25.166,14.853,46.468,34.624,26.984,52.595,28.494,56.226,17.601,55.997,19.387,20.895,13.433,55.028,11.202,15.022,16.998,54.673,32.265,51.838,43.735,54.89,44.557,64.184,9.3376,63.831,43.561,9.7661,52.33,19.91,20.77,4.4717,54.593,29.489,10.128,64.29,34.035,21.128,10.366,8.5347,19.537,21.132,6.608
NaN,59.934,53.219,17.629,48.294,40.237,70.06,36.202,14.926,12.503,54.532,NaN,88.387,26.393,48.59,71.157,78.43,NaN,80.498,82.79,NaN,NaN,79.851,53.558,NaN,47.963,97.533,66.69,77.9,NaN,41.752,46.226,8.1999,70.552,18.927,71.395,92.423,41.74,31.17,51.729,12.726,29.201,58.958,88.523,21.739,32.195,15.289,62.658,26.931,NaN,69.735,76.816,54.304,47.99,NaN,12.837,78.064,45.465,47.597,24.598,89,31.296,56.167,NaN,42.629,77.131,35.736,52.366,54.696,19.002,47.463,NaN,99.72,28.941,42.799,49.691,54.328,NaN,9.9284,22.734,16.429,54.95,47.521,28.993,9.2027,6.5885,26.093,NaN,6.5661,12.96,49.028,60.636,14.658,47.818,22.731,8.2364,25.526,15.828,49.633,43.16,29.556,56.097,44.861,59.631,17.675,59.004,19.999,22.256,13.572,55.527,17.239,15.157,17.26,56.134,33.405,54.218,46.187,67.03,46.193,64.468,9.429,68.692,51.129,10.363,53.93,20.889,20.891,4.5689,55.263,32.693,10.7,69.461,36.133,26.86,10.509,9.8025,19.736,21.492,7.137
