21.966,6.1662,5.6884,5.7341,2.9434,7.3582,8.7432,3.2016,3.9316,2.6069,2.6049,3.9232,2.688,2.6017,2.7996,4.8057,3.604,2.7254,2.4372,3.145,3.2731,5.9752,3.0757,3.365,2.6432,2.7731,1.0685,4.3707,30.622,1.1299,2.7735,1.559,1.6371,2.2667,3.258,7.4909,3.9276,3.9048,3.0325,3.2956,1.0612,8.7758,2.5951,2.5045,1.1573,3.6724,3.4591,2.7136,5.9352,4.9333,0.82563,1.5115,2.4553,3.5065,3.232,4.026,1.1596,1.0988,1.1875,1.1763,2.876,1.5688,6.6014,0.69134,2.9238,2.4425,2.6031,1.0262,5.672,2.6009,4.9318,2.9635,5.8719,2.7395
23.559,7.9881,6.3592,6.4763,4.0266,7.8882,9.5653,6.5722,4.1364,3.9011,5.874,4.1953,4.0277,2.7372,2.9054,9.1636,8.0929,2.8307,3.2375,3.9056,3.9094,8.2425,3.3614,6.2681,3.3008,8.8991,1.5708,6.3331,30.763,1.8942,4.1749,3.4698,1.7731,2.3704,4.412,7.6337,4.8351,6.5725,3.1385,3.9342,1.9361,10.992,2.8241,2.6224,2.2412,5.024,5.9958,5.4907,6.6012,7.9425,2.434,1.6291,2.765,4.5613,3.893,11.23,1.276,1.2428,1.3013,1.2707,4.0336,1.6708,8.8898,3.2781,4.1667,2.5262,3.0627,2.5735,5.7751,10.872,7.0872,4.3348,7.0591,4.0077
23.699,8.7278,7.4677,7.2975,4.1338,8.0063,9.7385,6.826,8.0609,8.9555,6.5576,6.972,4.1701,2.8366,11.134,9.4621,9.6052,6.3373,3.3552,4.0025,4.0027,8.3285,6.8235,6.3673,3.9058,10.875,1.725,6.9965,34.331,2.2399,4.9255,4.4005,2.6682,2.6444,6.595,20.917,7.3604,7.5726,5.6286,4.0414,2.6904,11.104,2.9068,2.8201,2.8714,6.6382,6.1092,5.6664,6.8416,8.5071,2.8055,2.0761,3.1326,4.8915,6.097,11.991,2.7623,1.5012,3.0747,5.7879,5.0393,3.2723,8.9954,3.456,5.0559,5.0257,3.1992,2.6939,5.928,23.257,7.9354,5.5552,8.3407,5.7666
29.774,9.0623,7.6074,7.9064,9.4249,8.1294,10.169,7.0902,8.1669,20.432,6.64,7.2197,5.1616,3.0774,18.341,9.5951,10.943,6.47,3.4978,8.906,4.3676,14.605,8.8571,6.6342,4.4017,11,2.1352,7.1329,36.801,2.4379,5.031,4.5381,3.2247,2.8571,6.932,21.043,7.4984,7.6655,5.7718,4.4706,2.9757,14.356,5.6977,3.002,4.8311,6.8645,6.8246,7.1602,6.9903,11.593,2.9347,3.257,3.9017,7.9076,6.8069,12.311,2.9098,1.6947,3.1648,7.3211,5.263,3.3898,13.357,4.0093,5.3769,6.6534,4.8052,4.4309,9.413,25.904,11.132,5.7543,8.6955,13.024
29.864,9.404,7.9864,9.1605,10.492,14.562,10.961,8.904,9.1642,20.661,7.4294,7.495,6.0634,6.9727,18.463,10.432,17.339,7.9972,6.4286,9.0428,6.6359,16.87,9.0599,6.7747,5.3925,17.254,2.2289,7.9681,36.932,2.5949,5.4696,8.8928,3.6292,3.0952,10.928,23.14,7.6979,8.9626,8.7045,4.6089,3.6939,17.428,5.8062,7.2907,4.9937,8.6923,8.1386,8.6654,8.2293,11.972,3.3722,4.1696,6.9385,8.2605,7.0013,12.801,3.3032,1.8677,3.4371,7.4392,5.3712,4.9411,17.687,5.3353,5.945,9.3269,5.0582,4.902,11.494,32.726,11.265,7.8607,8.8017,13.134
33.858,9.7395,8.1083,9.2662,10.939,20.495,11.528,20.399,9.2689,23.598,7.5693,9.7102,6.9432,7.1001,18.759,10.628,20.207,9.2242,8.0566,17.224,6.7264,23.266,14.508,8.6867,7.8932,20.708,2.6591,8.0919,39.264,3.1433,5.8058,8.9974,5.2426,3.8251,11.093,23.267,8.5095,9.0731,8.8028,6.8095,6.2651,20.904,6.89,7.5292,5.7678,8.7973,8.2659,8.8091,9.7971,12.231,6.2661,4.6047,7.6669,8.6699,8.699,14.438,4.5633,2.2979,3.6398,11.736,11.089,5.1007,17.838,7.2947,8.5024,9.4965,5.2961,5.9652,13.454,34.786,13.034,12.102,9.4047,13.971
34.029,11.125,10.366,9.9704,11.104,20.638,11.998,20.725,9.7203,23.728,7.9436,9.9621,7.9768,8.8957,20.07,11.025,20.333,9.4365,18.328,20.389,8.8985,34.106,20.4,8.8104,8.9359,25.869,3.8997,8.7723,40.388,3.7344,5.9306,11.058,5.3634,4.7688,11.191,28.688,8.7073,11.607,9.4193,7.0415,6.4392,21.032,7.0346,8.3587,6.11,12.126,9.0955,9.4431,11.006,12.426,6.4004,4.8315,8.8013,8.906,9.2357,14.539,5.5626,3.4323,4.5904,11.842,11.264,5.3743,19.761,7.4683,8.6389,10.376,5.9673,7.197,13.574,36.16,13.505,12.228,9.7283,17.499
36.124,11.373,10.531,10.079,11.599,21.106,12.329,23.594,10.071,25.554,8.7701,10.077,8.0951,9.0076,25.738,11.503,20.462,9.5673,18.458,20.501,10.975,34.225,20.736,9.7018,20.395,30.768,8.7929,12.298,41.793,4.4376,7.9606,11.655,6.9891,4.834,13.739,28.791,9.7094,11.736,11.763,7.8006,7.9673,29.058,8.6631,9.1561,6.2307,13.339,9.3887,10.871,11.908,13.036,8.539,5.4009,13.459,12.733,14.667,29.821,5.7989,5.2643,5.2035,14.701,14.04,5.8319,19.89,10.64,8.8394,10.496,6.2593,7.9236,13.975,36.269,14.091,12.966,10.568,17.632
36.566,11.53,21.466,10.402,12.161,21.599,13.19,23.738,10.958,25.775,10.828,10.301,8.7428,16.467,25.888,11.763,21.587,9.7399,21.423,25.828,11.192,37.952,25.783,9.8066,20.828,30.858,8.9683,23.462,42.72,4.8038,8.8432,12.29,7.6934,5.7591,20.156,29.858,9.837,20.397,11.86,8.5967,8.268,34.188,9.1095,9.7565,6.8266,15.768,9.4891,11.137,14.562,13.265,8.6625,5.5005,14.376,13.605,15.761,46.219,6.7025,5.8056,6.1247,18.956,14.224,5.9295,20.067,10.777,8.9632,11.085,6.4964,8.459,14.102,39.439,21.018,13.135,10.673,18.164
39.869,12.126,21.6,10.962,12.309,23.362,13.337,24.838,11.105,25.932,10.976,10.795,9.7008,16.599,38.899,11.871,28.569,10.591,21.566,26.403,11.639,38.031,28.738,10.927,21.254,32.734,10.404,25.82,43.105,5.2383,8.9731,16.388,8.1672,12.434,20.665,37.524,11.762,20.491,17.524,9.3748,9.7628,38.25,10.932,9.8743,6.8967,15.933,11.022,11.804,14.67,13.406,10.803,5.6958,20.324,13.728,16.332,72.465,6.8556,6.0789,6.7972,20.803,20.964,7.0222,20.695,11.735,10.799,11.21,6.8095,8.5585,14.231,40.524,21.162,13.397,11.065,21.588
