10.336,21.09,8.4746,9.967,46.594,11.262,4.7589,125.62,1.0413,1.4969,4.8952,8.8283,9.8281,8.6611,23.206,0.75829,9.6325,0.7358,23.038,11.095,9.0442,24.032,7.964,9.564,60.519,21.191,63.797,5.8715,9.0254,9.6014,90.359,5.0361,8.7949,24.509,5.4993,45.964,0.79616,25.836,5.2306,26.225,2.429,21.693,6.1969,10.639,21.118,12.53,25.6,9.9636,15.491,61.556,73.351,5.0916,3.9261,2.3589,0.60289,22.166,7.8377,9.6012,9.6753,2.3369,22.326,2.3197,2.0422,4.0262,6.3285,8.6533,11.268,5.1296,0.76472,62.23,6.2941,0.63454,8.5033,86.512,14.633,2.3326,1.3336,3.6319,0.9305,9.5358,68.787,5.5938,4.0263,9.5623,0.73362,21.362,2.2668,2.3213,4.6413,21.329,8.7037,1.1353,8.7029
11.058,23.856,72.718,23.636,68.46,32.707,4.9069,NaN,1.8975,9.2988,5.129,19.257,11.36,11.104,55.431,5.1966,22.873,9.7633,92.728,58.922,10.288,38.966,8.1015,77.933,65.697,21.425,67.658,23.007,11.232,9.8064,90.491,9.5543,23.426,25.441,10.862,100.13,19.064,25.959,9.7386,50.788,6.5582,83.087,26.262,18.356,21.286,20.422,73.686,23.36,15.839,61.74,73.5,5.3013,5.8909,2.5119,1.2622,22.531,72.651,21.135,9.9262,8.8285,54.387,2.5692,4.5669,37.641,8.1316,21.93,12,8.2953,1.7269,77.627,6.4949,36.159,8.7966,NaN,15.493,3.5083,9.3697,9.6761,17.494,9.8331,69.324,22.52,8.6311,23.265,17.098,24.125,9.6038,2.478,4.7294,41.808,9.5317,2.2307,8.8738
12.662,26.838,100.15,38.663,68.594,45.362,5.2237,NaN,2.129,10.932,6.9363,21.867,11.603,23.331,77.92,23.661,23.14,22.099,92.823,59.122,10.454,103.25,9.2618,78.06,74.033,26.834,68.355,23.144,11.966,23.295,91.358,9.8954,29.075,25.588,18.402,100.53,19.229,52.997,9.8744,60.265,6.9597,87.026,26.766,19.666,21.435,21.794,105.02,24.171,19.633,65.695,112.33,8.3899,13.641,5.0371,1.4712,25.597,98.446,21.621,38.324,19.191,68.586,20.992,16.97,70.497,23.536,22.368,12.093,8.5719,1.8714,77.762,6.7308,65.692,10.538,NaN,21.87,3.6381,12.068,9.9686,17.641,22.092,69.422,22.604,10.833,23.466,17.259,24.398,9.8044,4.0367,4.9915,41.935,10.062,2.4002,9.0603
13.864,38.491,104.62,72.989,73.293,71.225,23.567,NaN,9.6335,11.362,7.1755,90.555,12.731,32.59,92.816,118.52,24.729,22.231,99.856,NaN,10.728,103.36,9.3731,100.13,112.63,26.968,69.354,79.835,13.262,105.48,92.633,22.197,31.006,25.904,18.604,NaN,46.464,55.001,10.165,109.82,7.1057,87.257,29.206,21.92,24.006,21.957,105.35,38.861,20.122,65.958,120.64,8.6381,25.626,6.6367,4.8317,29.099,104.52,22.2,65.783,57.773,69.354,21.156,17.605,71.813,23.604,44.797,12.539,9.7238,2.0013,92.825,13.864,77.224,10.933,NaN,22.132,3.7362,19.138,22.695,18.462,22.369,77.185,23.674,20.924,23.609,17.764,26.303,12.098,8.5052,8.6924,42.431,11.189,2.4728,23.422
14.226,38.595,107.26,85.528,97.721,71.363,99.115,NaN,18.77,12.198,10.173,NaN,19.699,32.694,92.93,NaN,25.067,124.66,106.43,NaN,44.84,116.72,9.5735,NaN,NaN,38.424,100.79,96.599,13.424,111.25,92.816,23.289,31.297,45.858,23.896,NaN,57.429,60.535,22.96,116.42,13.903,96.918,29.424,25.639,24.402,24.354,105.56,72.793,21.888,66.132,126.26,10.253,25.796,9.0358,5.0031,31.599,NaN,22.768,72.76,69.116,124.61,22.703,17.79,77.188,24.497,51.187,22.538,9.9284,4.857,120.95,14.097,77.388,19.459,NaN,35.895,4.6076,19.474,29.368,18.706,22.632,95.126,23.826,21.828,23.736,17.865,30.256,22.069,8.9274,9.0671,42.538,11.501,5.7647,23.556
23.463,72.256,113.12,100.15,106.72,85.521,99.687,NaN,19.633,19.034,17.06,NaN,22.637,45.352,NaN,NaN,26.732,NaN,112.01,NaN,84.659,128.79,10.334,NaN,NaN,38.689,101.03,96.826,19.628,111.99,NaN,55.397,35.824,54.785,24,NaN,60.957,60.659,23.064,125.89,17.572,97.061,29.873,25.866,38.372,42.424,107.26,73.165,29.073,116.96,NaN,21.439,31.429,9.2915,11.827,33.627,NaN,23.233,73.969,69.234,NaN,22.892,18.67,77.316,25.891,51.297,27.459,10.397,5.0305,125.12,14.5,95.126,21.619,NaN,42.187,8.3711,19.701,29.832,18.858,24.664,NaN,24.139,22.1,38.304,50.731,30.492,22.209,9.5567,9.2369,47.794,11.757,8.5282,23.955
45.12,73.597,116.36,106.52,106.86,100.03,118.54,NaN,20.932,19.401,18.502,NaN,23.232,72.723,NaN,NaN,44.222,NaN,125,NaN,100.05,130.91,10.833,NaN,NaN,38.861,101.3,98.214,20.334,119.89,NaN,55.627,37.566,55.333,47.667,NaN,61.555,60.803,55.363,126.01,18.003,98.386,30.129,26.704,38.765,42.921,107.39,100.15,29.236,125.99,NaN,23.533,32.432,9.466,12.463,44.67,NaN,23.691,84.785,69.355,NaN,23.401,19.666,84.349,27.207,52.86,29.768,22.186,23.704,125.25,19.592,NaN,23.425,NaN,42.525,8.4912,21.324,37.855,19.526,25.124,NaN,24.63,22.235,38.626,50.836,30.626,25.624,11.739,9.4646,48.158,12.526,8.7055,24.291
45.391,74.758,116.58,107.26,114.59,100.15,NaN,NaN,21.273,20.097,18.725,NaN,46.959,84.826,NaN,NaN,44.937,NaN,125.23,NaN,100.19,NaN,11.06,NaN,NaN,50.158,101.51,106.16,20.538,NaN,NaN,58.096,38.004,56.424,60.866,NaN,65.659,79.52,55.464,130.65,19.038,NaN,106.89,29.366,38.901,42.997,108.68,105.92,29.693,126.46,NaN,23.797,32.866,9.8282,23.555,53.167,NaN,44.024,84.921,119.42,NaN,23.707,24.374,89.731,28.389,55.564,29.865,22.552,33.524,NaN,21.02,NaN,23.709,NaN,42.962,8.6949,21.436,38.223,19.661,27.428,NaN,24.878,22.529,38.868,66.261,52.636,57.7,13.365,10.399,48.232,18.43,50.424,24.399
71.233,75.033,NaN,108.33,128.11,105.89,NaN,NaN,22.6,21.369,19.825,NaN,76.73,99.727,NaN,NaN,45.093,NaN,125.99,NaN,111.88,NaN,12.298,NaN,NaN,72.551,103.07,129.61,23.904,NaN,NaN,58.236,38.329,63.229,60.969,NaN,90.524,89.026,93.026,NaN,22.697,NaN,107.18,29.7,50.135,73.134,108.85,106.08,30.74,NaN,NaN,24.063,33.527,15.519,23.86,53.666,NaN,51.691,98.027,NaN,NaN,23.924,26.532,95.247,32.967,84.531,30.191,23.306,79.896,NaN,21.666,NaN,29.427,NaN,44.536,15.354,23.198,38.33,21.563,41.198,NaN,26.7,22.671,39.024,74.492,68.627,57.794,17,10.967,50.353,22.532,50.529,24.531
85.916,100.03,NaN,108.92,129.59,107.15,NaN,NaN,22.936,21.858,20.73,NaN,76.888,99.791,NaN,NaN,93.025,NaN,129.52,NaN,112.25,NaN,14.74,NaN,NaN,78.025,103.19,129.92,35.703,NaN,NaN,70.861,53.669,102.35,85.732,NaN,90.666,95.294,93.218,NaN,23.271,NaN,107.27,29.934,50.297,73.256,109.92,106.42,30.993,NaN,NaN,38.902,34.284,15.641,24.035,86.518,NaN,63.648,99.987,NaN,NaN,56.427,54.8,104.55,33.065,102.27,30.333,25.597,91.248,NaN,22.298,NaN,32.523,NaN,44.643,15.496,23.937,52.107,38.885,77.25,NaN,41.57,22.801,71.793,74.892,68.764,60.973,19.198,12.036,50.459,25.559,57.688,24.924
86.089,102.19,NaN,NaN,129.81,115.02,NaN,NaN,23.203,22.637,23.291,NaN,118.82,100.09,NaN,NaN,93.217,NaN,129.73,NaN,112.52,NaN,21.139,NaN,NaN,100.82,NaN,NaN,66.429,NaN,NaN,85.027,58.133,102.43,86.42,NaN,98.552,96.23,94.749,NaN,23.605,NaN,117.09,29.993,50.702,78.231,110.15,NaN,31.532,NaN,NaN,39.035,34.623,22.175,31.419,93.055,NaN,71.064,100.22,NaN,NaN,56.555,55.399,129.66,33.733,102.53,43.331,35.824,91.366,NaN,24.13,NaN,32.658,NaN,45.667,15.594,24.406,53.329,46.86,77.588,NaN,41.729,26.741,72.517,75.018,71.453,66.168,20.89,13.274,51.22,30.536,69.228,25.903
