Cbl1,Cbl22
Cbl1,Cbl44
Cbl2,Cbl3
Cbl2,Cbl4
Cbl2,Cbl5
Cbl2,Cbl6
Cbl2,Cbl9
Cbl2,Cbl12
Cbl2,Cbl16
Cbl2,Cbl19
Cbl2,Cbl22
Cbl2,Cbl24
Cbl2,Cbl25
Cbl2,Cbl28
Cbl2,Cbl29
Cbl2,Cbl30
Cbl2,Cbl34
Cbl2,Cbl35
Cbl2,Cbl37
Cbl2,Cbl40
Cbl2,Cbl44
Cbl2,Cbl46
Cbl2,Cbl53
Cbl2,Cbl56
Cbl2,Cbl57
Cbl2,Cbl58
Cbl2,Cbl59
Cbl2,Cbl60
Cbl2,Cbl61
Cbl2,Cbl62
Cbl2,Cbl63
Cbl2,Cbl68
Cbl2,Cbl70
Cbl2,Cbl71
Cbl2,Ctx21
Cbl2,Ctx26
Cbl2,Ctx30
Cbl2,Ctx54
Cbl2,Ctx60
Cbl2,Ctx64
Cbl2,Ctx81
Cbl2,Ctx83
Cbl2,Ctx113
Cbl2,Ctx121
Cbl2,Ctx127
Cbl2,Ctx140
Cbl2,Ctx148
Cbl2,Ctx183
Cbl2,Ctx212
Cbl3,Cbl24
Cbl3,Cbl28
Cbl3,Cbl29
Cbl3,Cbl30
Cbl3,Cbl35
Cbl3,Cbl38
Cbl3,Cbl44
Cbl3,Cbl68
Cbl3,Ctx26
Cbl3,Ctx64
Cbl4,Cbl6
Cbl4,Ctx64
Cbl4,Ctx212
Cbl5,Cbl6
Cbl5,Cbl28
Cbl6,Cbl8
Cbl6,Cbl22
Cbl6,Cbl25
Cbl6,Cbl28
Cbl6,Cbl40
Cbl6,Cbl44
Cbl6,Cbl53
Cbl6,Cbl60
Cbl6,Ctx54
Cbl6,Ctx148
Cbl6,Ctx212
Cbl8,Cbl25
Cbl8,Cbl28
Cbl8,Cbl29
Cbl8,Cbl44
Cbl8,Ctx140
Cbl9,Cbl12
Cbl9,Cbl16
Cbl9,Cbl28
Cbl9,Cbl29
Cbl9,Cbl42
Cbl9,Cbl43
Cbl9,Cbl44
Cbl9,Cbl53
Cbl9,Cbl59
Cbl9,Ctx54
Cbl9,Ctx121
Cbl9,Ctx212
Cbl12,Cbl16
Cbl12,Cbl25
Cbl12,Cbl29
Cbl12,Cbl43
Cbl12,Cbl44
Cbl12,Cbl53
Cbl12,Cbl56
Cbl12,Cbl58
Cbl12,Cbl59
Cbl12,Cbl61
Cbl12,Ctx48
Cbl12,Ctx56
Cbl12,Ctx121
Cbl12,Ctx212
Cbl14,Cbl60
Cbl16,Cbl44
Cbl16,Ctx54
Cbl17,Cbl22
Cbl17,Cbl27
Cbl17,Cbl28
Cbl17,Cbl38
Cbl17,Cbl40
Cbl17,Cbl42
Cbl17,Cbl51
Cbl17,Ctx127
Cbl17,Ctx140
Cbl17,Ctx214
Cbl19,Cbl22
Cbl19,Cbl25
Cbl19,Cbl34
Cbl19,Cbl40
Cbl19,Cbl45
Cbl19,Ctx26
Cbl19,Ctx83
Cbl19,Ctx127
Cbl19,Ctx140
Cbl19,Ctx212
Cbl22,Cbl25
Cbl22,Cbl28
Cbl22,Cbl34
Cbl22,Cbl40
Cbl22,Cbl44
Cbl22,Cbl45
Cbl22,Ctx54
Cbl22,Ctx91
Cbl22,Ctx127
Cbl22,Ctx135
Cbl22,Ctx140
Cbl24,Cbl29
Cbl24,Cbl43
Cbl24,Cbl44
Cbl24,Cbl45
Cbl24,Cbl56
Cbl24,Cbl68
Cbl24,Ctx140
Cbl24,Ctx196
Cbl25,Cbl28
Cbl25,Cbl29
Cbl25,Cbl34
Cbl25,Cbl35
Cbl25,Cbl38
Cbl25,Cbl44
Cbl25,Cbl45
Cbl25,Cbl46
Cbl25,Cbl50
Cbl25,Cbl53
Cbl25,Cbl57
Cbl25,Cbl59
Cbl25,Cbl62
Cbl25,Cbl67
Cbl25,Ctx26
Cbl25,Ctx30
Cbl25,Ctx83
Cbl25,Ctx121
Cbl25,Ctx135
Cbl25,Ctx140
Cbl25,Ctx191
Cbl25,Ctx198
Cbl25,Ctx206
Cbl25,Ctx212
Cbl26,Cbl65
Cbl26,Ctx60
Cbl26,Ctx83
Cbl26,Ctx113
