1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
11,12
13,13
14,14
15,17
16,19
17,20
18,22
19,23
20,24
21,26
22,27
23,28
25,29
26,30
27,31
28,32
29,33
30,34
31,35
32,37
33,40
34,41
35,42
36,43
37,44
38,45
39,47
41,49
42,50
43,51
44,53
45,54
46,55
47,58
48,60
49,61
50,63
51,64
52,66
53,67
55,68
57,70
58,71
59,72
60,75
61,76
62,77
63,78
64,82
65,83
66,84
68,87
70, 
72, 
73, 
74, 
76, 
77, 
78, 
79, 
80, 
81, 
82, 
83, 
84, 
85, 
86, 
87, 
88, 
89, 
90, 
91, 
92, 
93, 
94, 
95, 
96, 
97, 
98, 
99, 
100, 
101, 
103, 
104, 
105, 
106, 
107, 
108, 
110, 
111, 
112, 
113, 
115, 
116, 
117, 
119, 
120, 
121, 
122, 
123, 
124, 
125, 
126, 
127, 
128, 
130, 
131, 
132, 
133, 
134, 
136, 
137, 
138, 
139, 
140, 
141, 
142, 
143, 
144, 
145, 
146, 
148, 
149, 
151, 
154, 
155, 
156, 
157, 
159, 
160, 
161, 
163, 
164, 
165, 
166, 
