8.598000000000000753e+00,8.620000000000000995e+00
1.550800000000000090e+01,1.555600000000000094e+01
2.098799999999999955e+01,2.128600000000000136e+01
2.224899999999999878e+01,2.252400000000000091e+01
2.273400000000000176e+01,2.285000000000000142e+01
2.346999999999999886e+01,2.358600000000000207e+01
2.489600000000000080e+01,2.494900000000000162e+01
2.558200000000000074e+01,2.573100000000000165e+01
2.573600000000000065e+01,2.581899999999999906e+01
2.800600000000000023e+01,2.808699999999999974e+01
3.074399999999999977e+01,3.093800000000000239e+01
3.119399999999999906e+01,3.121199999999999974e+01
3.266400000000000148e+01,3.277799999999999869e+01
3.339600000000000080e+01,3.344800000000000040e+01
7.089700000000000557e+01,7.095199999999999818e+01
7.197700000000000387e+01,7.201200000000000045e+01
7.376399999999999579e+01,7.378400000000000603e+01
7.400900000000000034e+01,7.407699999999999818e+01
7.442300000000000182e+01,7.457399999999999807e+01
7.566700000000000159e+01,7.588899999999999579e+01
7.624399999999999977e+01,7.624699999999999989e+01
7.665999999999999659e+01,7.683700000000000330e+01
7.710200000000000387e+01,7.735099999999999909e+01
7.928600000000000136e+01,7.931700000000000728e+01
7.951200000000000045e+01,7.985500000000000398e+01
8.063800000000000523e+01,8.068600000000000705e+01
8.135000000000000853e+01,8.143300000000000693e+01
8.171200000000000330e+01,8.181400000000000716e+01
8.235800000000000409e+01,8.250300000000000011e+01
8.301300000000000523e+01,8.321000000000000796e+01
8.340200000000000102e+01,8.350000000000000000e+01
8.395799999999999841e+01,8.412600000000000477e+01
