4.7941,2.3304,34.028,1.3369,2.9014,0.82695,3.2918,2.9915,1.9971,14.073,3.6677,1.8999,3.7731,14.526,8.8743,3.0353,1.5388,3.7282,17.069,3.8246,22.802,9.5584,11.172,1.0644,0.89443,8.6281,3.7316,2.5721,15.156,1.4975,13.761,16.393,1.333,0.69322,61.494,14.026,2.0628,23.831,15.83,0.60417,4.4064,2.7079,13.47,40.199,1.3015,4.1286,3.569,1.4247,3.073,22.17,1.0689,2.2641,14.131,8.8904,37.894,16.461,2.1985,1.2345,6.2738,10.898,78.126,0.43312,38.895,1.6088,3.2896,1.6998,5.828,NaN,1.2995,0.60402,68.863,133.48,8.2389,2.2975,2.8301,0.99351,1.4609,7.8292,3.321,16.605,1.4606,38.92,19.565,1.5989,1.1398,1.3306,29.19,1.3585,55.392,0.72947,3.5677,8.604,23.364,0.87139,19.473,12.44,3.5043,1.3037,2.0096,2.7992,14.593,2.5621,1.6611,3.1021,2.5682,1.13,8.1048,3.4316,6.5056,2.7021,9.2723,5.4325,4.8972,3.0559,6.9755,21.837,0.99501,21.258,16.393,3.2036,1.0406,1.0054,1.5342,3.3322,1.128,0.8109,1.1667,2.9375,12.298,1.8027,4.0065,1.4727,3.0009,6.5442,14.157,1.3008,0.85949,8.1985,0.90692,8.133,1.8691,3.2736,19.671,6.6044,1.1291,7.6756,3.1601,88.591,0.82725,11.798,13.234,4.8657,12.19,2.063,2.5636,0.69437,13.704,28.637,3.7998,5.9936,3.6272,9.2087,3.5949,4.1732,15.127,7.6686,2.6707,0.93226,0.46931,13.235,1.0937,6.2699,0.67123,3.5913,9.5967,1.2433,10.4,2.206,5.8635,1.0075,1.1313,1.6685,5.3631,19.354,0.69614,29.639,128.58,0.56905,11.965,3.6281,7.8333,7.9936,5.4968,1.3949,3.3,2.8395,1.0641,2.4373,49.521,0.76548,52.286,2.993,2.7261,NaN,5.3634,10.289,0.65742,2.0073,9.6608,0.69483,2.935,1.2999,2.6614,0.7658,4.0272,5.5592,4.735,48.107,1.8638,2.3685,58.928,2.0355,3.027,39.558,6.6262,2.7353,1.8379,5.9239,0.86509,2.6595,5.0009,4.6352,4.6279,2.8689,9.7546,48.553,48.888,0.67593,1.8936,53.36,10.537,38.896,3.7938,0.92993,0.91386,10.629,10.337,1.1404,3.363,7.9685,2.5277,45.602,1.0633,3.003,6.6658
5.1611,2.5293,34.327,1.6263,3.4619,2.1949,3.9351,3.6006,2.3684,15.924,4.1269,2.1567,4.1711,14.865,10.138,3.6281,2.3924,4.7641,17.199,12.762,47.724,11.265,50.566,34.824,1.4978,11.067,12.931,3.9312,17.361,2.0992,13.996,17.067,1.5,1.109,62.629,15.025,2.2385,39.261,22.796,12.966,6.2944,2.8737,13.961,NaN,1.561,10.198,3.8026,2.1657,3.658,67.658,1.1301,3.1332,NaN,11.336,65.554,17.294,2.5722,133.45,6.461,12.441,89.688,1.4987,70.793,3.0326,4.4641,2.242,153.82,NaN,1.7248,56.871,NaN,133.89,28.902,2.4323,6.8351,3.3304,1.7022,13.373,3.571,34.838,1.6741,77.185,19.992,2.2748,1.4611,1.6609,29.565,3.9734,55.751,1.1296,128.1,8.9671,27.926,1.1069,21.231,12.87,4.6034,9.4569,4.5059,2.9711,14.965,2.8615,1.8633,3.4017,2.7553,3.7033,13.862,10.129,7.5051,6.3912,9.4204,14.224,13.889,6.293,71.488,22.405,1.9345,29.328,16.659,13.996,1.6333,1.1961,1.907,3.8312,15.634,2.7281,1.4237,3.0998,12.499,2.1028,4.2295,1.5379,3.4564,6.9912,16.57,2.532,1.1692,36.93,5.8943,8.3663,2.0948,3.836,23.054,7.1242,1.5054,7.7953,4.0058,89.386,1.1699,18.291,79.599,5.1966,12.43,13.663,4.5719,1.1635,58.759,49.221,4.0293,6.0964,3.7687,9.3252,3.7335,4.9049,15.268,59.625,8.8734,1.2679,1.2652,13.425,1.1649,7.9049,1.6368,5.4292,33.589,13.094,39.855,7.8574,6.2968,1.3358,1.4654,1.8577,5.8049,26.106,1.5098,120.88,144.91,0.69857,12.276,3.9678,7.9904,8.1059,5.7406,4.4666,3.662,3.3318,1.1905,2.5906,49.598,5.5313,52.495,3.1339,3.0959,NaN,5.5326,12.768,0.92811,2.5696,12.231,1.328,5.8281,2.9319,3.059,1.1352,19.423,5.6994,5.1585,48.558,3.3239,7.3369,59.164,3.0997,4.1669,39.72,6.7629,3.2737,3.3369,6.0705,1.4287,2.975,5.2728,5.2029,4.7668,3.5568,15.501,48.926,49.965,2.6728,51.858,58.152,10.629,39.273,4.7311,1.5995,1.1717,12.462,30.001,1.4401,4.0005,8.2573,5.7735,48.87,1.2629,4.3661,7.8699
5.5299,2.7086,34.633,2.6965,3.7025,2.6669,4.1365,4.9978,2.4959,122.25,4.6623,2.4058,5.3731,15.358,11.171,5.396,2.5037,5.4937,17.363,80.921,52.694,11.771,74.632,61.933,1.7367,11.403,29.363,5.2362,18.787,3.0392,14.066,NaN,4.2361,1.3681,62.771,104.85,2.5697,39.694,47.694,14.755,6.8376,3.0034,14.17,NaN,99.658,10.901,39.155,2.6664,13.723,70.29,1.3676,3.4927,NaN,11.741,65.823,17.423,2.7043,135.12,9.4742,NaN,90.955,1.7558,85.123,5.8716,4.825,3.102,153.95,NaN,1.9018,59.601,NaN,134.11,144.55,59.356,13.257,3.6027,19.566,13.763,3.7951,82.02,1.8029,77.299,20.507,3.4254,1.6361,1.8645,71.685,4.7055,56.162,1.5631,148.45,9.0986,67.57,1.5359,21.398,14.355,4.8583,10.589,6.5398,4.6596,15.136,3.0006,2.1226,8.2956,3.2041,4.5379,33.527,11.904,7.6656,6.5618,11.208,83.66,120.76,6.8384,74.392,22.538,40.199,29.9,16.971,47.983,2.8648,6.4673,2.0286,6.9973,15.964,3.0026,1.5343,3.2592,12.965,2.8327,8.3237,2.1304,3.6687,7.2054,25.091,40.166,1.5354,37.222,8.6957,52.618,2.5267,9.5252,33.599,7.665,1.836,12.436,4.1032,90.596,1.4726,18.466,81.128,7.1039,104.32,14.961,4.8263,2.2282,70.664,49.368,5.0062,6.5901,29.595,56.896,10.825,17.33,33.135,65.857,30.569,1.6382,2.5602,19.264,1.5105,9.4064,1.8075,30.092,33.967,13.362,40.162,8.1263,8.5348,1.9965,1.5701,3.5441,8.5381,26.227,2.7426,121.16,146.89,0.82473,12.536,4.4322,9.9591,8.2255,6.5322,7.6978,9.637,3.8941,1.7674,2.9019,49.802,7.0321,77.368,5.3073,3.3274,NaN,26.504,13.202,1.2006,2.7053,13.83,2.0012,7.9703,3.1064,3.661,3.6679,25.293,5.9616,7.1272,49.499,3.6197,7.4575,86.521,4.3998,4.3259,40.065,8.1605,3.4416,9.9713,10.397,2.0928,3.4092,5.7976,5.334,4.9737,3.7008,15.705,49.67,106.71,3.1348,87.184,58.887,11.696,80.684,12.861,4.4029,7.9731,13.362,37.702,1.7671,10.576,12.568,6.0696,49.115,1.7767,4.5304,9.0058
5.6647,3.0215,35.387,2.8355,4.2993,2.8644,4.5302,5.363,3.2037,122.41,4.8285,137.72,5.5581,15.872,11.305,15.027,2.7614,5.9292,27.196,81.62,57.256,12.104,75.085,62.296,8.8698,34.359,29.506,5.6039,19.701,4.6638,14.463,NaN,4.971,2.2032,151.56,NaN,2.8642,41.258,47.823,50.773,6.9,6.3105,14.671,NaN,100.53,12.771,39.43,2.8124,15.707,NaN,2.3308,64.029,NaN,11.903,71.088,17.565,104.55,135.59,9.5929,NaN,91.089,2.0043,NaN,39.392,6.5704,3.2561,NaN,NaN,2.0388,59.928,NaN,134.71,145.15,78.492,30.066,4.0896,19.854,14.124,6.7635,85.316,2.1693,78.189,21.462,3.9014,1.777,2.2254,72.054,6.4288,56.336,2.2011,NaN,9.4304,67.824,8.3359,21.688,36.706,6.5706,59.799,6.6692,6.0228,15.602,18.468,2.5987,10.774,13.3,4.7253,47.655,15.172,8.7263,7.1401,11.537,106.78,122.48,10.368,100.22,23.027,43.154,79.519,17.158,55.127,NaN,8.1292,9.5979,7.1067,19.167,3.6054,1.6333,3.3984,13.529,11.43,9.0257,2.8288,12.492,11.622,25.199,40.627,1.805,37.434,9.3321,76.386,2.9982,9.6255,33.694,66.27,2.1732,58.593,5.8665,NaN,1.8875,83.351,81.617,9.7577,131.84,15.164,5.0052,2.869,77.7,55.664,5.1997,6.9002,97.925,79.494,60.757,17.63,33.599,104.45,36.142,1.9308,2.9706,21.23,1.6992,11.169,10.891,88.247,59.597,39.659,40.495,14.998,39.085,3.5703,8.0385,6.7721,8.6656,28.232,2.8744,123.46,147.18,1.2932,15.495,4.9283,12.908,19.334,6.6415,12.992,9.9896,4.0067,2.3306,3.0691,50.163,7.5217,78.126,10.055,7.7945,NaN,27,17.841,4.9242,7.0686,59.359,4.4062,8.7359,3.4642,4.0253,3.7343,69.753,9.2926,7.2672,49.628,6.6048,10.593,86.795,12.73,4.4648,75.261,8.3976,3.5918,10.153,29.254,108.98,4.2931,6.3666,7.1606,5.4337,6.0602,16.297,50.503,NaN,3.4928,87.3,59.331,11.795,80.959,13.163,4.8616,8.5303,57.192,37.991,1.9725,11.028,17.165,10.99,49.425,2.3034,13.799,9.9689
5.8894,3.2761,35.722,3.2357,5.5389,2.9699,5.0957,5.5388,3.5017,122.69,5.6354,137.92,5.7677,16.142,16.222,15.458,3.2013,6.0235,28.361,137.48,NaN,15.155,98.556,85.125,11.066,34.821,54.129,6.1284,20.363,5.4957,14.825,NaN,5.1086,2.3317,NaN,NaN,3.2293,43.133,55.386,52.065,59.169,39.723,15.033,NaN,122.78,50.496,78.485,3.1751,15.897,NaN,2.6624,105.15,NaN,29.659,71.191,17.659,104.71,136.22,15.334,NaN,NaN,2.1334,NaN,56.9,39.269,3.9585,NaN,NaN,2.3064,65.63,NaN,NaN,NaN,80.96,34.351,103.15,23.007,14.321,8.4059,85.52,2.2659,92.161,21.758,13.767,2.7091,3.9637,72.532,6.7704,56.559,2.3607,NaN,9.8207,84.031,8.8908,22.002,56.162,7.5641,73.429,28.861,6.5318,15.995,71.392,7.4639,10.869,141.18,4.9027,52.474,15.329,9.5996,12.289,12.36,122.24,NaN,15.31,104.49,23.138,49.461,96.789,19.372,55.56,NaN,8.796,16.827,8.1276,25.604,4.4904,1.7696,3.5909,13.628,11.702,14.489,13.605,15.606,11.772,29.156,41.725,2.5983,38.493,9.5576,92.365,4.0016,20.233,39.708,71.399,2.8944,58.787,13.564,NaN,2.4048,83.614,143.72,9.874,NaN,17.297,5.6315,3.0773,90.466,56.197,5.2733,7.406,105.95,101.99,64.986,17.872,33.727,106.36,39.656,2.2334,3.1966,21.536,2.5387,15.907,36.823,88.384,59.988,70.017,NaN,15.732,39.293,9.3978,8.2701,70.256,15.625,31.061,3.5018,123.68,NaN,2.124,44.737,5.258,13.103,92.248,6.7628,13.176,10.536,4.9715,2.4321,4.3393,66.038,7.8074,78.257,10.298,7.9709,NaN,38.054,18.241,9.7709,8.0016,59.527,4.9771,21.006,4.4909,4.1744,4.7307,69.934,12.254,11.444,50.137,11.324,11.803,NaN,14.402,33.453,75.39,10.904,3.6776,18.162,30.206,111.22,5.3401,6.7038,7.2666,31.395,7.2569,30.741,50.785,NaN,3.6301,87.416,70.835,12.866,94.011,40.066,5.961,8.6969,59.325,38.799,7.4387,14.261,17.393,13.935,62.784,4.0384,16.225,24.26
6.0727,4.16,36.468,3.6009,5.7001,3.6624,5.4375,5.6908,3.8564,124.06,5.8573,138.38,6.287,18.268,62.401,15.793,3.5013,8.8253,29.332,150.76,NaN,15.827,148.32,85.613,NaN,36.188,56.793,6.532,20.539,6.1939,32.092,NaN,6.0283,2.4947,NaN,NaN,6.0001,47.788,56.69,65.896,59.591,42.963,15.17,NaN,124.88,76.761,131.49,3.6566,NaN,NaN,2.9049,105.28,NaN,33.83,78.267,19.463,106.35,136.66,59.922,NaN,NaN,2.6926,NaN,107.79,39.662,6.3009,NaN,NaN,2.53,137.06,NaN,NaN,NaN,81.086,34.473,117.79,23.193,49.004,15.476,87.356,7.7269,92.628,25.144,14.06,12.534,4.1043,104.55,6.8765,56.762,2.5395,NaN,10.699,142.72,13.404,22.798,78.783,7.6929,96.762,40.027,98.184,16.937,109.33,9.6437,11.026,143.11,7.5059,54.561,15.966,50.192,12.926,12.771,122.55,NaN,15.565,122.31,117.49,51.369,97.951,22.028,55.633,NaN,99.29,73.13,9.8907,35.842,6.2406,2.4341,4.5084,13.763,61.393,15.032,13.739,29.641,14.132,29.399,NaN,7.8401,38.634,13.872,92.619,4.7352,52.156,42.403,72.648,3.0047,71.696,16.008,NaN,2.8,94.164,NaN,75.182,NaN,56.988,5.7906,15.364,92.237,78.03,38.92,8.0276,106.49,103.99,130.3,18.929,33.884,NaN,39.995,2.3928,3.8994,32.801,4.1718,17.07,52.167,88.519,60.138,70.981,NaN,17.2,39.534,11.574,8.3922,70.563,15.992,37.538,4.4745,124.92,NaN,4.1322,45.091,5.8334,13.23,108.29,6.8746,15.941,11.569,7.9234,14.237,4.5574,68.589,8.0106,78.492,11.055,9.9395,NaN,51.053,20.764,13.604,8.2037,88.733,5.408,22.022,4.6302,9.9436,5.4583,77.593,16.061,12.306,66.399,11.438,13.765,NaN,14.532,52.468,79.888,12.475,6.6542,20.829,30.372,111.42,6.103,32.269,17.227,31.456,7.6722,31.174,51.331,NaN,4.3361,87.662,70.969,13.627,94.116,40.361,6.5993,9.7694,59.503,96.762,7.8222,15.324,29.639,15.537,63.233,4.1661,16.304,26
6.5958,4.6293,36.724,4.8245,6.0347,98.886,5.6,6.0664,4.0378,124.32,7.3908,NaN,6.8606,18.73,62.7,15.975,3.8575,10.896,82.656,152.78,NaN,16.093,NaN,85.756,NaN,36.53,57.554,9.1627,21.173,6.3049,32.172,NaN,98.517,2.6635,NaN,NaN,9.9276,70.267,57.259,113.56,79.526,NaN,37.062,NaN,151.95,76.863,131.85,4.3339,NaN,NaN,3.0401,105.76,NaN,59.792,104.5,19.757,141.09,NaN,85.401,NaN,NaN,7.5316,NaN,142.02,71.9,11.225,NaN,NaN,3.0259,137.19,NaN,NaN,NaN,81.624,34.692,117.96,25.328,104.53,15.76,88.602,11.268,NaN,25.44,14.423,20.498,7.0581,136.09,7.3007,58.429,2.671,NaN,11.658,147.34,15.201,39.954,79.552,77.155,98.297,49.19,98.686,17.29,NaN,16.897,19.938,143.58,12.829,55.125,26.06,60.498,13.204,13.056,147.31,NaN,17.561,123.05,117.63,51.824,98.113,27.532,74.133,NaN,104.29,105.05,10,37.155,6.5335,6.7346,5.4972,18.159,71.495,15.335,13.893,30.028,16.402,30.759,NaN,8.0768,51.259,13.989,107.39,5.0999,52.256,60.333,73.997,4.5623,72.021,16.367,NaN,2.8934,104.17,NaN,93.629,NaN,94.524,6.0403,15.761,98.184,78.3,39.57,8.8365,137.68,104.25,137.65,39.731,35.932,NaN,44.321,2.7957,7.99,34.573,6.5691,17.303,52.535,105.42,101.89,98.922,NaN,17.339,44.33,11.674,8.6046,88.256,16.624,39.257,4.6439,125.21,NaN,5.3575,48.468,6.8681,32.437,151.42,7.5304,16.068,12.71,8.9339,14.405,4.7622,71.395,10.573,92.193,15.239,12.464,NaN,59.504,21.974,13.805,10.666,88.951,6.3084,22.823,5.0294,12.265,6.5274,77.818,16.2,17.232,66.586,43.365,14.267,NaN,15.787,58.764,80.17,13.037,6.9722,21.26,43.566,151.95,6.5382,37.626,22.357,31.833,9.431,59.532,110.86,NaN,7.9919,93.662,88.888,13.895,94.197,40.595,15.297,9.8973,69.825,106.52,8.6357,19.257,49.293,25.631,133.55,4.5554,20.324,26.466
6.7232,122.8,36.952,39.737,6.5364,99.396,6.1084,6.1585,4.1626,125.61,7.6972,NaN,7.0002,19.301,65.896,16.17,4.0236,11.135,83.092,NaN,NaN,16.468,NaN,87.164,NaN,37.198,76.753,10.527,NaN,6.5308,56.018,NaN,122.68,3.0399,NaN,NaN,NaN,70.897,57.655,NaN,81.026,NaN,78.228,NaN,NaN,102.65,137.43,4.4628,NaN,NaN,4.3331,NaN,NaN,60.162,105.69,20.496,143.11,NaN,NaN,NaN,NaN,10.891,NaN,NaN,97.986,17.128,NaN,NaN,3.2922,NaN,NaN,NaN,NaN,81.886,76.966,118.05,98.093,105.13,16.066,100.32,19.367,NaN,38,16.572,35.994,10.203,136.42,8.3291,58.493,3.0412,NaN,19.892,NaN,15.364,40.098,79.826,77.66,110.12,92.989,130.29,17.44,NaN,39.024,26.108,NaN,13.108,55.263,26.5,60.656,13.508,14.209,NaN,NaN,17.938,NaN,117.75,52.029,99.161,29.527,74.318,NaN,106.03,131.56,10.831,37.79,7.3618,6.8581,5.762,18.331,72.026,71.757,14.072,33.406,22.337,38.552,NaN,14.008,51.391,15.992,107.76,5.8956,58.998,77.818,74.722,4.7995,72.359,16.738,NaN,3.0724,104.75,NaN,NaN,NaN,105.28,6.163,15.867,98.334,119.46,40.098,10.668,137.81,104.66,139.92,108.49,36.524,NaN,53.391,2.9216,8.5553,54.766,7.4312,27.386,58.553,105.65,101.99,104.33,NaN,31.991,50.752,18.563,10.823,92.456,16.942,53.955,4.9019,125.92,NaN,13.106,48.988,7.6332,33.596,NaN,7.7077,16.189,12.932,14.293,14.96,6.1667,71.766,11.065,108.47,16.772,12.902,NaN,59.631,24.523,38.095,10.902,89.335,6.5372,23.07,10.205,12.527,7.998,84.266,23.421,49.251,70.45,56.869,14.632,NaN,15.893,75.95,80.27,13.628,12.593,59.526,43.701,NaN,7.1683,38.701,22.8,39.061,9.562,65.524,111.01,NaN,12.929,93.849,107.92,50.096,145.46,47.895,15.426,11.598,76.736,106.72,8.798,19.857,54.221,38.264,133.65,4.6663,23.691,27.264
6.8404,123.08,37.187,39.93,6.8085,99.921,6.7591,6.2973,55.987,126.12,71.99,NaN,7.5065,NaN,76.749,16.462,4.5263,11.394,83.829,NaN,NaN,17.728,NaN,87.357,NaN,37.723,76.922,10.671,NaN,7.1991,57.337,NaN,NaN,4.3354,NaN,NaN,NaN,86.955,NaN,NaN,81.519,NaN,78.492,NaN,NaN,NaN,NaN,4.9608,NaN,NaN,5.4976,NaN,NaN,61.667,NaN,20.938,143.56,NaN,NaN,NaN,NaN,15.301,NaN,NaN,98.363,17.595,NaN,NaN,3.4997,NaN,NaN,NaN,NaN,102.65,77.067,NaN,101.65,109.96,16.297,100.42,19.463,NaN,39.188,16.858,56.79,NaN,136.55,10.702,58.728,8.9044,NaN,25.669,NaN,17.427,40.464,82.229,106.33,110.93,93.129,NaN,17.602,NaN,39.361,26.437,NaN,13.539,55.705,26.673,60.895,20.49,19.171,NaN,NaN,35.884,NaN,117.92,78.797,106.72,30.806,75.198,NaN,NaN,142.71,12.969,37.941,8.1662,8.5309,6.1256,19.209,79.696,110.03,72.119,33.628,26.804,38.904,NaN,23.126,59.324,16.366,118.47,6.1042,59.129,79.566,86.288,5.0931,72.835,19.228,NaN,7.8562,108.91,NaN,NaN,NaN,NaN,6.3696,15.996,110.78,NaN,40.363,10.81,150.49,115.06,153.29,144.52,47.523,NaN,54.386,3.3422,8.6955,55.095,9.0915,50.59,58.933,106.56,105.13,104.6,NaN,32.099,50.889,22.3,10.968,NaN,17.441,69.118,5.0419,149.01,NaN,13.793,50.138,7.7632,33.729,NaN,9.636,19.73,13.823,15.661,16.071,16.341,83.025,11.194,108.78,36.688,17.435,NaN,72.621,24.599,52.494,11.289,89.455,6.9375,41.206,11.293,12.903,8.1942,90.583,28.057,73.46,71.256,65.925,15.503,NaN,16.109,82.558,91.565,13.925,16.198,61.084,43.87,NaN,7.9049,49.854,46.688,39.428,9.6381,65.704,150.73,NaN,17.14,117.89,NaN,50.198,NaN,48.036,19.198,11.727,76.959,107.06,9.0916,20.395,68.438,39.196,147.93,5.1926,23.807,27.634
7.1606,NaN,38.43,40.957,6.9637,100.45,7.0041,6.83,56.921,153.61,72.59,NaN,7.839,NaN,76.985,17.332,4.9365,11.495,84.562,NaN,NaN,18.357,NaN,141.51,NaN,37.867,77.09,10.905,NaN,7.4703,57.67,NaN,NaN,4.9259,NaN,NaN,NaN,87.298,NaN,NaN,82.799,NaN,78.787,NaN,NaN,NaN,NaN,5.4579,NaN,NaN,6.1928,NaN,NaN,77.124,NaN,21.2,144.91,NaN,NaN,NaN,NaN,16.066,NaN,NaN,113.13,39.17,NaN,NaN,3.6011,NaN,NaN,NaN,NaN,NaN,85.66,NaN,102.16,110.59,16.929,105.89,19.621,NaN,39.429,17.138,72.02,NaN,NaN,11.698,59.958,9.4977,NaN,28.538,NaN,17.892,72.563,99.098,106.73,153.88,93.458,NaN,18.167,NaN,NaN,47.862,NaN,13.987,97.487,26.901,61.066,20.632,20.504,NaN,NaN,39.155,NaN,132.88,108.28,147.31,44.523,75.426,NaN,NaN,145.86,13.095,50.702,8.3951,8.6742,6.9726,19.533,80.45,145.84,109.18,63.036,27.565,41.205,NaN,24.429,59.874,16.768,143.31,7.7584,59.36,79.997,87.422,5.1717,86.031,19.295,NaN,12.503,109.22,NaN,NaN,NaN,NaN,10.473,16.77,111.19,NaN,42.796,11.26,150.72,120.22,NaN,NaN,56.186,NaN,77.982,3.5941,8.8083,55.64,9.2923,50.69,85.22,123.93,143.58,110.1,NaN,32.639,53.052,22.635,11.399,NaN,18.272,69.46,6.6989,NaN,NaN,14.23,50.688,8.7915,33.935,NaN,10.265,20.601,15.372,16.591,22.098,16.604,85.229,11.308,NaN,38.432,17.867,NaN,72.72,27.937,61.723,18.561,108.92,7.3325,41.465,11.557,13.169,9.5648,97.793,50.333,86.069,83.986,107.92,15.86,NaN,17.23,85.226,91.692,14.306,16.332,82.683,53.8,NaN,8.708,50.029,47.001,40.268,10.005,70.752,NaN,NaN,18.567,119.3,NaN,57.392,NaN,51.958,19.301,13.697,88.295,107.73,11.971,20.766,69.234,39.4,148.21,5.309,29.132,35.332
