8.6685,28.137,1.2084,1.1973,1.2013,0.53729,1.7425,15.798,5.0296,1.0297,1.2244,2.5736,1.0429,5.5649,2.2962,3.1972,4.7688,1.2442,0.94123,2.4454,0.66632,1.658,0.63662,1.532,3.7073,0.96452,5.676,16.743,1.1082,2.4922,1.9003,18.042,2.1647,1.5086,1.1675,1.2381,4.3729,1.2367,16.172,0.84147,2.1284,6.7688,1.2092,0.84156,1.2613,4.1225,0.92082,2.2959,1.73,1.3043,1.2324,1.1695,2.1221,0.8654,6.3335,5.4048,1.7444,1.3005,1.1037,0.7709,5.4227,2.1025,5.8756,1.3281,1.7426,1.4011,4.3081,4.1234,4.4066,0.79505,6.6586,1.5274,2.1715,2.4037,3.4032,2.335,3.269,0.89735,0.95909
9.4315,30.926,1.3289,1.2671,16.802,0.90873,2.1623,16.186,5.2297,1.2594,5.5723,2.6732,4.5907,5.6751,2.7578,3.9612,5.5287,1.3358,1.7347,2.5678,1.7975,2.6632,4.6404,1.665,3.9709,1.3035,6.6677,16.888,1.9032,4.542,3.0343,18.139,2.4581,3.7595,1.9977,7.4986,4.8077,1.5384,16.76,1.002,2.2227,7.4049,2.6913,2.2003,1.7066,15.492,1.2928,2.6652,2.7696,2.0303,1.3624,1.3648,7.3979,3.2971,8.7263,17.127,5.5727,4.2277,2.1622,2.0311,5.5267,2.6691,17.136,2.1748,1.8719,1.5984,7.4386,4.3235,6.3943,2.1023,7.8227,2.3655,2.3049,3.3997,3.7628,2.6957,3.3623,1.7923,1.4318
10.027,33.939,2.1457,1.7608,17.14,1.0606,6.6121,16.773,78.695,5.2334,6.5328,5.5916,4.7637,6.2974,3.9759,4.1083,21.176,2.2099,4.5234,3.8027,2.1706,2.8383,5.1044,7.2277,8.571,5.6084,23.941,29.823,16.758,6.8395,3.2257,29.44,18.2,7.1206,2.3041,8.6608,5.5282,1.6714,17.998,2.5979,7.5971,9.9643,29.397,2.3452,2.1088,15.603,2.2934,4.0932,4.0703,5.2431,3.126,4.1597,7.4683,7.1235,8.836,20.497,8.6037,5.169,3.4302,3.1034,21.235,3.5918,17.239,2.3362,2.2346,1.7361,8.4307,6.3455,9.6044,2.7007,15.837,3.2651,2.5731,3.4611,6.1676,3.2656,5.5239,1.9296,1.7289
10.733,34.066,15.544,2.144,24.369,1.292,8.5407,18.01,78.805,5.5373,9.0598,6.5376,5.2233,34.63,6.5042,7.7904,21.301,7.006,4.8067,4.4967,2.3271,8.3692,5.6016,9.0676,24.174,25.973,30.027,31.456,16.869,6.9758,6.0095,34.572,18.301,7.2305,3.1599,10.602,11.233,2.3314,18.107,2.7958,8.5697,10.699,34.574,2.6691,2.2709,15.807,2.5374,5.7639,4.2274,5.3665,11.161,5.6078,8.9562,7.2404,9.3762,25.941,23.756,5.5049,3.9411,3.2627,21.337,3.7343,29.595,3.3054,3.2686,2.0026,12.23,7.4018,11.544,2.9982,16.074,3.4014,2.6713,5.5092,8.5324,3.3989,6.2912,2.0652,1.8367
10.999,34.587,15.664,2.6317,29.455,1.4352,8.6428,18.139,79.429,8.5538,10.103,7.6679,7.6286,34.891,13.235,16.064,32.501,7.1313,5.0994,4.6008,3.3896,11.865,6.4308,9.1741,24.272,26.265,34.576,31.529,20.499,7.1427,16.743,66.561,24.162,16.775,5.5952,10.728,16.658,6.0994,21.426,4.099,22.47,11.774,34.731,13.295,2.567,16.02,4.5993,9.5964,4.5063,7.1358,11.437,6.194,17.14,12.691,11.99,26.063,24.091,9.5699,4.107,3.3976,29.435,4.0956,60.93,3.4373,3.3943,2.3052,13.024,12.955,11.674,4.0979,16.193,5.5263,3.7717,5.6333,8.8772,6.2909,8.566,2.1984,2.2985
11.196,34.906,15.9,2.765,34.596,2.1713,12.201,28.111,79.531,8.6343,10.469,9.302,27.858,36.286,13.372,16.206,32.625,7.691,5.2338,8.519,5.4431,12.086,6.7357,11.501,60.116,29.43,34.695,73.158,24.189,7.6607,18.004,66.661,24.299,16.893,14.344,14.36,16.737,16.768,27.963,15.465,22.6,11.997,36.266,13.401,4.8331,16.828,12.056,9.6596,5.0723,7.2428,11.795,6.2651,17.231,16.766,13.29,33.887,31.036,13.799,8.0898,3.5316,34.17,14.756,85.686,5.9383,7.5351,2.6407,14.328,17.204,18.057,6.6091,24.133,11.311,4.0716,9.5022,9.3652,8.5547,9.5034,4.2289,2.5726
11.611,36.438,16.77,17.041,34.732,4.3313,12.294,28.239,86.212,15.944,10.687,9.3947,29.662,49.555,16.768,18.759,34.337,8.5525,14.488,8.6372,5.8114,12.442,6.8621,11.769,60.235,29.605,35.89,73.227,31.388,8.9431,53.568,79.161,49.029,29.41,14.443,14.863,16.853,18.005,31.357,27.438,27.553,12.87,47.655,14.17,5.5386,16.936,12.226,13.387,5.1964,15.806,11.933,19.139,18.754,22.362,14.901,37.163,34.629,13.938,8.2388,3.9929,43.054,14.872,85.782,7.7616,14.798,3.302,14.476,18.737,19.138,9.6222,31.062,24.208,9.5947,9.6005,9.7023,9.5593,9.6985,4.5959,3.8085
11.768,39.433,29.421,17.237,69.515,4.6907,24.11,63.785,86.459,18.09,10.844,9.5709,29.802,69.528,18.041,19.144,35.296,27.667,14.69,11.323,6.2771,12.569,10.67,12.922,68.539,31.323,36.042,81.986,31.497,9.0686,53.701,79.357,49.128,63.819,15.691,29.43,18.036,31.401,31.489,27.523,29.893,13.04,66.557,15.568,7.8089,18,21.201,14.759,5.3317,15.936,16.759,19.272,29.388,27.796,15.366,65.403,34.736,16.071,8.5368,4.2977,72.158,15.536,85.953,7.8748,15.532,3.5998,15.058,35.268,19.271,9.7023,35.873,24.296,9.6916,11.195,10.792,9.6958,9.9879,4.8284,4.1021
12.01,97.48,34.107,29.437,69.637,4.8424,24.27,63.891,109.96,18.232,12.263,9.8059,41.965,97.086,29.439,19.261,36.069,27.768,17.027,29.386,6.4589,14.162,15.171,13.204,68.651,31.505,36.263,82.451,32.737,10.837,72.585,102.42,61.123,63.93,17.127,29.561,29.407,31.76,63.788,28.26,30.533,14.161,69.552,15.669,8.5695,21.529,21.273,14.872,13.305,16.769,27.997,24.129,54.087,29.497,15.628,65.534,42.762,25.393,9.5955,5.6961,72.294,29.874,102.35,8.9703,15.827,3.7419,17.131,36.323,22.469,15.441,35.973,28.24,12.778,11.469,12.356,10.077,10.121,5.0742,4.7396
12.165,97.891,34.225,29.601,72.318,5.5761,27.497,69.517,139.83,24.178,14.296,10.194,43.402,97.224,29.894,29.93,43.17,31.06,17.239,29.486,7.4237,15.06,15.36,15.237,73.434,31.937,50.471,84.561,32.83,11.773,84.502,102.55,64.402,73.161,17.257,30.998,29.594,63.823,63.857,28.391,30.599,14.763,102.29,17.164,10.54,21.661,26.186,29.474,13.405,22.243,28.126,24.258,62.961,31.132,16.092,71.885,42.898,25.489,9.6986,7.0952,94.069,31.453,111.83,12.055,24.206,6.2278,17.234,36.425,22.594,21.229,36.263,28.357,12.866,11.807,12.935,12.792,11.33,5.365,4.8628
