0.72994,45.56,13.365,0.76194,18.23,137.76,131.66,12.203,23.961,27.501,0.83866,11.654,23.97,3.1924,12.436,8.4434,107.4,45.932,1.5744,3.9988,0.87806,45.622,3.8255,0.56623,0.79408,24.007,45.394,6.8264,13.731,106.01,11.525,0.73886,7.9455,6.7456,29.292,29.055,25.243,5.3405,96.015,6.8219,102.35,12.763,6.8712,11.474,27.66,27.507,1.2253,13.628,2.8595,13.626,0.8353,8.141,156.29,8.4556,21.992,51.866,0.76053,20.744,14.02,3.0618,23.436,47.405,23.194,21.554,67.759,26.037,10.9,29.29,9.0091,1.6686,101.79,13.09,6.7335,33.755,2.2944,2.1074,28.502,12.624,2.5392,21.607,33.743,11.575,50.737,45.534,28.472,11.075,0.7319,97.879,59.22,27.734,188.67,21.619,6.7757,10.389,44.374,26.563,53.304,6.871,2.0682,42.705,26.827,26.863,17.69,203.22,1.2428,21.957,2.0664,14.326,2.303,6.7117,21.99,29.521,10.935,10.074,12.072,12.286,45.634,12.068,10.273,12.026,3.0782,9.0326,131.82,6.7802,1.6445,21.338,45.667,28.232,12.198,25.486,46.658,4.2895,8.6354,1.6216,82.52,2.3272,3.9886,24.031,23.728,2.3116,6.8979,24.067,21.292,23.229,0.77211,0.96707,76.463,19.831,13.8,7.8526,124.88,14.331,25.902,51.884,5.2205,59.239,21.666,70.962,21.457,7.1069,26.522,5.1454,13.297,12.558,1.7741,11.691,0.43706,5.2235,6.6438,110.65,22.108,11.223,12.197,18.809,6.8723,3.0276,24.944,24.733,20.534,7.3392,23.639,11.162,1.1623,3.9336,24.541,11.056,1.5389,28.876,21.691,45.559,11.261,2.2039,23.637,1.1603,0.82836,10.868
1.6319,53.325,13.706,6.8438,23.363,169.32,131.8,12.832,27.854,28.226,0.96277,11.893,57.883,4.2902,13.239,36.159,107.66,81.187,20.226,29.527,23.973,55.908,3.9759,22.465,2.0367,53.33,45.96,7.1241,13.897,107.01,11.673,1.5367,49.836,6.8676,58.32,35.442,25.373,10.278,120.94,25.368,102.85,12.963,6.9758,11.642,47.291,29.836,2.0729,14.188,11.456,26.132,1.767,8.4568,216.77,8.5936,43.866,77.148,1.0226,42,22.623,4.0048,26.889,49.194,71.987,75.699,84.246,26.174,45.302,74.861,24.727,6.8421,101.93,13.194,7.6581,57.931,5.1562,2.2448,28.732,12.969,7.0241,50.006,57.956,12.807,56.453,67.566,110.29,67.339,5.9728,119.72,59.353,27.871,189.08,70.963,53.316,35.427,99.356,73.72,108,8.9208,8.701,47.016,27.64,53.085,17.834,203.35,13.39,22.108,2.3124,23.371,11.474,30.219,22.103,53.328,60.239,12.264,12.324,12.435,50.134,28.059,29.299,12.172,120.04,45.573,132.28,11.102,2.106,23.089,45.8,28.366,13.297,34.131,46.806,12.07,56.351,21.41,82.667,3.1381,4.1344,27.5,23.799,21.501,34.49,53.366,23.184,23.369,0.91176,25.527,77.128,41.982,74.955,48.269,136.49,22.032,26.039,80.959,40.397,59.33,53.306,71.268,45.573,7.2612,27.969,5.2883,13.442,12.856,3.0282,13.665,0.7347,12.076,6.8713,112.61,63.235,11.498,12.297,18.967,8.5664,3.1301,25.385,36.791,20.865,7.8567,44.962,11.234,13.299,4.495,46.663,13.199,1.6598,44.961,21.992,77.354,11.666,2.3436,57.971,12.225,2.5424,11.037
2.2695,109.28,20.864,12.631,23.838,169.88,153.86,12.974,28.569,28.797,22.157,24.087,58.063,23.741,13.607,36.54,108.2,81.531,20.954,29.823,29.34,56.031,4.2956,22.96,23.406,55.273,98.154,7.3016,14.335,185.23,34.1,2.1064,69.562,20.332,58.469,35.75,37.262,53.539,159.03,37.008,120.12,24.735,8.5333,12.029,48.061,35.703,25.671,14.39,11.565,26.492,1.8997,8.5924,220.22,24.688,47.484,77.637,21.444,69.932,42.761,20.74,49.533,49.421,72.651,110.23,125.75,35.473,45.403,75.721,36.793,21.387,NaN,13.759,8.5121,58.095,6.7883,11.377,29.303,35.425,23.3,50.14,58.101,14.095,74.85,67.652,110.62,95.664,6.6734,168.61,80.059,53.184,NaN,71.268,58.203,65.631,99.488,74.125,108.22,9.0668,9.3415,47.154,74.264,53.433,18.196,NaN,21.402,36.238,57.737,46.699,11.577,47.357,46.621,53.434,61.317,29.662,24.135,21.399,50.429,35.424,35.575,14.72,120.78,45.692,153.06,53.271,11.402,23.695,46.587,42.682,13.44,34.268,63.587,14.603,56.469,21.528,99.001,8.6761,12.234,53.729,45.572,91.86,51.96,63.385,29.642,46.55,6.8632,26.096,95.627,42.727,75.857,55.405,158.02,22.163,26.13,81.197,53.303,94.023,109.29,174.41,101.55,7.9043,28.072,5.4382,22.325,13.628,3.0948,14.392,0.96698,12.164,35.438,115.5,63.353,13.135,26.707,35.443,34.452,143.45,27.001,125.46,27.957,12.242,54.558,11.567,21.986,5.1753,53.094,13.292,2.1062,57.018,22.099,173.26,12.2,6.6668,58.104,12.365,2.6733,11.201
2.5374,151.66,21.4,24.455,23.989,170.61,156.88,13.785,53.307,53.195,23.203,33.925,86.868,23.97,13.931,36.701,108.36,108.84,21.236,41.908,41.165,74.936,4.6101,23.034,23.932,57.958,98.559,12.231,22.268,185.78,34.326,2.2412,70.922,27.997,75.704,47.274,37.462,65.689,194.82,37.152,159.07,26.707,23.973,22.666,48.269,63.37,42.808,15.195,13.335,26.661,2.5456,9.4226,220.51,28.195,51.829,86.418,21.566,70.064,43.624,20.867,49.672,49.99,121.25,148.01,145.62,35.571,73.649,75.869,56.327,21.736,NaN,14.057,8.674,75.731,9.2062,11.706,29.436,35.724,74.896,70.935,75.868,14.267,77.689,67.782,156.85,132.68,6.7988,168.73,80.193,53.35,NaN,95.321,82.4,65.861,119.52,75.704,108.36,10.259,35.688,76.391,74.491,107.22,24.235,NaN,21.988,45.556,58.19,47.132,12.54,47.498,77.288,57.214,63.402,47.484,46.154,24.003,50.628,47.236,46.535,14.842,120.95,45.798,153.15,99.148,12.721,23.801,55.568,43.141,21.86,50.195,63.733,24.091,73.397,23.435,127.54,8.803,17.453,54.735,47.397,91.956,52.102,76.286,69.754,55.796,6.9743,47.305,106.96,54.008,80.285,80.656,183.26,22.273,26.929,99.087,86.691,95.662,143.48,186.11,108.9,19.788,29.872,6.7214,22.674,13.932,3.5902,22.771,18.874,24.155,45.586,115.59,63.603,13.74,26.926,35.658,47.366,188.92,52.194,125.55,45.557,12.461,64.564,12.834,22.723,5.27,75.824,14.156,2.734,177.81,27.556,173.39,12.863,20.325,64.706,13.298,3.8041,12.222
2.8643,158.08,22.592,24.92,24.989,171.11,204.11,24.369,53.528,53.755,23.824,68.499,99.034,47.216,14.394,78.296,108.74,109.93,21.362,71.921,45.405,77.238,4.7749,23.623,24.301,58.191,98.699,23.787,23.334,209.16,34.973,2.736,71.234,28.108,76.098,47.406,45.121,80.526,194.95,38.023,174.15,33.796,34.463,22.771,69.738,80.556,43.67,45.561,22.095,43.871,2.6703,23.662,NaN,28.597,77.43,172.34,22.404,71.022,43.794,29.807,49.841,51.773,157.66,148.12,177.31,35.706,97.717,81.092,78.769,29.062,NaN,44.923,25.499,85.297,21.322,50.652,50.767,47.261,75.215,71.251,85.302,33.537,136.01,84.258,182.56,186.32,11.496,180.46,83.652,53.463,NaN,95.463,86.1,66.183,126.82,77.464,109.52,10.408,35.799,76.75,114.42,107.43,25.169,NaN,27.323,45.966,86.158,61.854,18.892,65.817,77.768,80.523,85.32,67.116,47.239,27.966,51.659,47.406,47.501,26.034,163.84,46.001,156.89,101.75,12.898,26.704,55.784,60.885,21.988,50.522,63.864,25.488,73.531,23.802,127.75,9.0746,21.174,54.862,70.767,106.04,60.804,88.886,70.03,58.297,11.662,48.726,120.99,69.95,81.033,89.59,186.22,23.366,47.4,103.08,87.987,111.75,202.48,186.28,109,85.899,30.004,11.004,25.323,14.059,23.687,24.205,18.989,30.231,45.685,118.6,69.926,14.34,30.237,45.629,62.591,189.05,54.751,143.05,45.668,24.03,64.701,13.93,23.228,12.058,75.928,14.265,11.403,187.01,33.697,215.77,13.162,20.392,75.869,21.996,4.2947,18.033
3.0658,183.05,23.095,45.95,25.171,175.98,204.26,49.449,54.654,80.692,24.103,68.735,99.258,49.128,14.838,78.65,109.26,110.65,21.509,103.07,46.569,88.135,5.299,24.541,24.399,59.782,108.65,26.857,24.188,221.51,63.225,11.402,95.346,37.23,76.398,56.458,45.302,86.2,207.61,43.853,181.33,34.101,34.57,22.91,81.424,107.19,47.132,46.025,25.27,44.654,4.6286,23.793,NaN,28.724,86.717,184.89,22.655,71.136,45.934,42.003,50.324,53.302,184.42,165.71,177.66,36.804,97.89,94.851,88.069,36.421,NaN,45.519,43.661,101.8,21.895,50.964,88.26,56.422,95.377,94.385,128.01,34.629,136.23,105.93,189.17,187.01,11.575,181.31,90.617,88.095,NaN,98.761,86.66,69.533,127.08,77.685,109.66,24.124,37.042,80.538,114.65,107.66,25.375,NaN,27.63,74.86,86.317,64.5,18.971,65.931,77.988,86.016,86.199,67.266,47.459,28.535,114.46,57.251,53.166,26.795,163.95,74.932,157.02,102.88,14.331,29.068,71.188,71.86,22.327,50.635,111.16,29.323,78.819,43.29,168.48,25.195,21.305,80.915,71.259,157.79,64.154,186.16,70.931,68.689,11.806,53.304,186.17,70.064,81.216,120.91,190.98,24.539,70.786,106.37,88.126,118.12,202.68,186.61,147.64,87.231,122.06,11.134,26.561,14.394,23.808,26.658,26.562,30.359,47.264,118.73,70.057,22.277,33.376,58.296,62.688,190.85,54.867,157.82,53.335,25.902,74.553,23.328,26.562,12.203,77.427,18.854,11.732,200.38,35.898,217.22,24.525,30.341,86.992,22.706,4.608,23.632
3.3618,184.14,23.371,46.557,26.204,176.47,204.69,50.299,81.929,80.862,25.202,81.933,121.01,49.419,15.196,124.53,109.52,172.99,21.739,103.81,47.217,100.31,5.6367,24.962,26.001,65.332,110.68,53.268,24.305,221.89,63.366,11.96,98.756,37.596,80.617,75.737,53.328,86.323,218.18,45.573,189.47,50.667,44.971,24.204,81.623,122.03,47.431,46.754,25.738,44.826,4.7726,44.934,NaN,28.903,87.231,185.12,22.9,71.985,46.274,69.727,50.468,53.556,184.71,184.8,180.71,53.249,98.796,99.219,159.11,36.552,NaN,45.759,47.424,101.93,23.101,51.462,138.59,75.854,121.15,130.81,156.72,34.9,168.87,119.57,189.32,187.15,18.9,181.64,90.831,88.225,NaN,136.59,86.821,74.536,131.66,102.15,110.71,24.231,37.163,80.7,114.86,108.22,26.802,NaN,28.032,75.748,98.75,131.32,21.363,69.68,95.52,86.731,97.697,80.532,68.766,35.702,114.62,75.338,53.357,26.931,175.72,110.8,204.12,103.56,23.391,46.539,71.295,95.382,22.695,58.119,112.68,40.306,107.67,94.8,175.05,25.507,22.456,81.615,71.924,157.91,68.757,186.25,71.967,69.287,12.198,53.391,186.25,72.03,128.9,130.89,194.64,24.663,77.184,107.19,92.436,118.66,214.95,200.55,147.85,107.52,122.38,11.468,80.999,15.198,29.324,27.464,45.593,33.387,110.79,125.71,70.333,23.362,33.503,65.803,72.233,206.74,56.594,159.12,103.05,27.272,86.995,44.955,35.409,12.842,86.089,21.896,12.722,201.88,36.952,NaN,24.66,30.467,88.348,23.232,4.7682,25.365
4.5952,196.08,23.642,51.974,26.559,176.88,234.77,52.957,86.036,81.93,25.427,172.34,127.4,50.523,26.227,124.66,109.86,222,36.399,107.5,59.016,120.13,5.9699,25.408,41.451,69.616,173.02,62.831,24.527,NaN,63.529,12.165,110.41,43.168,80.763,75.85,74.071,88.131,218.29,70.536,189.75,53.002,45.606,27.223,90.548,122.97,47.602,54.355,26.754,44.953,6.8541,45.091,NaN,53.738,87.533,192.77,46.297,107.64,46.56,71.001,51.923,54.405,NaN,185.51,189.64,72.605,101.78,99.482,159.21,43.899,NaN,46.591,47.587,110.65,23.604,51.85,189.19,80.362,121.35,171.78,182.57,35.568,169.89,120.93,197.57,187.95,21.325,189.51,92.188,89.001,NaN,153.73,107.67,104.83,131.79,105.95,111.25,33.902,45.558,94.802,135.5,108.36,26.934,NaN,35.455,78.305,106.36,159.04,21.867,71.683,95.63,97.828,99.05,82.1,69.229,62.291,117.06,75.697,64.695,44.552,185.52,110.99,204.25,104.91,24.056,53.167,175.75,95.467,23.162,58.382,120.21,47.302,107.8,114.95,175.57,29.341,22.741,81.933,101.8,163.89,69.753,190.85,72.67,71.158,12.864,77.464,188.69,97.724,129.03,132.66,199.05,25.42,77.461,122.71,93.391,118.93,218.19,235.21,157.79,107.72,181.52,12.075,99.337,26.17,36.933,28.887,49.061,34.964,111.07,125.85,71.218,23.527,33.692,73.72,81.92,235.31,58.671,159.22,107.59,27.588,87.098,45.257,54.402,12.97,86.262,23.269,12.909,201.96,37.201,NaN,24.789,35.676,94.655,26.564,4.9064,25.475
4.7027,202.48,23.986,54.483,26.694,177.29,NaN,78.893,86.62,82.068,25.99,173.72,132.87,51.738,26.697,157.95,110.33,NaN,43.867,107.6,71.269,122.68,6.4593,44.115,42.724,83.648,NaN,75.903,24.775,NaN,88.088,12.722,117.4,45.302,81.081,80.716,77.867,98.832,NaN,71.796,190.76,79.12,45.768,27.339,91.287,157.59,58.634,56.235,27.034,55.062,8.0407,45.267,NaN,54.858,99.158,199.96,46.404,108.42,55.215,71.963,52.067,61.131,NaN,199.71,189.76,75.734,104.97,116.73,175.91,45.172,NaN,52.984,48.361,118.6,23.736,52.769,189.32,80.728,136.58,174.45,189.65,46.029,170.04,125.59,197.71,188.36,21.443,189.8,102.38,91.916,NaN,169.88,108.36,112.51,131.95,106.69,111.56,46.626,45.898,106.08,153.4,113.31,28.675,NaN,35.741,95.465,106.98,159.22,22.466,71.902,96.791,99.061,102.18,142.08,81.955,76.417,119.96,75.851,65.726,44.658,NaN,111.05,234.79,105.52,24.754,53.531,176.45,98.793,23.666,75.235,120.33,49.96,124.52,115.05,219.07,35.607,25.304,82.063,101.92,170.06,81.435,191.02,92.069,71.3,23.972,77.701,189.09,101.82,155.69,133.69,NaN,34.096,97.765,122.98,98.998,119.18,219.04,235.38,157.91,116.13,186.25,12.843,99.464,26.693,37.394,46.05,53.298,46.556,118.23,179.52,71.683,25.491,33.798,75,82.031,235.44,58.806,179.09,107.69,27.968,88.264,45.355,61.506,13.293,87.586,25.198,23.159,229,44.696,NaN,26.83,35.797,110.69,27.667,5.3375,26.536
4.9336,214.95,24.57,60.788,26.804,177.78,NaN,79.381,87.334,116.03,44.093,189.09,133.16,51.971,27.037,159.09,110.43,NaN,44.961,108.1,76.771,124.97,6.8899,44.238,42.872,85.867,NaN,80.615,26.685,NaN,95.715,22.466,117.53,73.705,108.59,81.225,78.002,112.19,NaN,71.913,191.04,154.65,47.607,46.972,117.16,183.19,61.801,57.018,45.584,55.39,8.3006,45.402,NaN,54.997,101.85,200.59,47.202,110.42,55.566,107.63,87.903,75.858,NaN,199.85,193.29,75.86,105.41,117.95,176.05,45.504,NaN,53.12,69.652,125.71,25.058,52.955,197.32,80.948,136.69,183.29,197.31,90.58,178.3,125.76,197.84,205.8,23.699,197.39,102.65,92.082,NaN,172.56,109.06,115.53,132.29,116.28,113.13,47.604,46.582,107.46,155.02,115.55,45.602,NaN,52.751,95.662,107.23,165.72,22.832,73.688,113.26,99.267,116.09,162.72,82.029,88.214,120.19,81.184,65.933,46.638,NaN,130.9,234.88,105.62,25.042,58.387,177.99,101.75,24.501,75.327,120.93,51.816,124.65,118.96,243.91,43.403,42.808,86.624,120.46,170.18,81.932,194.68,92.415,71.67,24.165,77.958,208.07,101.95,155.82,133.83,NaN,46.601,109.13,123.08,105.95,155.99,235.37,235.51,163.83,122.4,190.85,32.485,100.28,27.194,39.392,47.204,57.857,47.173,119.58,179.65,72.037,27.764,46.533,75.122,94.794,235.54,65.96,179.19,109.28,48.272,94.655,45.757,64.57,19.073,95.359,25.29,23.391,NaN,63.394,NaN,27.771,36.018,114.47,35.422,5.7716,27.593
