2.5626,5.8069,8.9927,2.4674,9.9064,0.73358,1.8664,0.65495,0.93184,5.0311,31.134,82.559,34.834,17.865,19.473,75.701,1.528,19.861,2.6547,1.1345,69.888,21.507,23.388,17.862,25.105,1.4322,5.5427,1.0982,9.2033,4.2914,20.154,26.927,20.996,21.258,5.1047,3.5953,8.4044,32.419,1.7701,8.2658,66.292,6.4663,33.665,1.8051,1.6046,0.77419,11.331,18.859,1.9296,14.364,20.26,7.7305,1.4657,48.792,2.8303,7.9976,15.098,1.3085,9.127,33.767,5.1908,6.9362,18.464,34.226,1.7632,0.96736,48.304,27.835,3.4654,19.258,30.597,17.375,3.3969,5.073,2.9712,22.096,1.457,3.9687,1.3743,42.066,10.397,1.2879,2.5976,1.7084,0.90841,1.7329,8.9906,3.394,1.1016,19.333,18.27,1.7034,60.723,29.301,5.3634,22.605,1.4035,1.2648,3.563,8.4905,3.3597,8.5975,3.1612,1.7058,24.026,4.2949,15.503,33.7,7.1985,16.003,3.4662,10.325,0.63827,9.0651,1.8616,9.6657,1.3094,1.628,1.3055,3.9016,1.8962,1.4416,24.533,3.8287,7.3696,8.5024,5.0766,0.70327,9.6993,32.004,1.7075,1.7071,1.1601,6.6554,6.4036,4.4308,74.498,15.887,17.956,0.99469,4.2377,1.1386,14.861,1.7701,4.6028,1.9343,33.528,4.8324,4.365,2.2985,4.761,7.7567,7.9957,77.226,3.0357,5.0645,17.664,3.2609,21.202,7.9648,4.9333,8.1036,6.9942,3.2284,4.9701,1.1303
3.0657,5.995,10.133,2.6949,10.067,1.5655,2.1714,1.5759,1.5951,5.6957,31.268,82.989,35.137,19.635,20.205,76.424,1.8307,20.529,35.326,1.3999,70.522,21.695,23.93,19.095,25.263,4.758,6.5048,5.2026,10.091,13.225,21.029,27.637,21.201,21.389,15.457,3.7741,36.77,32.695,2.6019,22.931,68.303,14.835,33.825,5.1914,2.1961,1.1903,12.17,18.988,15.397,15.206,20.599,8.3622,29.664,51.485,3.3285,8.1645,15.432,5.8753,10.891,70.525,5.4306,7.335,18.804,34.455,1.9408,1.4373,49.624,27.967,3.5925,19.566,30.931,17.763,3.6254,6.5269,20.989,22.329,2.4623,4.1714,14.928,76.661,10.701,2.4089,2.8953,5.8691,1.1675,2.2049,74.55,7.1363,1.307,19.494,18.508,1.8999,69.731,29.904,6.2001,23.927,1.7028,6.409,8.3956,8.6689,3.5025,9.0674,3.7667,17.053,29.599,5.2041,16.23,49.391,9.8976,16.126,15.136,10.675,1.0015,16.736,1.9622,10.193,1.5366,1.8281,1.9088,49.52,2.1972,1.8025,24.837,17.473,8.4093,14.227,8.2212,1.1953,9.9318,32.294,2.2364,8.6437,1.4268,6.8929,7.3017,4.7309,74.647,16.069,22.938,1.1248,18.668,3.5901,18.305,2.4725,4.6685,2.1238,NaN,18.239,4.6675,3.4039,16.701,7.902,9.1657,77.681,8.4951,15.027,21.224,3.5313,33.403,27.323,11.297,8.4682,16.294,3.3668,11.697,1.3288
3.1994,6.2341,10.496,2.8932,11.201,30.766,2.7342,1.9329,1.7636,6.2293,31.868,83.249,35.401,19.771,20.458,77.163,2.1062,21.063,36.123,1.735,70.999,22.463,24.991,20.166,25.498,22.362,6.8657,7.0632,12.107,17.362,21.172,28.571,22.063,21.605,24.031,3.9617,37.73,32.794,8.5969,24.163,68.797,15.19,34.294,5.3707,2.3356,1.4389,19.664,19.122,15.666,44.723,21.406,10.23,32.695,52.521,3.5771,9.802,15.592,12.401,11.626,72.428,9.0968,52.523,21.023,35.133,22.674,1.6722,50.035,33.463,4.2993,20.33,31.597,19.065,15.427,6.8035,21.156,24.297,8.3665,4.6285,15.6,76.768,22.457,13.894,3.2316,6.1739,5.6927,2.6257,74.786,64.257,1.4668,19.962,18.626,4.2277,70.468,30.128,6.4314,25.269,1.9379,6.5318,19.259,15.44,4.6975,9.3084,6.8315,17.668,29.802,6.694,76.833,49.729,10.83,21.958,31.341,11.072,7.0929,25.226,21.026,11.032,1.7006,2.805,2.434,67.262,2.5722,2.7634,30.888,22.002,8.5431,14.665,9.5994,1.33,10.756,49.394,2.3669,9.1627,1.588,8.5933,8.1048,5.2688,74.926,21.062,35.259,7.8097,18.797,7.8236,18.426,2.6291,5.0233,2.3931,NaN,18.406,8.7701,12.534,20.526,18.835,10.439,NaN,8.5916,17.293,53.927,4.1589,34.089,50.723,15.756,8.833,19.762,4.7352,26.769,10.654
3.4691,6.936,10.773,3.1273,12.071,32.434,3.0384,2.1341,1.9919,6.4372,32.996,83.395,35.967,19.889,21.196,78.893,2.3078,21.173,37.233,2.1626,71.093,23.532,25.27,24.934,36.533,22.833,60.288,7.2247,13.332,17.865,21.402,51.631,40.658,21.727,26.196,7.2352,38.589,33.227,17.404,25.234,69.353,76.021,34.998,19.97,21.438,1.7298,21.559,19.329,16.807,86.488,23.068,10.557,32.825,52.957,4.1361,10.236,15.706,13.432,11.77,72.855,19.528,71.451,22.224,77.083,22.804,2.9293,60.161,33.628,5.3596,22.096,NaN,20.375,15.663,7.3083,21.561,26.004,13.835,5.405,16.473,82.456,23.166,14.098,3.5575,6.3343,5.7988,3.7309,75.097,72.25,2.6735,20.131,19.937,4.7915,NaN,30.365,6.6345,25.456,2.1927,7.0634,28.972,18.461,5.2071,10.136,8.0029,17.896,30.071,13.777,NaN,76.16,11.032,22.193,31.887,11.424,7.9258,NaN,21.61,11.341,2.2352,3.1307,2.6027,NaN,2.7943,3.1419,31.025,22.156,8.6714,14.97,9.8371,1.9277,10.996,51.487,2.6405,12.164,6.9242,13.529,14.292,8.7986,75.294,21.426,35.689,7.9345,19.356,8.0023,18.668,3.0605,9.4698,4.5628,NaN,19.46,14.267,12.774,22.286,19.437,10.562,NaN,8.8347,28.696,54.121,5.1285,43.36,50.831,15.989,9.8974,19.894,4.8617,26.924,23.964
3.6921,7.3931,10.974,4.3628,12.264,32.893,3.5354,2.2785,2.5957,6.6294,33.464,83.695,36.657,20.123,21.326,79.961,2.9405,21.406,37.774,2.5939,71.998,24.033,25.896,25.328,71.729,23.033,70.627,8.7671,13.934,18.727,21.638,77.257,40.8,21.931,27.236,8.1758,89.521,33.36,17.867,25.489,69.735,77.635,NaN,20.465,35.725,1.8645,21.932,19.466,16.961,88.851,75.42,11.074,32.957,53.066,30.694,20.594,15.999,17.395,12.032,76.997,19.626,72.259,22.826,77.217,69.759,3.4413,NaN,33.935,6.3427,22.266,NaN,20.999,15.863,7.6274,23.338,27.467,14.693,6.6042,38.689,92.72,23.301,14.2,5.535,30.465,7.3393,4.0052,75.762,72.697,2.8031,44.355,21.401,4.9343,NaN,30.563,7.4977,25.871,2.5655,8.5548,29.527,33.089,8.8349,27.467,8.4699,23.566,30.273,23.522,NaN,NaN,11.141,22.325,32.14,11.665,12.163,NaN,21.858,11.492,8.6416,15,2.7592,NaN,2.928,3.3103,31.497,22.491,9.8224,15.233,15.028,11.298,12.86,69.991,2.7728,23.533,10.169,17.929,17.541,9.6318,75.927,22.495,77.293,10.392,20.993,8.4667,19.455,5.6648,12.165,5.0247,NaN,20.096,14.67,13.406,22.762,19.668,12.069,NaN,9.0665,33.995,59.851,5.2997,74.455,51.118,20.358,12.461,20.061,6.6544,28.022,24.09
3.9638,7.5311,11.361,4.565,12.63,33.157,3.7285,2.5997,2.9092,6.8368,33.721,83.958,37.04,20.257,22.792,80.091,3.23,21.899,80.154,3.7602,73.055,24.235,26.237,25.656,85.33,27.26,71.399,9.9608,14.554,30.306,22.067,77.622,42.893,22.07,27.754,8.4341,NaN,33.559,18.728,25.96,70.125,78.522,NaN,22.069,36.297,1.967,22.329,20.463,17.155,90.39,75.698,27.762,NaN,NaN,33.426,22.556,17.27,19.171,12.362,NaN,20.323,72.529,23.164,79.354,70.021,4.0211,NaN,35.027,6.5337,22.56,NaN,21.193,15.993,8.159,23.608,28.571,17.392,7.0014,39.064,93.358,23.488,14.438,33.83,30.767,11.46,4.2007,76.014,78.685,3.1984,74.525,21.76,5.3374,NaN,31.035,8.4999,26.854,2.7089,8.698,29.998,33.701,9.8775,27.63,8.5955,33.532,30.894,23.895,NaN,NaN,11.703,22.492,32.604,12.367,12.609,NaN,23.461,11.734,12.726,17.326,3.2548,NaN,3.2413,3.5976,33.296,32.694,20.968,15.357,15.168,27.271,13.261,70.698,3.0976,23.738,14.057,29.169,18.023,9.7684,76.268,26.899,77.832,10.665,21.303,19.807,19.622,13.862,17.694,5.8658,NaN,30.09,14.966,13.601,26.992,19.996,12.197,NaN,9.6027,48.324,59.996,8.6349,75.562,70.826,21.268,12.595,27.071,6.9016,28.523,25.227
4.1659,8.8594,11.565,4.9392,13.727,34.297,3.8615,3.1632,3.1044,7.0018,33.959,84.059,37.4,20.628,23.026,81.395,3.8207,22.061,80.358,3.8662,73.263,24.526,26.357,28.362,85.522,27.634,72.091,17.668,15.493,30.997,22.239,NaN,43.39,22.34,34.172,47.369,NaN,33.668,30.697,26.259,70.914,79.498,NaN,26.666,36.691,2.5751,22.787,71.497,67.855,NaN,76.019,28.858,NaN,NaN,51.355,31.538,17.63,19.405,12.693,NaN,20.643,72.856,30.74,NaN,70.92,4.3273,NaN,35.567,6.8396,28.756,NaN,21.866,18.565,46.122,23.862,28.73,17.569,7.1231,39.328,NaN,24.061,16.938,34.201,31.264,11.939,6.7992,76.764,79.595,16.969,80.598,22.492,8.1698,NaN,31.186,8.6972,32.162,2.8391,15.662,30.301,49.093,10.064,28.059,10.642,51.594,33.597,31.197,NaN,NaN,13.06,22.735,32.696,12.626,15.495,NaN,30.624,11.936,12.934,17.502,3.9936,NaN,3.6697,8.1347,34.699,33.091,21.104,15.566,15.869,28.358,21.271,70.951,8.6293,25.301,17.557,32.7,22.628,26.99,76.726,27.507,81.763,12.775,27.588,20.539,21.158,14.059,17.864,8.8728,NaN,30.563,19.158,19.541,27.272,20.271,12.395,NaN,17.697,49.021,76.701,19.768,82.129,70.918,23.003,16.995,27.297,8.7723,33.359,25.326
4.5033,9.5633,11.693,5.0407,13.936,34.668,4.3306,30.004,3.5061,7.1078,34.556,84.158,38.755,21.298,24.591,81.725,4.7688,22.254,80.601,4.038,73.6,24.737,26.835,29.437,86.09,29.192,NaN,19.532,16.225,62.561,22.559,NaN,43.692,22.662,35.405,47.863,NaN,33.793,30.829,NaN,74.419,79.764,NaN,26.856,36.935,2.7043,22.962,71.846,69.057,NaN,76.261,29.127,NaN,NaN,67.731,31.794,18.074,19.639,13.003,NaN,22.571,73.727,33.768,NaN,76.731,4.6265,NaN,36.628,60.62,30.788,NaN,21.998,18.904,47.502,24.063,29.404,17.688,7.9689,45.151,NaN,25.095,17.727,34.673,32.03,12.166,7.7642,83.088,79.802,17.129,81.8,23.058,17.964,NaN,31.467,9.4645,32.493,3.6271,15.862,30.566,49.392,10.557,28.356,15.031,83.36,33.758,43.801,NaN,NaN,17.033,23.026,34.574,12.731,15.565,NaN,31.572,12.667,13.921,19.499,4.0886,NaN,9.4372,16.834,34.994,33.494,21.558,16.804,16.144,30.363,21.774,76.196,12.336,31.071,17.792,32.825,29.66,NaN,77.118,74.135,82.013,16.724,28.592,21.297,74.632,14.202,18.372,9.0596,NaN,30.765,19.525,19.704,27.554,54.105,20.123,NaN,18.304,49.196,76.819,20.225,NaN,72.026,30.5,17.125,27.433,20.926,76.828,25.603
5.299,9.9293,11.934,NaN,14.24,34.77,4.5398,30.257,3.7243,7.3578,34.773,84.423,83.261,21.495,24.761,81.827,5.0259,22.541,80.947,5.1969,73.766,24.895,27.494,30.786,86.594,29.656,NaN,19.773,16.592,69.747,24.172,NaN,44.199,22.866,35.836,51.334,NaN,33.996,30.988,NaN,75.496,80.402,NaN,29.222,37.327,2.9636,24.756,71.998,77.281,NaN,76.786,30.228,NaN,NaN,85.389,NaN,18.401,19.759,13.535,NaN,29.929,77.001,34.16,NaN,77.158,5.8069,NaN,40.154,61.299,31.156,NaN,22.234,19.329,48.527,24.371,30.965,17.859,8.1661,45.522,NaN,26.269,38.821,35.1,32.254,12.366,7.8377,83.424,NaN,17.592,88.718,23.298,18.422,NaN,36.868,11.593,40.123,3.9043,16.269,30.772,74.093,10.725,29.061,15.861,83.618,67.453,52.522,NaN,NaN,19.105,23.562,34.772,13.167,15.706,NaN,33.597,12.835,22.801,19.803,10.637,NaN,9.7619,17.329,35.128,34.324,21.987,19.705,42.154,40.753,21.904,88.318,16.066,31.496,18.527,33.594,29.963,NaN,79.659,74.394,NaN,16.83,29.007,21.399,74.938,14.299,18.837,23.106,NaN,31.189,19.625,36.56,30.127,78.619,20.668,NaN,19.067,59.861,79.993,26.093,NaN,72.457,30.873,17.465,34.998,22.199,77.357,26.102
5.9901,10.192,12.264,NaN,14.502,35.563,5.0267,30.56,5.0387,7.7337,68.633,85.528,83.522,22.966,25.103,82.89,5.4952,23.624,81.065,13.596,74.294,25.135,28.002,31.154,87.083,53.423,NaN,19.899,16.928,70.104,24.355,NaN,54.562,23.004,36.163,51.952,NaN,34.461,60.263,NaN,75.922,NaN,NaN,30.795,37.593,3.5694,24.856,73.059,77.397,NaN,78.091,30.499,NaN,NaN,85.918,NaN,18.661,21.192,13.641,NaN,38.886,78.885,36.37,NaN,NaN,8.1337,NaN,40.566,61.421,31.399,NaN,22.34,26.264,77.222,80.523,34.67,18.129,22.827,77.128,NaN,26.597,39.223,61.895,32.563,15.862,14.705,84.892,NaN,17.83,88.858,23.461,18.732,NaN,36.998,11.932,54.928,4.13,29.64,30.93,74.252,19.894,36.663,15.994,83.957,67.897,54.655,NaN,NaN,19.232,23.77,77.682,13.596,15.84,NaN,37.792,13.463,23.193,20.225,10.791,NaN,11.341,17.43,35.566,34.635,22.425,19.966,42.407,45.788,22.131,88.853,19.126,32.693,18.664,39.265,30.594,NaN,83.117,74.993,NaN,16.957,29.161,21.558,75.096,25.621,19.398,23.527,NaN,31.402,20.168,49.702,36.192,79.625,21.27,NaN,32.138,60.403,80.726,26.3,NaN,72.694,31.223,21.805,48.489,22.461,86.092,35.469
