12.934,48.202,19.536,12.832,15.892,40.308,25.669,81.9,44.429,76.865,16.922,24.835,51.039,70.695,16.492,57.433,23.103,18.703,9.7308,18.674,31.774,31.856,25.939,28.442,81.785,13.044,6.2614,21.003,30.953,18.64,NaN,26.262,49.825,41.595,18.002,26.326,31.091,31.542,12.101,12.569,23.095,14.137,49.697,49.59,63.989,27.935,39.403,47.063,25.391,14.141,23.824,15.991,47.928,40.274,22.969,26.295,14.126,23.007,26.227,16.571,12.732,NaN,53.328,9.2357,32.609,26.26,34.459,22.591,15.932,10.66,23.526,NaN,22.436,10.323,25.611,22.971,12.707,24.005,22.722,18.924,9.4975,19.163,23,38.067,26.23,15.337,14.399,24.972,10.763,22.965,40.772,38.827,63.184,31.196,14.158,26.289,31.826,14.107,26.666,20.022,24.558,16.27,19.926,25.561,31.036,23.997,24.52,14.265,27.891,58.551,24.906,22.069,42.928,42.229,20.094,14.74,19.101,26.156,32.201,42.094,44.586,33.908,28.331,10.256
13.704,48.336,19.665,14.167,20.656,40.417,26.162,93.822,46.055,78.091,17.159,25.666,60.432,70.822,16.637,57.499,26.136,18.827,10.205,22.438,32.485,32.226,26.858,29.264,81.932,13.301,6.4978,23.765,31.691,18.773,NaN,29.629,66.198,54.329,18.106,27.141,31.784,36.033,12.728,12.692,25.433,19.997,49.798,49.79,64.56,31.799,39.526,49.791,31.792,18.805,26.165,16.165,49.495,40.384,24.056,34.365,14.272,24.806,27.198,16.869,12.836,NaN,56.668,9.3748,44.34,31.931,40.227,22.988,17.121,10.771,27.538,NaN,22.557,10.723,26.227,25.668,12.861,24.154,22.956,19.134,12.631,19.309,23.439,39.735,28.076,15.726,15.838,26.227,12.709,23.069,41.904,38.971,NaN,32.668,14.342,31.034,42.266,15.535,26.86,20.17,24.673,22.96,20.094,26.231,34.117,26.17,24.662,14.819,29.606,61.186,25.034,22.934,44.832,44.34,23.459,19.1,22.795,26.242,40.935,42.292,44.784,40.803,28.496,12.676
14.02,55.44,22.771,14.342,20.921,41.807,26.261,NaN,47.057,96.126,19.101,25.796,63.333,78.797,22.436,65.993,26.26,22.931,14.025,22.969,33.466,34.373,26.975,30.929,82.895,14.27,7.165,23.936,34.128,23.453,NaN,32.665,67.221,78.759,24.943,27.296,32.602,37.504,14.102,12.796,28.762,20.141,68.738,49.897,65.535,45.666,41.602,49.926,31.902,28.058,26.269,19.176,61.89,40.87,26.167,34.46,15.702,25.004,31.374,17.304,22.768,NaN,56.759,12.595,44.433,32.137,41.025,26.162,18.597,10.935,28.429,NaN,24.106,12.764,27.268,27.921,15.964,24.894,23.104,20.192,14.225,22.692,24.54,41.324,28.195,15.834,19.657,26.294,13.506,23.661,44.66,40.259,NaN,38.603,17.975,31.795,50.824,15.943,27.096,23.33,29.236,26.172,24.02,27.138,42.269,29.619,24.943,14.928,29.741,65.76,27.126,23.532,45.871,44.488,41.526,19.197,23.002,31.387,52.165,54.363,44.967,41.807,31.727,19.908
17.358,60.463,23.405,14.658,21.04,42.632,29.642,NaN,49.497,NaN,19.305,26.158,63.454,78.894,22.561,66.222,29.636,25.697,14.263,23.095,44.302,39.301,31.474,32.207,89.801,19.104,7.5975,26.194,34.239,23.609,NaN,34.366,73.793,78.883,26.83,31.803,32.701,39.055,14.236,13.527,31.006,21.303,70.715,51.95,67.765,49.503,41.727,52.763,32.597,28.207,28.803,19.266,78.933,40.973,26.259,38.605,16.354,26.205,31.491,20.166,23.003,NaN,56.9,12.677,45.494,34.436,41.596,26.268,18.761,13.135,30.268,NaN,25.629,12.835,27.407,28.024,16.09,25.401,27.964,20.295,14.971,22.937,24.635,43.349,28.438,17.029,20.033,28.909,13.629,24.958,44.769,40.392,NaN,40.773,18.564,32.167,60.496,16.972,27.908,23.435,29.364,26.275,24.193,27.233,43.595,29.732,25.293,20.673,40.936,78.604,31.067,26.271,45.966,46.027,42.232,24.633,23.337,31.524,53.759,55.652,45.093,42.086,31.832,20.034
17.502,61.704,24.329,16.958,22.902,42.77,38.508,NaN,63.153,NaN,22.442,27.258,71.801,85.09,22.753,67.236,30.532,26.169,14.369,25.393,51.195,41.609,31.825,33.442,90.135,19.263,9.5233,26.268,38.504,25.394,NaN,34.531,78.596,85.089,28.106,32.793,34.653,41.819,18.255,16.996,41.519,22.172,78.433,55.394,71.335,49.598,45.702,61.088,47.04,28.932,29.656,20.804,79.069,41.602,26.638,38.702,16.528,30.533,33.456,25.922,24.905,NaN,57.431,13.369,47.051,34.564,41.701,31.863,20.085,13.293,30.72,NaN,26.175,13.24,27.941,32.357,17.993,25.836,28.444,29.789,16.238,24.332,25.293,45.726,28.569,17.156,22.79,32.641,14.305,28.854,46.041,42.055,NaN,40.898,20.054,35.837,69.005,19.167,54.417,25.508,32.231,31.095,28.427,31.027,45.059,38.568,26.203,21.228,41.597,95.782,36.256,27.554,49.8,47.024,49.555,25.395,24.542,32.296,53.885,60.9,49.885,42.296,38.488,20.695
22.591,65.301,24.434,19.41,22.994,45.424,38.601,NaN,65.723,NaN,22.561,30.099,71.899,85.192,24.319,68.723,32.072,26.267,15.377,25.533,51.291,44.233,32.502,36.717,95.77,20.47,9.769,34.437,38.795,25.536,NaN,34.858,80.936,85.205,28.203,32.957,34.768,48.069,18.893,17.06,41.639,23.353,78.527,57.534,71.793,51.324,47.832,98.99,47.161,29.636,29.729,23.768,81.157,44.592,26.852,48.533,18.791,32.735,34.109,26.043,25.005,NaN,62.798,14.105,47.832,34.901,48.565,32.036,20.288,13.407,31.508,NaN,26.261,13.965,31.954,34.434,18.439,26.097,30.335,30.263,16.373,24.463,26.233,45.866,31.837,20.638,22.995,32.727,14.41,40.498,46.158,42.184,NaN,41.604,20.842,35.933,70.689,22.971,61.885,30.393,32.354,31.2,29.503,31.166,45.368,43.565,26.333,22.028,41.691,96.632,36.363,27.67,54.559,47.12,50.069,25.597,28.307,34.404,55.662,65.303,49.97,55.467,42.088,26.261
22.929,65.423,28.307,19.521,23.123,51.154,39.423,NaN,67.522,NaN,23.607,31.031,78.064,87.502,24.435,68.829,32.208,29.631,15.97,26.155,58.363,54.991,34.102,36.894,95.898,20.798,10.176,34.571,42.328,26.176,NaN,38.588,81.152,92.645,29.131,34.168,38.604,51.117,20.906,18.709,44.763,23.461,79.899,57.857,72.637,51.465,48.036,NaN,47.839,29.771,38.564,28.101,85.354,45.97,31.951,54.39,19.136,34.425,34.193,32.533,27.267,NaN,62.93,20.04,48.402,40.872,48.666,32.193,22.294,14.327,33.694,NaN,26.651,14.128,32.095,34.925,20.138,26.223,31.872,30.439,16.496,24.97,31.804,49.531,31.953,22.753,24.835,34.96,17.269,40.631,54.334,42.717,NaN,41.835,23.025,41.504,75.218,23.071,63.067,30.532,39.23,31.505,29.659,34.266,46.071,49.164,38.786,23.462,49.57,97.858,36.733,28.39,54.658,47.967,50.825,26.362,29.467,34.969,57.126,67.158,50.652,56.632,42.294,26.653
25.597,67.267,34.104,20.889,27.24,55.627,46.056,NaN,78.6,NaN,23.699,32.665,80.268,87.593,28.074,72.9,34.291,30.554,18.026,26.258,61.092,55.105,34.191,40.795,NaN,22.488,10.634,38.564,46.13,26.294,NaN,38.695,82.164,94.861,31.488,38.7,43.743,55.435,23.022,21.574,45.567,24.025,79.991,58.967,77.361,55.497,50.027,NaN,47.932,30.434,38.698,28.2,95.778,46.06,32.061,55.452,19.258,40.797,38.958,34.121,27.37,NaN,65.333,22.934,49.718,40.956,52.134,48.133,23.522,19.907,34.307,NaN,26.84,17.324,32.857,41.602,26.002,26.856,31.962,30.668,17.764,28.085,31.893,53.528,34.627,24.002,24.972,37.526,17.404,44.305,54.499,42.872,NaN,42.098,23.662,45.33,76.918,24.02,63.183,31.732,42.297,36.795,31.791,39.054,48.097,49.906,38.926,23.556,49.659,NaN,37.454,28.489,55.154,48.156,53.868,28.072,30.521,40.803,61.819,69.956,51.457,65.298,47.069,26.831
26.662,67.369,38.45,21.006,27.361,61.905,46.17,NaN,85.295,NaN,27.93,32.733,80.366,NaN,28.304,78.079,34.403,34.888,18.872,30.54,63.561,62.921,35.22,41.092,NaN,22.998,10.704,38.702,46.294,31.089,NaN,40.82,85.333,95.458,31.603,42.036,44.839,61.699,23.529,23.662,46.76,24.172,81.779,61.087,78.257,57.423,61.693,NaN,61.699,31.099,42.061,42.403,98.127,62.139,34.432,63.425,19.574,41.656,51.536,42.96,31.059,NaN,65.79,24.987,49.798,42.463,55.951,52.219,25.005,20.055,34.472,NaN,31.461,17.83,32.967,41.701,26.201,27.169,34.652,32.22,17.907,28.2,41.896,53.637,40.295,24.422,25.8,37.631,18.54,44.437,55.866,47.97,NaN,42.229,24.805,47.035,77.033,25.424,66.218,32.457,45.324,36.923,32.6,39.199,48.194,52.23,40.598,25.498,54.534,NaN,40.963,31.064,55.36,49.498,53.969,29.252,31.726,40.954,70.459,70.662,54.799,69.486,47.63,31.901
27.256,69.815,39.14,21.13,27.968,66.166,47.988,NaN,85.403,NaN,30.403,34.311,95.964,NaN,30.493,78.22,40.939,35.056,22.988,30.625,67.149,65.3,35.304,41.455,NaN,23.298,11.038,43.634,47.958,48.291,NaN,41.6,85.458,NaN,40.253,45.67,46.196,63.602,24.94,23.796,46.986,24.826,82.134,62.4,78.366,60.895,61.791,NaN,63.665,32.037,42.198,60.553,NaN,62.225,34.539,63.563,19.826,44.073,57.439,43.538,31.165,NaN,65.993,25.658,52.13,55.265,56.057,52.331,25.392,20.805,37.939,NaN,31.994,18.923,40.266,44.471,28.63,27.495,35.485,32.337,19.021,31.988,44.338,58.149,40.441,24.861,26.163,38.604,18.992,47.087,57.089,48.094,NaN,43.967,24.967,47.16,81.793,26.651,67.791,32.695,46.232,42.327,32.799,40.632,51.164,54.301,41.855,26.298,64.861,NaN,42.228,40.896,56.023,54.769,55.69,29.362,31.865,41.585,70.557,82.193,55.505,69.592,49.497,32.033
