27.591,22.489,32.258,21.758,45.304,44.489,20.325,37.22,27.574,51.25,21.044,22.359,17.144,18.84,37.469,29.799,19.643,22.292,20.133,53.389,18.66,40.656,35.325,14.108,21.162,29.667,38.204,34.854,30.7,47.331,20.308,84.622,46.291,19.196,22.174,46.9,14.156,43.264,14.561,14.322,25.273,19.159,58.53,19.298,36.256,36.242,18.595,25.133,53.885,29.695,22.746,26.031,23.753,9.6617,30.498,50.003,19.859,25.103,20.356,17.872,48.861,13.7,37.428,13.173,30.391,26.398,48.354,16.835,47.666,28.831,18.394,27.263,22.758,38.198,49.904,13.087,11.901,36.764,29.394,21.798,47.434,20.224,14.425,30.101,30.539,29.406,22.139,8.6994,38.104,38.77,18.536,21.663,68.04,34.891,18.769,47.051,35.157,15.495,37.552,13.16,36.253,18.83,25.122,26.731,24.33,14.938,40.037,13.968,18.463,44.739,24.928,19.608,32.236,13.137
29.662,25.073,36.767,25.162,45.658,44.692,22.122,47.206,27.705,51.399,25.793,22.539,17.34,19.126,45.023,35.691,19.794,25.194,20.232,55.634,19.105,44.466,35.461,18.662,21.263,35.165,39.939,34.963,31.893,48.332,20.398,89.261,49.166,20.134,25.904,47.569,14.237,44.607,19.065,14.439,25.72,19.528,58.823,19.4,37.635,38.698,19.429,25.537,54.233,30.363,22.87,30.337,24.942,17.402,30.759,50.567,20.235,25.232,20.955,19.332,50.117,15.009,37.601,14.296,30.553,27.397,48.469,19.994,49.462,35.032,19.299,31.173,22.864,38.561,50.024,13.904,14.765,38.106,30.372,22.531,47.533,24.974,15.02,34.728,30.668,36.77,22.29,8.8919,38.76,44.022,18.642,23.607,69,36.192,20.434,47.192,42.693,15.835,38.098,13.294,37.337,18.937,25.763,32.297,25.93,16.398,40.433,18.7,19.364,50.752,29.634,19.77,32.334,13.839
29.726,29.442,37.456,28.054,47.754,46.697,22.271,47.37,29.626,55.697,29.207,25.074,20.361,20.153,46.292,35.838,26.187,25.342,24.964,55.769,20.19,45.317,36.273,20.069,22.438,35.259,40.039,35.191,35.361,49.023,30.434,NaN,49.266,20.263,29.397,47.796,19.434,44.737,19.202,18.691,25.937,25.921,59.635,22.534,45.032,40.308,19.728,25.763,54.795,35.167,24.937,33.99,25.061,18.401,36.942,50.663,20.362,29.374,25.924,20.12,50.941,15.128,38.135,17.868,34.925,45.732,48.623,20.167,49.638,45.021,20.072,31.902,34.968,40.459,51.592,16.793,16.136,38.226,37.431,26.259,47.896,33.837,15.103,34.897,44.605,36.893,24.921,13.868,42.804,44.605,20.137,25.988,71.392,38.503,24.304,47.664,44.406,18.057,38.77,13.866,37.431,20.159,25.901,36.837,26.733,19.164,40.563,19.232,20.061,50.905,31.93,20.191,38.201,14.138
31.1,30.941,37.562,35.959,48.49,48.236,24.109,48.292,29.733,56.057,29.389,29.671,24.226,20.258,48.229,36.252,26.262,26.319,25.897,58.564,25.268,47.432,36.4,27.957,33.902,36.858,40.519,35.304,41.521,49.124,30.633,NaN,49.433,21.87,30.601,48.906,20.99,47.196,21.021,18.832,27.341,26.168,62.694,29.371,45.29,40.494,20.135,26.032,54.895,35.299,29.903,34.092,25.855,18.496,41.554,50.856,24.386,29.499,26.052,21.268,51.1,18.73,38.572,21.742,35.024,46.26,48.762,21.235,50.328,45.856,22.329,41.529,35.673,40.651,60.366,21.575,16.363,40.624,38.222,30.17,47.998,36.266,16.498,36.26,44.728,38.33,25.023,14.458,44.225,45.336,20.395,27.334,71.5,38.623,25.974,47.791,44.632,18.221,40.527,14.892,38.365,25.159,27.339,36.925,26.867,19.467,44.292,19.396,20.17,51.193,37.056,20.474,38.354,14.36
32.257,31.056,44.631,40.507,49.673,49.091,24.22,49.486,30.174,56.197,34.43,30.1,31.266,24.973,49.254,36.798,27.116,32.074,34.163,58.753,26.769,47.629,37.758,29.903,35.184,37.033,44.331,35.975,42.421,49.254,32.088,NaN,50.797,22.008,34.929,50.12,22.368,48.372,21.265,19.429,29.641,34.919,63.099,35.036,46.099,42.966,25.019,26.933,68.992,36.295,35.089,34.901,29.378,21.136,43.041,51.003,25.7,29.606,29.891,21.397,53.501,19.333,39.059,21.877,35.461,47.297,50.889,21.418,51,46.702,25.239,43.072,41.529,44.598,60.492,21.693,17.252,44.367,38.355,34.92,48.399,36.331,18.503,36.928,47.256,43.906,25.804,15.009,45.332,45.434,21.654,28.569,74.753,38.787,27.099,48.386,44.701,18.359,40.67,15.004,38.699,25.924,30.252,44.628,26.961,20.407,44.403,20.034,21.696,54.034,37.167,22.301,38.765,18.628
32.362,32.084,44.7,40.634,50.75,49.294,29.664,49.894,37.101,56.397,34.533,30.227,31.408,25.088,49.854,38.787,29.676,32.204,35.285,59.316,26.898,48.459,38.576,30.372,35.34,37.287,44.456,36.071,42.538,49.939,32.202,NaN,51.129,30.83,35.358,51.734,22.497,48.5,25.126,20.906,29.763,40.096,63.188,37.218,49.204,44.422,26.289,27.04,69.099,37.731,36.139,35.025,29.639,21.259,43.192,51.17,25.931,29.732,30.135,25.15,53.921,20.971,40.118,22.232,35.63,47.656,51.267,21.56,52.834,47.005,25.365,44.386,41.635,44.706,67.701,30.385,17.354,48.433,42.449,35.031,49.426,36.76,19.067,39.003,50.568,44.729,26.021,18.028,46.118,45.569,22.497,35.098,74.899,38.905,29.326,48.966,45.867,22.176,43.124,19.103,44.229,26.135,30.338,46.936,28.56,20.523,44.701,20.258,22.326,54.318,37.366,25.967,44.694,23.029
35.187,36.364,45.052,45.338,51.053,49.899,29.842,51.001,37.297,56.621,35.098,30.422,32.098,30.374,49.996,38.892,35.163,35.105,36.768,59.486,29.702,48.736,38.792,34.635,36.636,38.573,44.596,36.234,44.4,53.659,45.034,NaN,51.201,31.642,35.992,52.302,27.352,49.268,25.97,21.008,32.236,42.463,63.393,37.306,49.288,44.596,27.355,28.163,77.782,42.403,37.634,38.651,30.372,24.995,45.187,52.622,26.058,34.058,34.919,25.272,53.994,21.061,40.232,25.861,37.035,47.864,51.362,30.605,53.497,47.229,25.835,45.139,44.621,45.307,74.369,31.893,18.606,48.601,43.668,35.666,51.268,42.227,19.305,40.899,51.304,44.866,28.793,18.132,47.439,45.696,25.078,36.236,NaN,43.885,34.337,49.464,46.161,22.565,43.23,19.194,44.395,26.288,31.13,47.061,33.973,21.064,48.389,21.068,25.7,54.655,38.199,27.068,47.234,25.073
35.304,40.688,46.66,47.4,51.257,50.64,30.129,51.099,37.764,62.494,35.367,33.861,40.506,37.228,50.328,42.34,38.774,35.23,37.028,60.369,29.807,50.652,42.431,34.934,37.104,38.693,45.534,36.793,45.538,54.351,45.904,NaN,51.662,31.767,36.204,52.439,28.806,49.36,29.396,26.204,32.388,43.337,64.325,37.823,49.594,45.368,28.773,28.298,77.868,42.528,38.106,38.803,34.832,25.11,47.231,52.696,30.606,36.901,35.023,26.195,54.765,22.077,40.335,29.686,42.439,48.353,53.862,31.737,53.63,47.395,25.998,45.301,44.697,45.44,81.913,32.371,18.833,49.931,43.867,36.198,51.39,43.657,19.731,41.935,62.52,46.988,29.702,18.657,47.535,47.292,26.428,36.364,NaN,44.005,34.468,50.336,46.293,28.053,44.421,19.735,44.605,26.394,34.099,47.358,34.065,21.197,48.85,22.101,26.135,55.335,42.436,31.695,47.395,25.198
44.593,42.172,46.801,47.896,51.527,50.83,30.819,52.865,38.188,62.655,35.464,33.96,41.927,37.331,50.693,45.032,46.867,37.154,37.136,60.461,30.296,51.122,42.526,35.033,37.224,39.838,45.664,40.118,46.362,54.671,47.068,NaN,54.141,38.57,37.334,53.153,30.091,53.703,30.101,26.474,39.097,45.341,64.558,38.775,51.275,47.436,28.888,36.77,NaN,42.872,41.537,42.423,34.929,26.773,48.471,55.863,36.903,37.399,35.532,26.292,56.36,22.3,43.759,32.4,44.392,48.997,54.198,32.129,54.124,48.26,29.589,48.463,45.328,47.891,82.022,35.141,20.877,50.028,45.536,36.342,53.736,44.66,19.966,42.024,69.039,47.101,30.229,19.491,49.93,47.398,26.531,43.255,NaN,44.634,34.887,50.996,47.067,28.824,45.334,20.002,44.697,29.204,36.824,48.371,34.493,21.535,49.626,22.396,26.252,55.621,42.685,34.523,48.399,25.764
44.901,42.768,47.236,48.288,51.797,51.195,30.939,53.496,38.843,63.16,36.831,36.699,42.787,44.04,50.892,45.462,47.136,37.276,37.264,61.021,30.428,51.729,45.107,36.784,39.834,42.708,47.935,40.271,47.22,54.796,47.426,NaN,55.726,38.799,38.735,53.726,36.898,53.873,35.808,29.257,42.421,45.469,65.665,42.597,51.367,48.826,29.367,37.497,NaN,44.661,44.605,43.926,44.604,32.33,49.268,57.67,37.419,37.491,35.597,26.698,57.032,30.467,43.871,33.531,45.425,49.219,54.595,32.767,54.308,48.458,30.593,48.803,45.436,47.995,90.069,35.466,20.975,50.691,46.356,36.827,53.836,45.266,20.887,42.455,69.12,47.331,30.424,19.605,51.569,49.669,30.34,43.395,NaN,44.929,35.004,51.222,47.194,28.973,47.364,20.534,46.925,29.32,37.197,48.472,36.863,22.175,50.427,32.17,29.07,57.486,46.506,34.697,48.464,25.901
