9.6923,28.572,22.806,39.162,6.8048,45.72,9.1015,13.261,15.954,4.4995,19.973,25.764,29.105,80.783,91.731,14.923,21.138,81.1,6.272,82.497,73.987,22.798,19.39,25.633,19.639,77.932,5.576,21.191,22.102,23.039,29.097,8.6726,15.073,8.6277,17.333,13.132,32.4,22.533,22.436,26.075,11.097,30.262,18.603,85.485,6.1209,69.054,32.741,13.104,76.261,35.72,15.288,17.006,16.838,28.028,12.727,10.569,16.296,52.261,22.39,9.7345,28.027,23.13
33.951,29.238,23.171,39.391,8.1416,46.897,19.141,13.795,18.599,5.0338,20.14,25.833,32.605,81.335,92.918,15.872,23.721,82.42,6.626,83.447,74.582,25.6,27.861,25.943,20.231,80.031,5.7389,21.801,25.79,24.358,29.208,11.49,15.499,12.893,18.433,15.035,60.691,25.719,25.697,26.664,14.728,30.367,18.708,85.752,6.2673,79.76,32.89,13.193,79.688,35.832,15.702,17.132,16.967,28.189,12.839,10.864,16.435,52.897,22.5,10.495,28.604,24.432
34.667,29.775,25.804,39.663,8.3674,53.466,19.261,14.629,20.289,5.607,21.03,26.292,33.332,81.758,NaN,15.997,23.863,83.786,7.2378,83.532,80.869,25.726,27.995,27.185,20.772,81.413,5.9049,22.004,26.03,25.635,29.764,14.088,15.704,13.139,18.671,15.534,65.736,25.895,25.932,28.229,20.256,37.263,21.161,86.386,6.439,80.831,34.091,13.503,79.863,41.539,16.369,21.135,17.933,30.222,13.265,11.557,18.726,53.79,23.399,11.49,28.699,25.162
35.786,30.302,26.255,39.84,8.9594,61.734,20.873,15.562,21.089,6.9742,21.196,32.892,33.43,81.988,NaN,17.101,26.865,86.255,7.7269,84.658,80.993,28.091,30.864,27.553,21.996,81.591,6.096,22.407,32.104,25.828,29.865,14.833,15.861,14.457,18.858,15.729,65.866,32.034,26.729,28.53,20.399,39.102,23.637,86.555,6.5672,81.56,34.224,18.556,80.761,41.629,17.187,22.031,18.531,30.732,13.505,12.099,21.174,53.902,25.241,11.87,29.434,25.736
35.935,31.143,29.327,41.001,9.1684,73.028,21.057,15.895,21.193,7.7323,25.007,32.994,37.075,82.561,NaN,17.897,27.004,87.936,8.5443,84.856,81.425,28.527,30.996,28.61,22.839,81.957,6.33,22.564,32.862,28.039,30.726,15.501,16.803,14.662,19.174,16.369,68.987,33.052,26.857,30.442,20.662,42.056,25.87,90.067,6.8765,81.98,40.801,18.692,80.915,41.893,17.334,24.553,18.661,31.992,14.221,12.242,24.768,60.489,25.89,12.128,29.537,26.768
37.8,32.188,30.767,41.423,10.042,73.556,21.203,16.529,22.694,14.83,25.755,39.267,37.471,83.234,NaN,18.089,27.608,88.021,10.273,86.229,83.059,28.8,33.996,28.794,23.057,83.99,6.431,22.82,37.689,32.021,31.303,16.102,18.696,14.801,19.691,16.539,76.265,44.997,30.624,30.588,21.873,46.959,26.266,NaN,7.4289,92.828,45.167,20.336,82.56,47.195,17.901,26.338,20.534,32.106,14.86,13.029,24.86,69.056,26.561,13.972,30.695,29.56
38.66,33.234,35.676,41.659,10.554,75.667,23.14,18.634,23.14,15.175,27.995,45.192,42.763,83.979,NaN,18.275,28.197,89.864,12.208,89.392,83.184,29.327,34.688,29.27,23.66,85.253,7.5996,25.431,43.57,32.761,32.59,18.067,18.997,14.929,20.156,21.338,76.402,67.359,73.193,31.362,23.966,49.421,26.692,NaN,8.1327,NaN,47.184,21.265,83.234,52.767,20.395,27.289,21.166,37.663,15.008,13.143,28.033,69.119,30.868,14.194,49.502,34.588
38.808,33.972,35.83,42.3,12.535,75.737,23.735,18.863,29.117,15.988,28.2,45.293,42.862,84.094,NaN,20.007,31.265,89.965,12.844,89.887,93.631,30.801,35.735,29.399,24.693,89.456,8.2394,25.73,43.698,33.774,32.694,18.265,21.008,15.194,20.795,22.002,87.516,73.163,74.556,32.464,24.634,52.865,26.972,NaN,8.4029,NaN,47.301,23.7,83.959,52.886,20.536,27.566,23.085,79.701,15.53,13.495,29.399,72.624,34.967,15.505,49.634,34.691
39.138,59.738,41.927,44.093,13.929,77.361,24.535,21.068,30.489,16.326,31.836,47.004,43.359,84.399,NaN,20.435,32.596,90.396,13.935,92.966,94.548,31.008,35.929,29.871,24.855,89.526,8.5321,36.505,44.952,45.686,39.357,19.893,21.138,15.396,22.466,23.138,88.398,73.999,76.453,33.791,25.609,66.294,27.464,NaN,9.7257,NaN,59.765,23.902,84.055,53.004,21.098,29.04,23.237,79.861,15.939,13.599,29.504,73.599,46.831,15.631,63.521,39.036
41.574,60.026,52.131,44.766,14.497,78.314,24.64,23.642,30.638,16.397,35.685,47.131,74.086,87.715,NaN,20.6,42.768,91.902,14.145,93.059,NaN,37.125,37.156,30.37,25.964,91.429,14.942,36.771,53.19,74.458,42.768,21.236,21.258,15.567,24.124,32.169,88.73,77.218,77.29,34.406,25.796,66.431,27.735,NaN,14.797,NaN,69.913,25.786,86.467,65.526,21.359,30.139,23.669,80.715,16.603,13.905,30.426,75.501,46.953,16.294,68.996,40.791
